datetime,open,high,low,close,volume
2025-12-12 08:30:00-06:00,5.4,5.51,5.33,5.34,2033.0
2025-12-12 08:31:00-06:00,5.34,5.39,5.23,5.31,857.0
2025-12-12 08:32:00-06:00,5.31,5.35,5.13,5.14,903.0
2025-12-12 08:33:00-06:00,5.15,5.23,5.13,5.18,571.0
2025-12-12 08:34:00-06:00,5.19,5.21,5.13,5.21,727.0
2025-12-12 08:35:00-06:00,5.22,5.24,5.12,5.15,742.0
2025-12-12 08:36:00-06:00,5.14,5.16,5.04,5.06,2099.0
2025-12-12 08:37:00-06:00,5.05,5.12,5.04,5.04,531.0
2025-12-12 08:38:00-06:00,5.06,5.07,4.98,5.02,681.0
2025-12-12 08:39:00-06:00,5.02,5.05,5.0,5.02,455.0
2025-12-12 08:40:00-06:00,5.0,5.03,5.0,5.02,567.0
2025-12-12 08:41:00-06:00,5.0,5.0,4.94,4.94,532.0
2025-12-12 08:42:00-06:00,4.95,4.99,4.93,4.96,265.0
2025-12-12 08:43:00-06:00,4.96,4.96,4.91,4.92,141.0
2025-12-12 08:44:00-06:00,4.92,4.99,4.91,4.98,887.0
2025-12-12 08:45:00-06:00,4.98,4.99,4.95,4.95,445.0
2025-12-12 08:46:00-06:00,4.96,5.08,4.96,5.02,1609.0
2025-12-12 08:47:00-06:00,5.04,5.11,5.04,5.08,1452.0
2025-12-12 08:48:00-06:00,5.09,5.12,5.07,5.08,698.0
2025-12-12 08:49:00-06:00,5.07,5.09,5.04,5.07,262.0
2025-12-12 08:50:00-06:00,5.07,5.07,5.02,5.05,192.0
2025-12-12 08:51:00-06:00,5.05,5.08,5.04,5.08,136.0
2025-12-12 08:52:00-06:00,5.08,5.08,5.06,5.07,288.0
2025-12-12 08:53:00-06:00,5.06,5.09,5.03,5.08,304.0
2025-12-12 08:54:00-06:00,5.09,5.15,5.08,5.15,423.0
2025-12-12 08:55:00-06:00,5.15,5.15,5.1,5.13,514.0
2025-12-12 08:56:00-06:00,5.13,5.17,5.11,5.16,412.0
2025-12-12 08:57:00-06:00,5.16,5.2,5.16,5.17,278.0
2025-12-12 08:58:00-06:00,5.16,5.19,5.15,5.18,241.0
2025-12-12 08:59:00-06:00,5.18,5.19,5.13,5.13,191.0
2025-12-12 09:00:00-06:00,5.14,5.16,5.11,5.12,244.0
2025-12-12 09:01:00-06:00,5.11,5.16,5.11,5.15,96.0
2025-12-12 09:02:00-06:00,5.14,5.14,5.1,5.12,211.0
2025-12-12 09:03:00-06:00,5.11,5.11,5.05,5.07,775.0
2025-12-12 09:04:00-06:00,5.06,5.06,5.04,5.05,109.0
2025-12-12 09:05:00-06:00,5.04,5.06,5.04,5.05,122.0
2025-12-12 09:06:00-06:00,5.06,5.06,5.03,5.04,77.0
2025-12-12 09:07:00-06:00,5.03,5.04,5.01,5.03,122.0
2025-12-12 09:08:00-06:00,5.03,5.03,5.0,5.02,50.0
2025-12-12 09:09:00-06:00,5.01,5.05,5.01,5.05,186.0
2025-12-12 09:10:00-06:00,5.07,5.08,5.05,5.06,119.0
2025-12-12 09:11:00-06:00,5.06,5.09,5.06,5.08,200.0
2025-12-12 09:12:00-06:00,5.08,5.08,5.07,5.08,113.0
2025-12-12 09:13:00-06:00,5.08,5.09,5.07,5.09,57.0
2025-12-12 09:14:00-06:00,5.08,5.09,5.07,5.08,178.0
2025-12-12 09:15:00-06:00,5.08,5.08,5.06,5.07,120.0
2025-12-12 09:16:00-06:00,5.06,5.07,5.05,5.05,102.0
2025-12-12 09:17:00-06:00,5.05,5.09,5.04,5.07,221.0
2025-12-12 09:18:00-06:00,5.07,5.08,5.05,5.06,50.0
2025-12-12 09:19:00-06:00,5.05,5.06,5.04,5.06,57.0
2025-12-12 09:20:00-06:00,5.05,5.08,5.04,5.04,109.0
2025-12-12 09:21:00-06:00,5.03,5.03,5.0,5.0,51.0
2025-12-12 09:22:00-06:00,5.0,5.03,4.99,5.02,182.0
2025-12-12 09:23:00-06:00,5.02,5.03,5.01,5.02,18.0
2025-12-12 09:24:00-06:00,5.03,5.03,5.0,5.0,40.0
2025-12-12 09:25:00-06:00,5.0,5.02,5.0,5.01,65.0
2025-12-12 09:26:00-06:00,5.01,5.02,5.0,5.02,17.0
2025-12-12 09:27:00-06:00,5.02,5.03,5.01,5.01,234.0
2025-12-12 09:28:00-06:00,5.0,5.01,4.94,4.96,2292.0
2025-12-12 09:29:00-06:00,4.96,4.97,4.95,4.96,537.0
2025-12-12 09:30:00-06:00,4.95,4.96,4.94,4.96,203.0
2025-12-12 09:31:00-06:00,4.96,4.96,4.94,4.95,128.0
2025-12-12 09:32:00-06:00,4.95,4.99,4.94,4.98,168.0
2025-12-12 09:33:00-06:00,4.99,4.99,4.96,4.98,56.0
2025-12-12 09:34:00-06:00,4.98,4.99,4.96,4.99,161.0
2025-12-12 09:35:00-06:00,4.98,5.0,4.97,4.99,60.0
2025-12-12 09:36:00-06:00,4.98,5.0,4.97,5.0,146.0
2025-12-12 09:37:00-06:00,4.99,5.01,4.98,4.99,119.0
2025-12-12 09:38:00-06:00,4.98,5.0,4.98,4.99,202.0
2025-12-12 09:39:00-06:00,4.98,4.99,4.98,4.99,103.0
2025-12-12 09:40:00-06:00,4.99,4.99,4.97,4.99,119.0
2025-12-12 09:41:00-06:00,4.99,5.0,4.97,5.0,324.0
2025-12-12 09:42:00-06:00,5.0,5.01,4.99,5.0,39.0
2025-12-12 09:43:00-06:00,5.01,5.03,5.0,5.01,165.0
2025-12-12 09:44:00-06:00,5.01,5.02,5.0,5.01,93.0
2025-12-12 09:45:00-06:00,5.02,5.04,5.01,5.04,223.0
2025-12-12 09:46:00-06:00,5.04,5.04,5.01,5.02,47.0
2025-12-12 09:47:00-06:00,5.02,5.04,5.02,5.04,153.0
2025-12-12 09:48:00-06:00,5.04,5.04,5.01,5.03,384.0
2025-12-12 09:49:00-06:00,5.03,5.03,5.01,5.02,83.0
2025-12-12 09:50:00-06:00,5.02,5.03,5.01,5.03,171.0
2025-12-12 09:51:00-06:00,5.02,5.05,5.02,5.04,141.0
2025-12-12 09:52:00-06:00,5.05,5.05,5.03,5.04,71.0
2025-12-12 09:53:00-06:00,5.04,5.05,5.01,5.01,403.0
2025-12-12 09:54:00-06:00,5.02,5.02,5.0,5.01,206.0
2025-12-12 09:55:00-06:00,5.0,5.1,5.0,5.08,570.0
2025-12-12 09:56:00-06:00,5.08,5.12,5.06,5.08,775.0
2025-12-12 09:57:00-06:00,5.07,5.11,5.05,5.1,826.0
2025-12-12 09:58:00-06:00,5.09,5.16,5.08,5.08,650.0
2025-12-12 09:59:00-06:00,5.08,5.13,5.08,5.11,89.0
2025-12-12 10:00:00-06:00,5.1,5.14,5.09,5.14,319.0
2025-12-12 10:01:00-06:00,5.14,5.14,5.13,5.14,52.0
2025-12-12 10:02:00-06:00,5.14,5.19,5.12,5.17,910.0
2025-12-12 10:03:00-06:00,5.16,5.18,5.16,5.17,573.0
2025-12-12 10:04:00-06:00,5.17,5.17,5.16,5.16,373.0
2025-12-12 10:05:00-06:00,5.16,5.19,5.15,5.17,675.0
2025-12-12 10:06:00-06:00,5.17,5.19,5.16,5.18,381.0
2025-12-12 10:07:00-06:00,5.18,5.19,5.15,5.16,315.0
2025-12-12 10:08:00-06:00,5.17,5.19,5.16,5.19,199.0
2025-12-12 10:09:00-06:00,5.18,5.22,5.16,5.22,479.0
2025-12-12 10:10:00-06:00,5.22,5.22,5.16,5.16,345.0
2025-12-12 10:11:00-06:00,5.17,5.17,5.11,5.11,667.0
2025-12-12 10:12:00-06:00,5.11,5.14,5.1,5.13,252.0
2025-12-12 10:13:00-06:00,5.12,5.13,5.1,5.13,548.0
2025-12-12 10:14:00-06:00,5.12,5.16,5.11,5.16,171.0
2025-12-12 10:15:00-06:00,5.16,5.17,5.15,5.16,195.0
2025-12-12 10:16:00-06:00,5.16,5.16,5.04,5.09,1241.0
2025-12-12 10:17:00-06:00,5.08,5.12,5.06,5.09,1095.0
2025-12-12 10:18:00-06:00,5.09,5.11,5.08,5.09,338.0
2025-12-12 10:19:00-06:00,5.09,5.13,5.08,5.12,59.0
