datetime,open,high,low,close,volume
2026-02-26 08:30:00-06:00,4.4166,4.44,4.296,4.3536,831.0
2026-02-26 08:31:00-06:00,4.4094,4.6824,4.32,4.587,1333.0
2026-02-26 08:32:00-06:00,4.5672,4.572,4.0026,4.0272,1452.0
2026-02-26 08:33:00-06:00,4.0662,4.0662,3.8214,3.9114,1496.0
2026-02-26 08:34:00-06:00,3.915,4.1196,3.8724,3.9414,753.0
2026-02-26 08:35:00-06:00,3.9378,4.0662,3.9336,3.96,528.0
2026-02-26 08:36:00-06:00,3.9612,4.1448,3.9612,4.1166,318.0
2026-02-26 08:37:00-06:00,4.1118,4.1118,3.9612,4.095,278.0
2026-02-26 08:38:00-06:00,4.08,4.3092,4.08,4.1466,656.0
2026-02-26 08:39:00-06:00,4.146,4.368,4.0998,4.2888,539.0
2026-02-26 08:40:00-06:00,4.3044,4.56,4.23,4.494,740.0
2026-02-26 08:41:00-06:00,4.4922,4.8,4.3722,4.6866,905.0
2026-02-26 08:42:00-06:00,4.7436,4.8,4.5,4.59,1131.0
2026-02-26 08:43:00-06:00,4.6086,4.6908,4.5768,4.665,670.0
2026-02-26 08:44:00-06:00,4.6794,4.7304,4.6206,4.68,1386.0
2026-02-26 08:45:00-06:00,4.68,5.04,4.6752,4.782,3036.0
2026-02-26 08:46:00-06:00,4.7814,4.8366,4.68,4.7868,1431.0
2026-02-26 08:47:00-06:00,4.7154,4.7748,4.6212,4.6212,463.0
2026-02-26 08:48:00-06:00,4.62,4.6206,4.3512,4.4592,965.0
2026-02-26 08:49:00-06:00,4.4496,4.611,4.44,4.611,393.0
2026-02-26 08:50:00-06:00,4.608,4.611,4.5006,4.5072,318.0
2026-02-26 08:51:00-06:00,4.5084,4.5798,4.44,4.4568,467.0
2026-02-26 08:52:00-06:00,4.4406,4.4658,4.2984,4.4178,728.0
2026-02-26 08:53:00-06:00,4.4172,4.6188,4.3278,4.5996,439.0
2026-02-26 08:54:00-06:00,4.6182,4.6182,4.455,4.4772,247.0
2026-02-26 08:55:00-06:00,4.5,4.788,4.4736,4.7574,757.0
2026-02-26 08:56:00-06:00,4.7574,5.04,4.7244,4.7616,2305.0
2026-02-26 08:57:00-06:00,4.8036,4.8336,4.74,4.7574,754.0
2026-02-26 08:58:00-06:00,4.7508,4.8402,4.6578,4.782,961.0
2026-02-26 08:59:00-06:00,4.7874,5.07,4.74,5.0334,1355.0
2026-02-26 09:00:00-06:00,5.034,5.2668,4.89,5.0874,2914.0
2026-02-26 09:01:00-06:00,5.064,5.079,4.86,4.8744,883.0
2026-02-26 09:02:00-06:00,4.8744,4.98,4.8,4.8924,837.0
2026-02-26 09:03:00-06:00,4.9176,5.0166,4.8456,5.0118,642.0
2026-02-26 09:04:00-06:00,5.0166,5.1054,4.92,4.9608,1248.0
2026-02-26 09:05:00-06:00,4.9656,5.2164,4.9656,5.1966,1403.0
2026-02-26 09:06:00-06:00,5.1924,5.88,5.181,5.748,5284.0
2026-02-26 09:07:00-06:00,5.733,6.0,5.7174,5.8758,3612.0
2026-02-26 09:08:00-06:00,5.8644,5.8872,5.6172,5.7282,2934.0
2026-02-26 09:09:00-06:00,5.7276,5.859,5.4468,5.6082,4558.0
2026-02-26 09:10:00-06:00,5.6082,5.6082,5.46,5.5848,1751.0
2026-02-26 09:11:00-06:00,5.571,5.736,5.493,5.6778,2676.0
2026-02-26 09:12:00-06:00,5.6862,5.7426,5.604,5.6358,2114.0
2026-02-26 09:13:00-06:00,5.67,5.67,5.2572,5.514,2533.0
2026-02-26 09:14:00-06:00,5.52,5.6184,5.5002,5.5476,1245.0
2026-02-26 09:15:00-06:00,5.5272,6.0,5.5242,5.9328,4200.0
2026-02-26 09:16:00-06:00,5.8806,6.18,5.8326,5.9994,3786.0
2026-02-26 09:17:00-06:00,5.997,5.997,5.8326,5.865,2054.0
2026-02-26 09:18:00-06:00,5.8404,5.865,5.535,5.5722,3126.0
2026-02-26 09:19:00-06:00,5.535,5.6928,5.2746,5.3994,2549.0
2026-02-26 09:20:00-06:00,5.4,5.4576,5.106,5.4006,2431.0
2026-02-26 09:21:00-06:00,5.4,5.58,5.4,5.5176,1280.0
2026-02-26 09:22:00-06:00,5.5176,5.8194,5.5128,5.7798,1684.0
2026-02-26 09:23:00-06:00,5.7798,5.9724,5.7,5.8164,2339.0
2026-02-26 09:24:00-06:00,5.799,5.8164,5.6112,5.7762,1185.0
2026-02-26 09:25:00-06:00,5.7852,5.988,5.4054,5.5488,2519.0
2026-02-26 09:26:00-06:00,5.5488,5.6268,5.4702,5.622,1155.0
2026-02-26 09:27:00-06:00,5.622,5.625,5.58,5.622,1148.0
2026-02-26 09:28:00-06:00,5.61,5.6592,5.58,5.5806,783.0
2026-02-26 09:29:00-06:00,5.5806,5.5806,5.4,5.4312,806.0
2026-02-26 09:30:00-06:00,5.4312,5.6886,5.4312,5.586,1114.0
2026-02-26 09:31:00-06:00,5.586,5.637,5.52,5.6286,372.0
2026-02-26 09:32:00-06:00,5.5998,5.8938,5.5926,5.8782,1529.0
2026-02-26 09:33:00-06:00,5.8782,5.8938,5.748,5.787,1924.0
2026-02-26 09:34:00-06:00,5.7864,5.832,5.6604,5.805,1101.0
2026-02-26 09:35:00-06:00,5.7966,5.8986,5.772,5.8452,1294.0
2026-02-26 09:36:00-06:00,5.8344,6.42,5.832,6.18,4252.0
2026-02-26 09:37:00-06:00,6.24,6.3,6.18,6.18,1346.0
2026-02-26 09:38:00-06:00,6.21,6.3,6.18,6.1806,1129.0
2026-02-26 09:39:00-06:00,6.18,6.24,5.562,5.604,2517.0
2026-02-26 09:40:00-06:00,5.6106,5.8662,5.6106,5.7804,2031.0
2026-02-26 09:41:00-06:00,5.781,5.862,5.73,5.7732,881.0
2026-02-26 09:42:00-06:00,5.7732,5.7732,5.604,5.6694,1175.0
2026-02-26 09:43:00-06:00,5.6694,5.6694,5.4408,5.544,1623.0
2026-02-26 09:44:00-06:00,5.544,5.6772,5.544,5.6448,772.0
2026-02-26 09:45:00-06:00,5.6454,5.697,5.6046,5.619,592.0
2026-02-26 09:46:00-06:00,5.6178,5.6202,5.46,5.4882,650.0
2026-02-26 09:47:00-06:00,5.487,5.5998,5.4714,5.49,580.0
2026-02-26 09:48:00-06:00,5.49,5.76,5.49,5.6652,1212.0
2026-02-26 09:49:00-06:00,5.6652,5.6952,5.5926,5.6532,486.0
2026-02-26 09:50:00-06:00,5.6532,5.6952,5.49,5.562,675.0
2026-02-26 09:51:00-06:00,5.562,5.5926,5.4972,5.5008,388.0
2026-02-26 09:52:00-06:00,5.5008,5.5008,5.3214,5.3862,899.0
2026-02-26 09:53:00-06:00,5.3844,5.5206,5.3214,5.5044,1676.0
2026-02-26 09:54:00-06:00,5.4894,5.5098,5.3688,5.4384,503.0
2026-02-26 09:55:00-06:00,5.4594,5.655,5.4528,5.6202,945.0
2026-02-26 09:56:00-06:00,5.6202,5.7198,5.6196,5.709,1031.0
2026-02-26 09:57:00-06:00,5.7048,5.88,5.7006,5.8488,1528.0
2026-02-26 09:58:00-06:00,5.8488,5.8494,5.7366,5.7636,918.0
2026-02-26 09:59:00-06:00,5.76,5.7678,5.61,5.7018,856.0
2026-02-26 10:00:00-06:00,5.7006,5.82,5.6766,5.7438,878.0
2026-02-26 10:01:00-06:00,5.7432,5.79,5.64,5.64,858.0
2026-02-26 10:02:00-06:00,5.6406,5.7,5.61,5.6514,443.0
2026-02-26 10:03:00-06:00,5.6526,5.8236,5.6106,5.82,931.0
2026-02-26 10:04:00-06:00,5.8194,5.82,5.64,5.7798,602.0
2026-02-26 10:05:00-06:00,5.7846,5.841,5.6652,5.73,983.0
2026-02-26 10:06:00-06:00,5.73,5.7444,5.6502,5.6628,456.0
2026-02-26 10:07:00-06:00,5.6502,5.6802,5.4096,5.421,1014.0
2026-02-26 10:08:00-06:00,5.4108,5.5182,5.3022,5.4726,1174.0
2026-02-26 10:09:00-06:00,5.4852,5.5632,5.4642,5.529,304.0
2026-02-26 10:10:00-06:00,5.5284,5.64,5.5272,5.5434,377.0
2026-02-26 10:11:00-06:00,5.5428,5.5434,5.466,5.502,335.0
2026-02-26 10:12:00-06:00,5.5026,5.5026,5.343,5.4078,421.0
2026-02-26 10:13:00-06:00,5.4378,5.49,5.4018,5.457,186.0
2026-02-26 10:14:00-06:00,5.457,5.457,5.2254,5.286,1080.0
2026-02-26 10:15:00-06:00,5.286,5.4576,5.2854,5.4348,601.0
2026-02-26 10:16:00-06:00,5.4348,5.52,5.4174,5.4708,466.0
2026-02-26 10:17:00-06:00,5.4684,5.5182,5.4306,5.5116,247.0
2026-02-26 10:18:00-06:00,5.5116,5.5482,5.436,5.478,324.0
2026-02-26 10:19:00-06:00,5.5194,5.6562,5.46,5.6172,672.0
2026-02-26 10:20:00-06:00,5.6166,5.6226,5.5722,5.5734,270.0
2026-02-26 10:21:00-06:00,5.589,5.589,5.4804,5.52,309.0
2026-02-26 10:22:00-06:00,5.52,5.568,5.4306,5.5092,359.0
2026-02-26 10:23:00-06:00,5.4876,5.5716,5.4876,5.52,289.0
2026-02-26 10:24:00-06:00,5.5224,5.6334,5.4624,5.463,366.0
2026-02-26 10:25:00-06:00,5.463,5.538,5.4372,5.4576,224.0
2026-02-26 10:26:00-06:00,5.538,5.5602,5.4756,5.5536,178.0
2026-02-26 10:27:00-06:00,5.505,5.5278,5.4576,5.4576,188.0
2026-02-26 10:28:00-06:00,5.4576,5.481,5.4006,5.481,307.0
2026-02-26 10:29:00-06:00,5.481,5.5488,5.4318,5.5488,245.0
2026-02-26 10:30:00-06:00,5.46,5.82,5.46,5.8194,1498.0
2026-02-26 10:31:00-06:00,5.82,5.8272,5.649,5.742,898.0
2026-02-26 10:32:00-06:00,5.742,5.8194,5.6412,5.6754,887.0
2026-02-26 10:33:00-06:00,5.6748,5.8026,5.6748,5.7522,673.0
2026-02-26 10:34:00-06:00,5.7468,5.7888,5.6424,5.6862,563.0
2026-02-26 10:35:00-06:00,5.6886,6.18,5.64,6.12,2339.0
2026-02-26 10:36:00-06:00,6.09,6.72,6.06,6.72,2055.0
2026-02-26 10:37:00-06:00,6.72,6.72,6.72,6.72,0.0
2026-02-26 10:38:00-06:00,6.72,6.72,6.72,6.72,0.0
2026-02-26 10:39:00-06:00,6.72,6.72,6.72,6.72,0.0
2026-02-26 10:40:00-06:00,6.72,6.72,6.72,6.72,0.0
2026-02-26 10:41:00-06:00,6.78,6.96,6.72,6.783,3003.0
2026-02-26 10:42:00-06:00,6.78,7.02,6.6,7.02,2730.0
2026-02-26 10:43:00-06:00,7.02,7.02,6.72,6.72,1559.0
2026-02-26 10:44:00-06:00,6.72,6.84,6.72,6.81,953.0
2026-02-26 10:45:00-06:00,6.84,7.08,6.78,6.96,1708.0
2026-02-26 10:46:00-06:00,6.99,7.14,6.96,6.963,1515.0
2026-02-26 10:47:00-06:00,6.96,7.08,6.96,7.05,701.0
2026-02-26 10:48:00-06:00,7.02,7.08,6.66,6.72,1238.0
2026-02-26 10:49:00-06:00,6.66,6.84,6.66,6.81,893.0
2026-02-26 10:50:00-06:00,6.81,6.84,6.66,6.66,513.0
2026-02-26 10:51:00-06:00,6.69,6.78,6.66,6.78,561.0
2026-02-26 10:52:00-06:00,6.75,6.78,6.6,6.66,829.0
2026-02-26 10:53:00-06:00,6.72,6.78,6.66,6.75,354.0
2026-02-26 10:54:00-06:00,6.78,6.78,6.6,6.66,583.0
2026-02-26 10:55:00-06:00,6.66,6.72,6.6,6.66,372.0
2026-02-26 10:56:00-06:00,6.69,6.9,6.69,6.9,1225.0
2026-02-26 10:57:00-06:00,6.9,6.96,6.84,6.87,634.0
2026-02-26 10:58:00-06:00,6.9,6.9,6.6,6.63,589.0
2026-02-26 10:59:00-06:00,6.6006,6.72,6.6,6.72,286.0
2026-02-26 11:00:00-06:00,6.663,6.78,6.6,6.6594,409.0
2026-02-26 11:01:00-06:00,6.6,6.66,6.6,6.6012,178.0
2026-02-26 11:02:00-06:00,6.6594,6.66,6.6,6.6,98.0
2026-02-26 11:03:00-06:00,6.6594,6.66,6.48,6.48,831.0
2026-02-26 11:04:00-06:00,6.48,6.54,6.48,6.48,195.0
2026-02-26 11:05:00-06:00,6.5394,6.54,6.48,6.48,150.0
2026-02-26 11:06:00-06:00,6.54,6.78,6.48,6.78,712.0
2026-02-26 11:07:00-06:00,6.75,7.5,6.7206,7.32,3231.0
2026-02-26 11:08:00-06:00,7.26,7.74,7.26,7.65,1776.0
2026-02-26 11:09:00-06:00,7.62,7.68,7.44,7.5,1130.0
2026-02-26 11:10:00-06:00,7.47,7.5,7.26,7.2606,745.0
