datetime,open,high,low,close,volume
2026-01-06 08:30:00-06:00,16.39,16.58,15.35,15.7,4800.0
2026-01-06 08:31:00-06:00,15.57,16.16,15.18,16.1,1566.0
2026-01-06 08:32:00-06:00,15.95,16.09,15.62,15.88,735.0
2026-01-06 08:33:00-06:00,15.83,16.49,15.8,16.23,1597.0
2026-01-06 08:34:00-06:00,16.18,16.32,15.8,15.99,1322.0
2026-01-06 08:35:00-06:00,16.0,16.16,15.86,16.01,413.0
2026-01-06 08:36:00-06:00,15.96,16.1,15.8,16.08,532.0
2026-01-06 08:37:00-06:00,16.02,16.48,15.93,16.3,904.0
2026-01-06 08:38:00-06:00,16.37,16.42,15.86,15.9,525.0
2026-01-06 08:39:00-06:00,15.95,15.97,15.77,15.93,575.0
2026-01-06 08:40:00-06:00,15.95,16.25,15.91,16.19,735.0
2026-01-06 08:41:00-06:00,16.2,16.4,15.94,16.07,452.0
2026-01-06 08:42:00-06:00,16.15,17.13,16.05,16.86,2214.0
2026-01-06 08:43:00-06:00,16.74,17.05,16.6,16.67,1793.0
2026-01-06 08:44:00-06:00,16.69,17.2,16.61,17.11,1734.0
2026-01-06 08:45:00-06:00,17.14,17.39,17.11,17.33,1786.0
2026-01-06 08:46:00-06:00,17.31,17.44,17.15,17.36,1570.0
2026-01-06 08:47:00-06:00,17.38,17.43,17.0,17.24,2173.0
2026-01-06 08:48:00-06:00,17.29,17.35,16.95,17.19,865.0
2026-01-06 08:49:00-06:00,17.18,17.43,17.14,17.28,1024.0
2026-01-06 08:50:00-06:00,17.27,17.59,17.14,17.33,2412.0
2026-01-06 08:51:00-06:00,17.33,17.68,17.32,17.38,1679.0
2026-01-06 08:52:00-06:00,17.45,17.48,17.11,17.12,1308.0
2026-01-06 08:53:00-06:00,17.17,17.49,17.04,17.15,1310.0
2026-01-06 08:54:00-06:00,17.15,17.3,17.13,17.27,313.0
2026-01-06 08:55:00-06:00,17.24,17.84,17.22,17.76,1630.0
2026-01-06 08:56:00-06:00,17.73,17.9,17.52,17.67,1595.0
2026-01-06 08:57:00-06:00,17.65,17.75,17.44,17.55,1006.0
2026-01-06 08:58:00-06:00,17.56,17.68,17.19,17.62,1468.0
2026-01-06 08:59:00-06:00,17.64,17.85,17.51,17.85,1291.0
2026-01-06 09:00:00-06:00,17.82,17.89,17.62,17.66,967.0
2026-01-06 09:01:00-06:00,17.66,17.85,17.54,17.76,788.0
2026-01-06 09:02:00-06:00,17.77,17.83,17.52,17.62,1051.0
2026-01-06 09:03:00-06:00,17.62,17.89,17.62,17.69,591.0
2026-01-06 09:04:00-06:00,17.71,17.88,17.64,17.7,831.0
2026-01-06 09:05:00-06:00,17.77,17.89,17.57,17.66,736.0
2026-01-06 09:06:00-06:00,17.58,17.68,17.37,17.53,862.0
2026-01-06 09:07:00-06:00,17.47,17.53,17.25,17.33,827.0
2026-01-06 09:08:00-06:00,17.34,17.5,17.3,17.48,410.0
2026-01-06 09:09:00-06:00,17.51,17.54,17.12,17.21,819.0
2026-01-06 09:10:00-06:00,17.13,17.16,16.5,16.57,2385.0
2026-01-06 09:11:00-06:00,16.56,16.61,16.43,16.46,1130.0
2026-01-06 09:12:00-06:00,16.48,16.49,16.22,16.35,1231.0
2026-01-06 09:13:00-06:00,16.35,16.54,16.31,16.42,774.0
2026-01-06 09:14:00-06:00,16.42,16.45,16.0,16.22,1259.0
2026-01-06 09:15:00-06:00,16.22,16.23,15.95,15.98,831.0
2026-01-06 09:16:00-06:00,15.98,16.17,15.96,16.02,804.0
2026-01-06 09:17:00-06:00,16.03,16.12,15.97,16.06,466.0
2026-01-06 09:18:00-06:00,16.06,16.23,16.01,16.2,560.0
2026-01-06 09:19:00-06:00,16.17,16.2,16.02,16.04,421.0
2026-01-06 09:20:00-06:00,16.04,16.22,16.04,16.12,290.0
2026-01-06 09:21:00-06:00,16.14,16.24,16.01,16.14,560.0
2026-01-06 09:22:00-06:00,16.2,16.2,16.03,16.05,375.0
2026-01-06 09:23:00-06:00,16.06,16.15,15.99,16.1,654.0
2026-01-06 09:24:00-06:00,16.08,16.13,15.96,16.04,419.0
2026-01-06 09:25:00-06:00,16.03,16.19,16.03,16.14,413.0
2026-01-06 09:26:00-06:00,16.16,16.4,16.14,16.37,980.0
2026-01-06 09:27:00-06:00,16.35,16.38,16.16,16.25,490.0
2026-01-06 09:28:00-06:00,16.29,16.55,16.24,16.45,475.0
2026-01-06 09:29:00-06:00,16.5,16.73,16.43,16.65,698.0
2026-01-06 09:30:00-06:00,16.66,16.89,16.55,16.85,1111.0
2026-01-06 09:31:00-06:00,16.8,16.9,16.6,16.71,749.0
2026-01-06 09:32:00-06:00,16.69,16.72,16.28,16.41,817.0
2026-01-06 09:33:00-06:00,16.39,16.42,16.3,16.32,308.0
2026-01-06 09:34:00-06:00,16.33,16.41,16.2,16.21,302.0
2026-01-06 09:35:00-06:00,16.25,16.38,16.19,16.3,194.0
2026-01-06 09:36:00-06:00,16.24,16.43,16.15,16.43,291.0
2026-01-06 09:37:00-06:00,16.43,16.43,16.25,16.38,167.0
2026-01-06 09:38:00-06:00,16.4,16.4,16.28,16.36,110.0
2026-01-06 09:39:00-06:00,16.34,16.4,16.27,16.27,98.0
2026-01-06 09:40:00-06:00,16.31,16.36,16.05,16.17,422.0
2026-01-06 09:41:00-06:00,16.15,16.16,15.5,15.62,2088.0
2026-01-06 09:42:00-06:00,15.57,15.8,15.55,15.78,555.0
2026-01-06 09:43:00-06:00,15.77,15.8,15.6,15.62,829.0
2026-01-06 09:44:00-06:00,15.71,15.78,15.61,15.69,350.0
2026-01-06 09:45:00-06:00,15.66,15.69,15.54,15.56,369.0
2026-01-06 09:46:00-06:00,15.56,15.77,15.56,15.77,143.0
2026-01-06 09:47:00-06:00,15.78,15.9,15.74,15.86,335.0
2026-01-06 09:48:00-06:00,15.86,15.94,15.82,15.89,451.0
2026-01-06 09:49:00-06:00,15.91,15.91,15.78,15.79,373.0
2026-01-06 09:50:00-06:00,15.8,15.9,15.75,15.82,213.0
2026-01-06 09:51:00-06:00,15.82,15.9,15.82,15.87,176.0
2026-01-06 09:52:00-06:00,15.9,15.98,15.87,15.95,240.0
2026-01-06 09:53:00-06:00,15.95,15.98,15.84,15.87,199.0
2026-01-06 09:54:00-06:00,15.87,15.94,15.8,15.92,108.0
2026-01-06 09:55:00-06:00,15.88,15.91,15.83,15.9,72.0
2026-01-06 09:56:00-06:00,15.92,15.96,15.9,15.93,161.0
2026-01-06 09:57:00-06:00,15.91,16.0,15.91,15.98,199.0
2026-01-06 09:58:00-06:00,15.98,16.08,15.96,16.06,363.0
2026-01-06 09:59:00-06:00,16.08,16.1,16.03,16.08,174.0
2026-01-06 10:00:00-06:00,16.07,16.18,16.03,16.08,231.0
2026-01-06 10:01:00-06:00,16.04,16.11,15.91,15.97,182.0
2026-01-06 10:02:00-06:00,15.96,15.97,15.86,15.89,223.0
2026-01-06 10:03:00-06:00,15.91,15.95,15.83,15.85,327.0
2026-01-06 10:04:00-06:00,15.83,15.99,15.83,15.93,84.0
2026-01-06 10:05:00-06:00,15.94,16.01,15.88,16.01,203.0
2026-01-06 10:06:00-06:00,15.96,16.0,15.95,15.96,69.0
2026-01-06 10:07:00-06:00,15.89,15.97,15.88,15.9,79.0
2026-01-06 10:08:00-06:00,15.92,15.92,15.88,15.89,67.0
2026-01-06 10:09:00-06:00,15.86,15.95,15.83,15.88,54.0
2026-01-06 10:10:00-06:00,15.89,15.94,15.84,15.93,77.0
2026-01-06 10:11:00-06:00,15.93,15.93,15.87,15.9,46.0
2026-01-06 10:12:00-06:00,15.91,15.98,15.9,15.94,61.0
2026-01-06 10:13:00-06:00,15.94,15.94,15.75,15.77,269.0
2026-01-06 10:14:00-06:00,15.78,15.81,15.69,15.7,295.0
2026-01-06 10:15:00-06:00,15.73,15.81,15.72,15.81,148.0
2026-01-06 10:16:00-06:00,15.81,15.88,15.8,15.83,122.0
2026-01-06 10:17:00-06:00,15.9,15.9,15.84,15.84,100.0
2026-01-06 10:18:00-06:00,15.86,15.9,15.81,15.87,139.0
2026-01-06 10:19:00-06:00,15.85,15.89,15.84,15.88,106.0
2026-01-06 10:20:00-06:00,15.87,15.91,15.8,15.9,117.0
2026-01-06 10:21:00-06:00,15.84,15.9,15.83,15.89,39.0
2026-01-06 10:22:00-06:00,15.89,15.93,15.89,15.92,37.0
2026-01-06 10:23:00-06:00,15.92,15.97,15.85,15.9,67.0
2026-01-06 10:24:00-06:00,15.92,16.0,15.92,15.98,161.0
2026-01-06 10:25:00-06:00,15.94,15.98,15.9,15.93,270.0
2026-01-06 10:26:00-06:00,15.93,15.97,15.91,15.91,78.0
2026-01-06 10:27:00-06:00,15.93,16.0,15.91,15.98,186.0
2026-01-06 10:28:00-06:00,15.99,16.28,15.99,16.27,449.0
2026-01-06 10:29:00-06:00,16.24,16.3,16.21,16.21,376.0
2026-01-06 10:30:00-06:00,16.27,16.32,16.2,16.23,397.0
2026-01-06 10:31:00-06:00,16.29,16.36,16.25,16.28,382.0
2026-01-06 10:32:00-06:00,16.32,16.32,16.14,16.22,159.0
2026-01-06 10:33:00-06:00,16.23,16.27,16.13,16.14,218.0
2026-01-06 10:34:00-06:00,16.14,16.21,16.11,16.11,109.0
2026-01-06 10:35:00-06:00,16.14,16.19,16.06,16.1,108.0
2026-01-06 10:36:00-06:00,16.06,16.1,16.0,16.03,209.0
2026-01-06 10:37:00-06:00,16.01,16.12,16.01,16.12,86.0
2026-01-06 10:38:00-06:00,16.08,16.2,16.08,16.14,138.0
2026-01-06 10:39:00-06:00,16.15,16.27,16.15,16.19,146.0
2026-01-06 10:40:00-06:00,16.2,16.22,16.17,16.18,118.0
2026-01-06 10:41:00-06:00,16.2,16.22,16.12,16.18,122.0
2026-01-06 10:42:00-06:00,16.17,16.24,16.1,16.1,98.0
2026-01-06 10:43:00-06:00,16.12,16.14,16.02,16.08,128.0
2026-01-06 10:44:00-06:00,16.11,16.12,16.07,16.1,33.0
2026-01-06 10:45:00-06:00,16.09,16.13,16.07,16.1,42.0
2026-01-06 10:46:00-06:00,16.07,16.16,16.07,16.16,58.0
2026-01-06 10:47:00-06:00,16.14,16.16,16.12,16.13,40.0
2026-01-06 10:48:00-06:00,16.12,16.15,16.1,16.13,44.0
2026-01-06 10:49:00-06:00,16.12,16.27,16.11,16.17,308.0
2026-01-06 10:50:00-06:00,16.27,16.35,16.17,16.19,295.0
2026-01-06 10:51:00-06:00,16.21,16.28,16.21,16.25,44.0
2026-01-06 10:52:00-06:00,16.28,16.34,16.23,16.27,93.0
2026-01-06 10:53:00-06:00,16.32,16.36,16.25,16.35,82.0
2026-01-06 10:54:00-06:00,16.36,16.39,16.26,16.27,173.0
2026-01-06 10:55:00-06:00,16.27,16.33,16.18,16.22,121.0
2026-01-06 10:56:00-06:00,16.24,16.35,16.23,16.33,245.0
2026-01-06 10:57:00-06:00,16.3,16.41,16.3,16.38,134.0
2026-01-06 10:58:00-06:00,16.36,16.42,16.36,16.42,115.0
2026-01-06 10:59:00-06:00,16.39,16.44,16.36,16.39,379.0
2026-01-06 11:00:00-06:00,16.43,16.43,16.36,16.41,504.0
2026-01-06 11:01:00-06:00,16.4,16.43,16.38,16.39,78.0
2026-01-06 11:02:00-06:00,16.4,16.43,16.4,16.42,48.0
2026-01-06 11:03:00-06:00,16.43,16.56,16.39,16.5,338.0
2026-01-06 11:04:00-06:00,16.52,16.58,16.46,16.49,200.0
2026-01-06 11:05:00-06:00,16.49,16.53,16.43,16.5,157.0
2026-01-06 11:06:00-06:00,16.48,16.63,16.48,16.56,461.0
