datetime,open,high,low,close,volume
2026-01-30 08:30:00-06:00,1.65,1.71,1.65,1.664,1005.0
2026-01-30 08:31:00-06:00,1.6674,1.74,1.66,1.72,777.0
2026-01-30 08:32:00-06:00,1.72,1.73,1.7,1.7202,517.0
2026-01-30 08:33:00-06:00,1.72,1.75,1.68,1.68,780.0
2026-01-30 08:34:00-06:00,1.6802,1.69,1.68,1.6899,135.0
2026-01-30 08:35:00-06:00,1.685,1.69,1.65,1.655,443.0
2026-01-30 08:36:00-06:00,1.65,1.65,1.6,1.62,1459.0
2026-01-30 08:37:00-06:00,1.62,1.638,1.59,1.63,720.0
2026-01-30 08:38:00-06:00,1.6283,1.6453,1.59,1.62,1039.0
2026-01-30 08:39:00-06:00,1.6101,1.65,1.61,1.6301,176.0
2026-01-30 08:40:00-06:00,1.6363,1.67,1.6363,1.6563,258.0
2026-01-30 08:41:00-06:00,1.65,1.67,1.64,1.65,104.0
2026-01-30 08:42:00-06:00,1.65,1.68,1.65,1.6602,88.0
2026-01-30 08:43:00-06:00,1.6611,1.67,1.64,1.65,298.0
2026-01-30 08:44:00-06:00,1.65,1.6806,1.64,1.68,124.0
2026-01-30 08:45:00-06:00,1.67,1.6899,1.665,1.665,644.0
2026-01-30 08:46:00-06:00,1.67,1.6802,1.67,1.6802,139.0
2026-01-30 08:47:00-06:00,1.685,1.78,1.685,1.7684,749.0
2026-01-30 08:48:00-06:00,1.77,1.8,1.77,1.8,1284.0
2026-01-30 08:49:00-06:00,1.8,1.82,1.78,1.805,1613.0
2026-01-30 08:50:00-06:00,1.8,1.8,1.75,1.77,989.0
2026-01-30 08:51:00-06:00,1.77,1.78,1.75,1.78,380.0
2026-01-30 08:52:00-06:00,1.7907,1.7999,1.77,1.7799,407.0
2026-01-30 08:53:00-06:00,1.775,1.79,1.75,1.775,506.0
2026-01-30 08:54:00-06:00,1.775,1.78,1.77,1.7707,193.0
2026-01-30 08:55:00-06:00,1.77,1.81,1.77,1.8,758.0
2026-01-30 08:56:00-06:00,1.8018,1.81,1.77,1.7738,663.0
2026-01-30 08:57:00-06:00,1.775,1.78,1.77,1.78,216.0
2026-01-30 08:58:00-06:00,1.78,1.78,1.77,1.775,252.0
2026-01-30 08:59:00-06:00,1.7778,1.78,1.77,1.7701,143.0
2026-01-30 09:00:00-06:00,1.77,1.78,1.75,1.78,402.0
2026-01-30 09:01:00-06:00,1.78,1.78,1.77,1.775,117.0
2026-01-30 09:02:00-06:00,1.775,1.8,1.77,1.78,477.0
2026-01-30 09:03:00-06:00,1.7799,1.78,1.77,1.7785,139.0
