datetime,open,high,low,close,volume
2026-01-14 08:30:00-06:00,2.2,2.2,2.11,2.125,6195.0
2026-01-14 08:31:00-06:00,2.125,2.145,2.08,2.105,3806.0
2026-01-14 08:32:00-06:00,2.105,2.11,2.05,2.085,3267.0
2026-01-14 08:33:00-06:00,2.0809,2.11,2.04,2.0979,4049.0
2026-01-14 08:34:00-06:00,2.1,2.16,2.085,2.115,4484.0
2026-01-14 08:35:00-06:00,2.1199,2.24,2.11,2.235,7910.0
2026-01-14 08:36:00-06:00,2.232,2.25,2.18,2.22,8576.0
2026-01-14 08:37:00-06:00,2.2194,2.27,2.2106,2.23,9189.0
2026-01-14 08:38:00-06:00,2.24,2.24,2.17,2.23,4405.0
2026-01-14 08:39:00-06:00,2.2219,2.27,2.17,2.25,5395.0
2026-01-14 08:40:00-06:00,2.24,2.26,2.205,2.2381,5351.0
2026-01-14 08:41:00-06:00,2.235,2.25,2.19,2.19,2591.0
2026-01-14 08:42:00-06:00,2.19,2.23,2.14,2.2246,5083.0
2026-01-14 08:43:00-06:00,2.225,2.25,2.21,2.225,2658.0
2026-01-14 08:44:00-06:00,2.225,2.23,2.18,2.2,2047.0
2026-01-14 08:45:00-06:00,2.205,2.22,2.19,2.1942,1517.0
2026-01-14 08:46:00-06:00,2.194,2.25,2.182,2.225,4496.0
2026-01-14 08:47:00-06:00,2.2203,2.27,2.17,2.245,6905.0
2026-01-14 08:48:00-06:00,2.242,2.31,2.2407,2.28,10263.0
2026-01-14 08:49:00-06:00,2.2739,2.31,2.24,2.285,7247.0
2026-01-14 08:50:00-06:00,2.28,2.29,2.24,2.2581,5222.0
2026-01-14 08:51:00-06:00,2.2542,2.27,2.22,2.2201,3801.0
2026-01-14 08:52:00-06:00,2.22,2.23,2.1,2.15,9851.0
2026-01-14 08:53:00-06:00,2.155,2.175,2.12,2.14,3472.0
2026-01-14 08:54:00-06:00,2.14,2.17,2.1202,2.16,2214.0
2026-01-14 08:55:00-06:00,2.165,2.1999,2.14,2.17,3602.0
2026-01-14 08:56:00-06:00,2.1784,2.18,2.15,2.1501,1090.0
2026-01-14 08:57:00-06:00,2.1509,2.16,2.13,2.148,1416.0
2026-01-14 08:58:00-06:00,2.145,2.17,2.135,2.1557,1679.0
2026-01-14 08:59:00-06:00,2.1509,2.1999,2.1501,2.1746,1960.0
2026-01-14 09:00:00-06:00,2.17,2.19,2.15,2.1569,1387.0
2026-01-14 09:01:00-06:00,2.16,2.18,2.14,2.1503,1137.0
2026-01-14 09:02:00-06:00,2.15,2.16,2.14,2.152,1050.0
2026-01-14 09:03:00-06:00,2.15,2.18,2.15,2.1706,1002.0
2026-01-14 09:04:00-06:00,2.1703,2.2,2.16,2.1632,2439.0
2026-01-14 09:05:00-06:00,2.16,2.1675,2.14,2.1519,1745.0
2026-01-14 09:06:00-06:00,2.15,2.16,2.14,2.1401,476.0
2026-01-14 09:07:00-06:00,2.1426,2.16,2.13,2.13,1724.0
2026-01-14 09:08:00-06:00,2.135,2.145,2.1,2.145,2370.0
