datetime,open,high,low,close,volume
2026-02-26 08:30:00-06:00,4.005,4.1,3.93,4.1,12183.0
2026-02-26 08:31:00-06:00,4.0999,4.41,4.095,4.3882,13680.0
2026-02-26 08:32:00-06:00,4.39,4.56,4.37,4.535,9521.0
2026-02-26 08:33:00-06:00,4.53,4.54,4.31,4.34,7190.0
2026-02-26 08:34:00-06:00,4.34,4.38,4.29,4.3403,4148.0
2026-02-26 08:35:00-06:00,4.345,4.5,4.3194,4.4805,6877.0
2026-02-26 08:36:00-06:00,4.4886,4.66,4.48,4.62,11803.0
2026-02-26 08:37:00-06:00,4.625,4.69,4.615,4.6425,7384.0
2026-02-26 08:38:00-06:00,4.6406,4.7,4.62,4.6701,4201.0
2026-02-26 08:39:00-06:00,4.679,4.685,4.6,4.67,4188.0
2026-02-26 08:40:00-06:00,4.6692,4.6899,4.58,4.59,3852.0
2026-02-26 08:41:00-06:00,4.59,4.75,4.57,4.7397,6844.0
2026-02-26 08:42:00-06:00,4.7375,4.76,4.71,4.72,4445.0
2026-02-26 08:43:00-06:00,4.72,4.73,4.63,4.655,3187.0
2026-02-26 08:44:00-06:00,4.66,4.68,4.5701,4.6204,1916.0
2026-02-26 08:45:00-06:00,4.621,4.66,4.55,4.6299,3297.0
2026-02-26 08:46:00-06:00,4.625,4.69,4.62,4.6746,2438.0
2026-02-26 08:47:00-06:00,4.6786,4.72,4.59,4.65,3952.0
2026-02-26 08:48:00-06:00,4.655,4.74,4.64,4.7199,2597.0
2026-02-26 08:49:00-06:00,4.7199,4.78,4.6901,4.732,4257.0
2026-02-26 08:50:00-06:00,4.74,4.84,4.67,4.8199,4531.0
2026-02-26 08:51:00-06:00,4.81,4.95,4.81,4.95,6854.0
2026-02-26 08:52:00-06:00,4.95,4.96,4.7001,4.805,6719.0
2026-02-26 08:53:00-06:00,4.8007,4.81,4.73,4.76,3001.0
2026-02-26 08:54:00-06:00,4.75,4.83,4.7,4.7251,3377.0
2026-02-26 08:55:00-06:00,4.725,4.77,4.61,4.635,4532.0
2026-02-26 08:56:00-06:00,4.63,4.77,4.58,4.77,3400.0
2026-02-26 08:57:00-06:00,4.76,4.8,4.68,4.6832,2877.0
2026-02-26 08:58:00-06:00,4.6802,4.74,4.68,4.69,1199.0
2026-02-26 08:59:00-06:00,4.6901,4.7081,4.55,4.63,5020.0
2026-02-26 09:00:00-06:00,4.6448,4.7274,4.6448,4.725,2963.0
