time,open,high,low,close,volume
2026-03-20T09:30:00,9.274,9.3281,9.209,9.2824,2141272
2026-03-20T09:31:00,9.2644,9.3741,9.1948,9.2888,1792252
2026-03-20T09:32:00,9.2754,9.3551,9.2314,9.2985,2635499
2026-03-20T09:33:00,9.3155,9.4187,9.1944,9.2808,2576827
2026-03-20T09:34:00,9.2854,9.3137,9.2008,9.2537,2549906
2026-03-20T09:35:00,9.237,9.2824,9.1815,9.2323,2172064
2026-03-20T09:36:00,9.226,9.3183,9.1559,9.2459,1684416
2026-03-20T09:37:00,9.2429,9.31,9.1212,9.2199,2481037
2026-03-20T09:38:00,9.2261,9.3575,9.1299,9.239,2282315
2026-03-20T09:39:00,9.228,9.3375,9.1016,9.2289,2688286
2026-03-20T09:40:00,9.2326,9.3442,9.1039,9.2072,2011167
2026-03-20T09:41:00,9.1977,9.2755,9.1547,9.2291,1653599
2026-03-20T09:42:00,9.2357,9.3095,9.0822,9.2147,2380186
2026-03-20T09:43:00,9.2145,9.3437,9.087,9.1947,1654041
2026-03-20T09:44:00,9.1877,9.2541,9.0951,9.1968,1727243
2026-03-20T09:45:00,9.1967,9.2653,9.0341,9.1763,2739368
2026-03-20T09:46:00,9.1821,9.2646,9.0921,9.1499,2454731
2026-03-20T09:47:00,9.1605,9.2582,9.0445,9.14,1938864
2026-03-20T09:48:00,9.127,9.1993,9.08,9.1607,1984053
2026-03-20T09:49:00,9.1679,9.2494,9.0077,9.1441,2508898
2026-03-20T09:50:00,9.1398,9.29,9.0591,9.1558,2663496
2026-03-20T09:51:00,9.1396,9.2076,8.9973,9.1304,1548518
2026-03-20T09:52:00,9.1283,9.1457,9.0703,9.1093,2319991
2026-03-20T09:53:00,9.0927,9.2095,9.0368,9.1108,2675009
2026-03-20T09:54:00,9.1048,9.1836,9.069,9.1316,2467881
2026-03-20T09:55:00,9.1217,9.2475,9.0336,9.1548,2446339
2026-03-20T09:56:00,9.1647,9.1965,9.1145,9.149,2090223
2026-03-20T09:57:00,9.1358,9.2433,9.0305,9.1291,2217090
2026-03-20T09:58:00,9.1386,9.2476,8.9878,9.1183,1998617
2026-03-20T09:59:00,9.1002,9.1858,9.0577,9.11,1874872
2026-03-20T10:00:00,9.0953,9.1235,9.0634,9.1034,1208342
2026-03-20T10:01:00,9.1011,9.169,9.0396,9.0912,761435
2026-03-20T10:02:00,9.0629,9.168,8.9463,9.0344,681044
2026-03-20T10:03:00,8.9915,9.0714,8.9375,9.0209,1338876
2026-03-20T10:04:00,9.0027,9.0713,8.9327,9.0234,940924
2026-03-20T10:05:00,8.9625,9.0857,8.869,8.9663,1194777
2026-03-20T10:06:00,8.9458,9.0809,8.8431,8.9175,641440
2026-03-20T10:07:00,8.8732,8.9199,8.8027,8.8829,695903
2026-03-20T10:08:00,8.8481,8.8905,8.8172,8.8687,723314
2026-03-20T10:09:00,8.8562,8.9272,8.7223,8.8132,1064872
2026-03-20T10:10:00,8.7714,8.8148,8.7488,8.784,1193193
2026-03-20T10:11:00,8.7437,8.8024,8.6754,8.7534,821316
2026-03-20T10:12:00,8.7308,8.8048,8.6896,8.7379,1308934
2026-03-20T10:13:00,8.6708,8.7845,8.561,8.6738,1166230
2026-03-20T10:14:00,8.6254,8.7234,8.5553,8.6318,1304191
2026-03-20T10:15:00,8.5839,8.6036,8.5284,8.5689,982223
2026-03-20T10:16:00,8.4922,8.588,8.4299,8.4912,850674
2026-03-20T10:17:00,8.4515,8.5164,8.3758,8.4548,1299978
2026-03-20T10:18:00,8.3829,8.4342,8.3414,8.4072,586987
2026-03-20T10:19:00,8.3543,8.4546,8.2293,8.3585,623085
2026-03-20T10:20:00,8.4367,8.5008,8.3566,8.403,1495011
2026-03-20T10:21:00,8.4037,8.4687,8.3109,8.4271,1239524
2026-03-20T10:22:00,8.4128,8.4423,8.3663,8.4043,1813148
2026-03-20T10:23:00,8.4679,8.5572,8.3905,8.471,1143150
2026-03-20T10:24:00,8.5524,8.6137,8.4895,8.5491,2289076
2026-03-20T10:25:00,8.6411,8.769,8.5365,8.6409,1365814
2026-03-20T10:26:00,8.685,8.7693,8.5326,8.6678,1023643
2026-03-20T10:27:00,8.6922,8.7212,8.664,8.6927,1250309
2026-03-20T10:28:00,8.7135,8.8168,8.6391,8.737,2059393
2026-03-20T10:29:00,8.828,8.8718,8.7649,8.8047,1354556
2026-03-20T10:30:00,8.8412,8.8965,8.7818,8.8378,1171459
2026-03-20T10:31:00,8.9269,8.9864,8.8315,8.9292,1163737
2026-03-20T10:32:00,8.9539,9.0627,8.883,8.9631,1772964
2026-03-20T10:33:00,9.0006,9.0484,8.9411,8.9797,2067968
2026-03-20T10:34:00,9.0228,9.0819,8.8751,9.0025,1674650
2026-03-20T10:35:00,9.0126,9.055,8.9674,9.0266,999768
2026-03-20T10:36:00,9.1347,9.2412,9.0408,9.1289,1332704
2026-03-20T10:37:00,9.1953,9.2351,9.1196,9.1677,2182604
2026-03-20T10:38:00,9.2764,9.2985,9.2273,9.2478,1850685
2026-03-20T10:39:00,9.2382,9.2788,9.201,9.2627,2287286
2026-03-20T10:40:00,9.2307,9.3288,9.1756,9.229,204709
2026-03-20T10:41:00,9.2155,9.2825,9.109,9.1944,457850
2026-03-20T10:42:00,9.2174,9.2463,9.1886,9.2189,684372
2026-03-20T10:43:00,9.2328,9.269,9.1668,9.2137,568577
2026-03-20T10:44:00,9.208,9.3219,9.1257,9.1949,343117
2026-03-20T10:45:00,9.1702,9.2317,9.1339,9.1934,220760
2026-03-20T10:46:00,9.1908,9.3071,9.0881,9.1897,739548
2026-03-20T10:47:00,9.1799,9.2235,9.1532,9.1971,527106
2026-03-20T10:48:00,9.1573,9.2348,9.1089,9.1891,625413
2026-03-20T10:49:00,9.177,9.2347,9.1434,9.1728,676751
2026-03-20T10:50:00,9.1735,9.2539,9.0889,9.1685,241293
2026-03-20T10:51:00,9.1576,9.1835,9.1002,9.1225,628429
2026-03-20T10:52:00,9.1101,9.1725,9.0481,9.1345,751691
2026-03-20T10:53:00,9.1618,9.2109,9.0976,9.1366,239551
2026-03-20T10:54:00,9.1408,9.2349,9.003,9.122,233762
2026-03-20T10:55:00,9.1097,9.2008,9.0296,9.1058,530306
2026-03-20T10:56:00,9.1194,9.2837,9.0069,9.1452,652994
2026-03-20T10:57:00,9.1642,9.2516,9.1068,9.1939,510713
2026-03-20T10:58:00,9.1772,9.3032,9.1035,9.1735,224247
2026-03-20T10:59:00,9.1742,9.2214,9.1429,9.1816,292305
2026-03-20T11:00:00,9.1919,9.2098,9.1485,9.1724,459322
2026-03-20T11:01:00,9.2008,9.258,9.1082,9.2013,339998
2026-03-20T11:02:00,9.2064,9.2543,9.1637,9.2319,405318
2026-03-20T11:03:00,9.196,9.2918,9.1392,9.1976,469228
2026-03-20T11:04:00,9.2057,9.2595,9.1598,9.2163,577952
2026-03-20T11:05:00,9.1872,9.2223,9.1658,9.2001,314083
2026-03-20T11:06:00,9.1654,9.2467,9.0814,9.1832,480489
2026-03-20T11:07:00,9.1657,9.2121,9.139,9.1825,234774
2026-03-20T11:08:00,9.1605,9.2431,9.0913,9.1867,270027
2026-03-20T11:09:00,9.1857,9.2347,9.1484,9.1833,546716
2026-03-20T11:10:00,9.1425,9.2384,9.0491,9.1638,758860
2026-03-20T11:11:00,9.1771,9.236,9.0773,9.1756,543366
2026-03-20T11:12:00,9.1583,9.2318,9.0941,9.1833,480248
2026-03-20T11:13:00,9.1667,9.2202,9.1272,9.1697,604183
2026-03-20T11:14:00,9.1439,9.2066,9.0448,9.1203,599679
2026-03-20T11:15:00,9.0758,9.132,9.0452,9.1059,506927
2026-03-20T11:16:00,9.0631,9.1154,9.0012,9.054,406917
2026-03-20T11:17:00,9.0346,9.0647,8.9831,9.0163,399088
2026-03-20T11:18:00,9.0182,9.1299,8.9289,8.9982,577361
2026-03-20T11:19:00,9.02,9.0441,8.9757,9.0031,516046
2026-03-20T11:20:00,9.0073,9.0884,8.9589,9.0135,198663
2026-03-20T11:21:00,8.9934,9.0633,8.9328,9.0007,204695
2026-03-20T11:22:00,8.9872,9.0656,8.9341,9.0079,453691
2026-03-20T11:23:00,8.9906,9.0194,8.964,8.9937,672587
2026-03-20T11:24:00,9.0159,9.0793,8.9246,8.9946,639931
2026-03-20T11:25:00,8.9618,9.0474,8.9061,8.9849,539111
2026-03-20T11:26:00,8.9704,9.0455,8.8807,8.9432,477674
2026-03-20T11:27:00,8.9193,8.9619,8.8555,8.911,429873
