datetime,open,high,low,close,volume
2026-01-21 08:30:00-06:00,13.85,13.85,13.6,13.6,6.0
2026-01-21 08:31:00-06:00,13.51,13.51,13.51,13.51,4.0
2026-01-21 08:32:00-06:00,13.5,13.62,13.39,13.57,1651.0
2026-01-21 08:33:00-06:00,13.51,13.57,13.4,13.4,148.0
2026-01-21 08:34:00-06:00,13.47,13.56,13.3,13.32,222.0
2026-01-21 08:35:00-06:00,13.32,13.36,13.17,13.25,115.0
2026-01-21 08:36:00-06:00,13.26,13.32,13.2,13.23,43.0
2026-01-21 08:37:00-06:00,13.22,13.29,13.22,13.29,39.0
2026-01-21 08:38:00-06:00,13.26,13.44,13.25,13.39,211.0
2026-01-21 08:39:00-06:00,13.38,13.42,13.35,13.38,24.0
2026-01-21 08:40:00-06:00,13.45,13.45,13.41,13.43,4.0
2026-01-21 08:41:00-06:00,13.45,13.47,13.38,13.38,46.0
2026-01-21 08:42:00-06:00,13.39,13.42,13.38,13.39,19.0
2026-01-21 08:43:00-06:00,13.39,13.42,13.36,13.37,28.0
2026-01-21 08:44:00-06:00,13.38,13.39,13.38,13.38,23.0
2026-01-21 08:45:00-06:00,13.38,13.58,13.38,13.58,89.0
2026-01-21 08:46:00-06:00,13.54,13.54,13.45,13.51,74.0
2026-01-21 08:47:00-06:00,13.5,13.53,13.45,13.5,116.0
2026-01-21 08:48:00-06:00,13.52,13.52,13.48,13.48,38.0
2026-01-21 08:49:00-06:00,13.49,13.52,13.48,13.51,91.0
2026-01-21 08:50:00-06:00,13.49,13.49,13.43,13.44,102.0
2026-01-21 08:51:00-06:00,13.45,13.45,13.32,13.32,61.0
2026-01-21 08:52:00-06:00,13.32,13.37,13.31,13.34,130.0
2026-01-21 08:53:00-06:00,13.34,13.36,13.17,13.21,196.0
2026-01-21 08:54:00-06:00,13.18,13.21,13.08,13.08,63.0
2026-01-21 08:55:00-06:00,13.09,13.11,13.0,13.06,158.0
2026-01-21 08:56:00-06:00,13.1,13.17,13.1,13.17,20.0
2026-01-21 08:57:00-06:00,13.22,13.32,13.22,13.31,64.0
2026-01-21 08:58:00-06:00,13.39,13.39,13.32,13.33,5.0
2026-01-21 08:59:00-06:00,13.37,13.4,13.33,13.35,50.0
2026-01-21 09:00:00-06:00,13.33,13.4,13.33,13.4,51.0
2026-01-21 09:01:00-06:00,13.41,13.46,13.33,13.4,112.0
2026-01-21 09:02:00-06:00,13.37,13.47,13.35,13.37,65.0
2026-01-21 09:03:00-06:00,13.38,13.38,13.3,13.31,91.0
2026-01-21 09:04:00-06:00,13.3,13.34,13.25,13.25,187.0
2026-01-21 09:05:00-06:00,13.29,13.32,13.26,13.27,57.0
2026-01-21 09:06:00-06:00,13.27,13.32,13.22,13.31,63.0
2026-01-21 09:07:00-06:00,13.31,13.33,13.3,13.31,31.0
2026-01-21 09:08:00-06:00,13.33,13.34,13.29,13.32,46.0
2026-01-21 09:09:00-06:00,13.32,13.32,13.22,13.25,82.0
2026-01-21 09:10:00-06:00,13.25,13.33,13.25,13.28,125.0
2026-01-21 09:11:00-06:00,13.31,13.31,13.29,13.29,20.0
2026-01-21 09:12:00-06:00,13.29,13.38,13.29,13.35,166.0
2026-01-21 09:13:00-06:00,13.35,13.35,13.17,13.17,168.0
2026-01-21 09:14:00-06:00,13.15,13.22,13.15,13.21,193.0
2026-01-21 09:15:00-06:00,13.23,13.24,13.19,13.19,179.0
2026-01-21 09:16:00-06:00,13.2,13.31,13.19,13.31,209.0
2026-01-21 09:17:00-06:00,13.34,13.4,13.31,13.36,12.0
2026-01-21 09:18:00-06:00,13.36,13.36,13.31,13.34,10.0
2026-01-21 09:19:00-06:00,13.31,13.36,13.27,13.31,39.0
2026-01-21 09:20:00-06:00,13.31,13.31,13.27,13.31,19.0
2026-01-21 09:21:00-06:00,13.31,13.4,13.29,13.31,425.0
2026-01-21 09:22:00-06:00,13.31,13.31,13.21,13.22,182.0
2026-01-21 09:23:00-06:00,13.22,13.22,13.17,13.21,88.0
2026-01-21 09:24:00-06:00,13.22,13.23,13.16,13.16,83.0
2026-01-21 09:25:00-06:00,13.16,13.19,13.14,13.16,61.0
2026-01-21 09:26:00-06:00,13.13,13.17,13.13,13.15,47.0
2026-01-21 09:27:00-06:00,13.15,13.16,13.14,13.15,57.0
2026-01-21 09:28:00-06:00,13.15,13.19,13.1,13.15,22.0
2026-01-21 09:29:00-06:00,13.19,13.21,13.15,13.2,94.0
2026-01-21 09:30:00-06:00,13.19,13.25,13.19,13.23,53.0
2026-01-21 09:31:00-06:00,13.25,13.25,13.23,13.23,7.0
2026-01-21 09:32:00-06:00,13.22,13.25,13.21,13.23,58.0
2026-01-21 09:33:00-06:00,13.24,13.25,13.24,13.25,16.0
2026-01-21 09:34:00-06:00,13.24,13.25,13.22,13.22,44.0
2026-01-21 09:35:00-06:00,13.24,13.26,13.23,13.26,49.0
