datetime,open,high,low,close,volume
2026-03-04 08:30:00-06:00,16.95,17.14,16.92,17.13,2152.0
2026-03-04 08:31:00-06:00,17.13,17.28,17.07,17.21,2123.0
2026-03-04 08:32:00-06:00,17.21,17.36,17.21,17.25,1596.0
2026-03-04 08:33:00-06:00,17.25,17.29,17.13,17.2,1950.0
2026-03-04 08:34:00-06:00,17.19,17.3,17.18,17.25,1852.0
2026-03-04 08:35:00-06:00,17.26,17.27,17.09,17.1,2647.0
2026-03-04 08:36:00-06:00,17.11,17.14,16.96,16.98,1632.0
2026-03-04 08:37:00-06:00,16.99,17.05,16.95,17.01,1722.0
2026-03-04 08:38:00-06:00,17.03,17.09,17.01,17.07,1017.0
2026-03-04 08:39:00-06:00,17.07,17.09,16.98,17.03,1691.0
2026-03-04 08:40:00-06:00,17.02,17.09,16.96,17.08,1180.0
2026-03-04 08:41:00-06:00,17.08,17.12,16.97,17.0,683.0
2026-03-04 08:42:00-06:00,17.0,17.03,16.89,16.9,1003.0
2026-03-04 08:43:00-06:00,16.91,16.94,16.83,16.84,800.0
2026-03-04 08:44:00-06:00,16.85,16.88,16.81,16.82,840.0
2026-03-04 08:45:00-06:00,16.8,16.87,16.74,16.77,1130.0
2026-03-04 08:46:00-06:00,16.78,16.89,16.78,16.82,1094.0
2026-03-04 08:47:00-06:00,16.82,16.9,16.79,16.84,540.0
2026-03-04 08:48:00-06:00,16.86,16.93,16.84,16.91,507.0
2026-03-04 08:49:00-06:00,16.91,16.93,16.84,16.92,753.0
2026-03-04 08:50:00-06:00,16.92,16.95,16.87,16.87,1267.0
2026-03-04 08:51:00-06:00,16.87,16.97,16.87,16.95,1146.0
2026-03-04 08:52:00-06:00,16.94,16.99,16.91,16.96,740.0
2026-03-04 08:53:00-06:00,16.96,16.97,16.92,16.96,508.0
2026-03-04 08:54:00-06:00,16.95,16.97,16.91,16.95,405.0
2026-03-04 08:55:00-06:00,16.94,16.95,16.87,16.88,405.0
2026-03-04 08:56:00-06:00,16.88,16.97,16.87,16.95,278.0
2026-03-04 08:57:00-06:00,16.93,16.94,16.87,16.89,238.0
2026-03-04 08:58:00-06:00,16.88,16.89,16.85,16.88,254.0
2026-03-04 08:59:00-06:00,16.87,16.91,16.87,16.91,151.0
2026-03-04 09:00:00-06:00,16.91,17.07,16.91,17.05,1098.0
2026-03-04 09:01:00-06:00,17.05,17.09,16.99,17.02,1678.0
2026-03-04 09:02:00-06:00,17.02,17.11,17.0,17.02,517.0
2026-03-04 09:03:00-06:00,17.01,17.03,16.93,16.95,389.0
2026-03-04 09:04:00-06:00,16.95,16.99,16.9,16.91,562.0
2026-03-04 09:05:00-06:00,16.93,16.96,16.91,16.94,313.0
2026-03-04 09:06:00-06:00,16.94,16.97,16.9,16.96,278.0
2026-03-04 09:07:00-06:00,16.95,16.99,16.94,16.99,471.0
2026-03-04 09:08:00-06:00,16.99,17.12,16.99,17.1,1016.0
2026-03-04 09:09:00-06:00,17.1,17.1,17.04,17.07,272.0
2026-03-04 09:10:00-06:00,17.07,17.09,17.05,17.09,554.0
2026-03-04 09:11:00-06:00,17.1,17.15,17.07,17.14,407.0
2026-03-04 09:12:00-06:00,17.14,17.17,17.11,17.13,387.0
2026-03-04 09:13:00-06:00,17.13,17.19,17.11,17.17,888.0
2026-03-04 09:14:00-06:00,17.18,17.18,17.05,17.08,704.0
2026-03-04 09:15:00-06:00,17.07,17.13,17.07,17.11,449.0
2026-03-04 09:16:00-06:00,17.12,17.17,17.11,17.16,423.0
2026-03-04 09:17:00-06:00,17.16,17.19,17.14,17.17,832.0
2026-03-04 09:18:00-06:00,17.17,17.2,17.15,17.17,1345.0
2026-03-04 09:19:00-06:00,17.17,17.25,17.16,17.25,1314.0
2026-03-04 09:20:00-06:00,17.25,17.3,17.23,17.29,1232.0
2026-03-04 09:21:00-06:00,17.3,17.31,17.22,17.23,920.0
2026-03-04 09:22:00-06:00,17.22,17.26,17.21,17.24,490.0
2026-03-04 09:23:00-06:00,17.24,17.24,17.17,17.19,341.0
2026-03-04 09:24:00-06:00,17.2,17.23,17.16,17.22,478.0
2026-03-04 09:25:00-06:00,17.21,17.26,17.21,17.23,411.0
2026-03-04 09:26:00-06:00,17.23,17.43,17.21,17.4,3361.0
2026-03-04 09:27:00-06:00,17.39,17.47,17.37,17.43,1136.0
2026-03-04 09:28:00-06:00,17.43,17.46,17.41,17.46,663.0
2026-03-04 09:29:00-06:00,17.46,17.54,17.45,17.53,1219.0
2026-03-04 09:30:00-06:00,17.53,17.55,17.45,17.48,1109.0
2026-03-04 09:31:00-06:00,17.48,17.58,17.48,17.55,970.0
2026-03-04 09:32:00-06:00,17.55,17.57,17.47,17.47,919.0
2026-03-04 09:33:00-06:00,17.47,17.48,17.43,17.48,1023.0
2026-03-04 09:34:00-06:00,17.48,17.5,17.46,17.47,596.0
2026-03-04 09:35:00-06:00,17.47,17.47,17.43,17.44,702.0
2026-03-04 09:36:00-06:00,17.44,17.46,17.41,17.42,841.0
