datetime,open,high,low,close,volume
2026-02-24 08:30:00-06:00,1.62,1.64,1.62,1.62,114.0
2026-02-24 08:31:00-06:00,1.615,1.615,1.5905,1.598,82.0
2026-02-24 08:32:00-06:00,1.61,1.66,1.59,1.66,140.0
2026-02-24 08:33:00-06:00,1.66,1.665,1.62,1.6246,45.0
2026-02-24 08:34:00-06:00,1.6392,1.66,1.6392,1.6598,61.0
2026-02-24 08:35:00-06:00,1.655,1.655,1.63,1.65,54.0
2026-02-24 08:36:00-06:00,1.645,1.6493,1.63,1.63,42.0
2026-02-24 08:37:00-06:00,1.6218,1.6386,1.6218,1.63,29.0
2026-02-24 08:38:00-06:00,1.63,1.6302,1.63,1.6302,12.0
2026-02-24 08:39:00-06:00,1.6301,1.6301,1.62,1.62,63.0
2026-02-24 08:40:00-06:00,1.615,1.6259,1.6101,1.6259,20.0
2026-02-24 08:41:00-06:00,1.62,1.63,1.62,1.63,28.0
2026-02-24 08:42:00-06:00,1.6101,1.6101,1.6046,1.61,55.0
2026-02-24 08:43:00-06:00,1.6,1.605,1.6,1.6,8.0
2026-02-24 08:44:00-06:00,1.6002,1.6003,1.6,1.6,37.0
2026-02-24 08:45:00-06:00,1.6017,1.6173,1.6,1.61,37.0
2026-02-24 08:46:00-06:00,1.61,1.61,1.61,1.61,0.0
2026-02-24 08:47:00-06:00,1.61,1.61,1.61,1.61,3.0
2026-02-24 08:48:00-06:00,1.6,1.6,1.57,1.57,656.0
2026-02-24 08:49:00-06:00,1.56,1.58,1.56,1.58,51.0
2026-02-24 08:50:00-06:00,1.58,1.58,1.565,1.57,45.0
2026-02-24 08:51:00-06:00,1.56,1.57,1.54,1.55,155.0
2026-02-24 08:52:00-06:00,1.55,1.55,1.54,1.55,34.0
2026-02-24 08:53:00-06:00,1.5402,1.55,1.54,1.5401,47.0
2026-02-24 08:54:00-06:00,1.54,1.545,1.54,1.54,25.0
2026-02-24 08:55:00-06:00,1.54,1.545,1.54,1.545,319.0
2026-02-24 08:56:00-06:00,1.54,1.565,1.54,1.565,42.0
2026-02-24 08:57:00-06:00,1.5655,1.57,1.5649,1.5649,82.0
2026-02-24 08:58:00-06:00,1.5602,1.5602,1.56,1.56,16.0
2026-02-24 08:59:00-06:00,1.565,1.5699,1.565,1.5699,10.0
2026-02-24 09:00:00-06:00,1.565,1.588,1.56,1.58,25.0
2026-02-24 09:01:00-06:00,1.5863,1.5863,1.58,1.58,6.0
2026-02-24 09:02:00-06:00,1.59,1.59,1.585,1.585,15.0
2026-02-24 09:03:00-06:00,1.585,1.585,1.585,1.585,0.0
2026-02-24 09:04:00-06:00,1.585,1.585,1.585,1.585,0.0
2026-02-24 09:05:00-06:00,1.5702,1.5703,1.54,1.55,111.0
2026-02-24 09:06:00-06:00,1.56,1.57,1.5502,1.5568,71.0
2026-02-24 09:07:00-06:00,1.56,1.595,1.56,1.59,45.0
2026-02-24 09:08:00-06:00,1.595,1.595,1.59,1.59,41.0
2026-02-24 09:09:00-06:00,1.58,1.58,1.5606,1.5606,27.0
