datetime,open,high,low,close,volume
2026-02-06 08:30:00-06:00,11.98,12.0,11.76,11.85,417.0
2026-02-06 08:31:00-06:00,11.77,11.94,11.77,11.77,17.0
2026-02-06 08:32:00-06:00,11.85,11.86,11.78,11.86,14.0
2026-02-06 08:33:00-06:00,11.79,11.92,11.7,11.81,629.0
2026-02-06 08:34:00-06:00,11.85,11.92,11.81,11.85,29.0
2026-02-06 08:35:00-06:00,11.86,11.91,11.79,11.86,211.0
2026-02-06 08:36:00-06:00,11.88,11.88,11.8,11.84,76.0
2026-02-06 08:37:00-06:00,11.85,12.0,11.84,11.99,149.0
2026-02-06 08:38:00-06:00,12.03,12.03,11.92,11.98,233.0
2026-02-06 08:39:00-06:00,11.98,11.98,11.89,11.91,195.0
2026-02-06 08:40:00-06:00,11.9,11.9,11.85,11.88,93.0
2026-02-06 08:41:00-06:00,11.87,11.87,11.82,11.82,55.0
2026-02-06 08:42:00-06:00,11.84,12.02,11.83,12.0,152.0
2026-02-06 08:43:00-06:00,12.01,12.07,12.01,12.03,94.0
2026-02-06 08:44:00-06:00,12.07,12.15,12.06,12.15,617.0
2026-02-06 08:45:00-06:00,12.15,12.18,12.12,12.16,169.0
2026-02-06 08:46:00-06:00,12.2,12.22,12.16,12.2,155.0
2026-02-06 08:47:00-06:00,12.17,12.2,12.14,12.15,131.0
2026-02-06 08:48:00-06:00,12.18,12.18,12.13,12.16,14.0
2026-02-06 08:49:00-06:00,12.15,12.2,12.15,12.19,37.0
2026-02-06 08:50:00-06:00,12.19,12.34,12.18,12.31,251.0
2026-02-06 08:51:00-06:00,12.31,12.34,12.27,12.34,93.0
2026-02-06 08:52:00-06:00,12.32,12.4,12.27,12.28,108.0
2026-02-06 08:53:00-06:00,12.31,12.31,12.27,12.27,108.0
2026-02-06 08:54:00-06:00,12.24,12.27,12.16,12.16,57.0
2026-02-06 08:55:00-06:00,12.15,12.15,12.11,12.14,54.0
2026-02-06 08:56:00-06:00,12.15,12.15,12.05,12.08,69.0
2026-02-06 08:57:00-06:00,12.07,12.25,12.07,12.22,159.0
2026-02-06 08:58:00-06:00,12.21,12.21,12.19,12.19,8.0
