datetime,open,high,low,close,volume
2026-02-05 08:30:00-06:00,13.89,13.95,13.0,13.01,667.0
2026-02-05 08:31:00-06:00,13.25,13.48,12.24,12.63,302.0
2026-02-05 08:32:00-06:00,12.69,13.18,12.54,12.67,300.0
2026-02-05 08:33:00-06:00,12.73,13.39,12.66,13.38,173.0
2026-02-05 08:34:00-06:00,13.4,13.4,13.08,13.23,33.0
2026-02-05 08:35:00-06:00,13.23,13.49,13.19,13.39,177.0
2026-02-05 08:36:00-06:00,13.39,13.45,13.29,13.32,48.0
2026-02-05 08:37:00-06:00,13.32,13.32,12.96,13.05,82.0
2026-02-05 08:38:00-06:00,13.05,13.07,12.73,12.83,72.0
2026-02-05 08:39:00-06:00,12.82,12.82,12.62,12.62,18.0
2026-02-05 08:40:00-06:00,12.63,13.12,12.53,12.53,73.0
2026-02-05 08:41:00-06:00,12.55,12.55,12.38,12.38,62.0
2026-02-05 08:42:00-06:00,12.42,12.6,12.41,12.6,134.0
2026-02-05 08:43:00-06:00,12.6,12.75,12.59,12.7,46.0
2026-02-05 08:44:00-06:00,12.74,12.74,12.31,12.33,56.0
2026-02-05 08:45:00-06:00,12.32,12.4,12.23,12.32,30.0
2026-02-05 08:46:00-06:00,12.23,12.24,11.9,12.01,254.0
2026-02-05 08:47:00-06:00,11.91,11.91,11.59,11.65,156.0
2026-02-05 08:48:00-06:00,11.65,11.72,11.13,11.29,81.0
2026-02-05 08:49:00-06:00,11.39,11.41,11.27,11.4,67.0
2026-02-05 08:50:00-06:00,11.4,11.58,11.4,11.5,77.0
2026-02-05 08:51:00-06:00,11.5,11.68,11.49,11.57,89.0
2026-02-05 08:52:00-06:00,11.63,11.83,11.52,11.73,249.0
2026-02-05 08:53:00-06:00,11.82,12.0,11.79,11.96,54.0
2026-02-05 08:54:00-06:00,11.96,12.3,11.96,12.15,69.0
2026-02-05 08:55:00-06:00,12.23,12.25,12.06,12.25,69.0
2026-02-05 08:56:00-06:00,12.19,12.28,12.16,12.23,22.0
2026-02-05 08:57:00-06:00,12.14,12.17,12.1,12.14,28.0
2026-02-05 08:58:00-06:00,12.21,12.21,12.07,12.07,18.0
2026-02-05 08:59:00-06:00,12.0,12.06,11.94,12.01,108.0
2026-02-05 09:00:00-06:00,11.94,11.98,11.76,11.84,49.0
2026-02-05 09:01:00-06:00,11.84,11.91,11.82,11.91,55.0
2026-02-05 09:02:00-06:00,11.91,11.97,11.88,11.89,16.0
2026-02-05 09:03:00-06:00,11.97,11.97,11.89,11.93,44.0
2026-02-05 09:04:00-06:00,11.93,11.93,11.92,11.93,10.0
2026-02-05 09:05:00-06:00,11.95,11.95,11.81,11.87,30.0
2026-02-05 09:06:00-06:00,11.85,11.86,11.78,11.79,17.0
2026-02-05 09:07:00-06:00,11.79,11.81,11.74,11.74,34.0
2026-02-05 09:08:00-06:00,11.76,11.87,11.75,11.79,40.0
2026-02-05 09:09:00-06:00,11.77,11.9,11.77,11.88,40.0
2026-02-05 09:10:00-06:00,11.88,11.93,11.85,11.85,27.0
2026-02-05 09:11:00-06:00,11.73,11.82,11.73,11.82,12.0
2026-02-05 09:12:00-06:00,11.85,11.87,11.83,11.87,14.0
2026-02-05 09:13:00-06:00,11.88,11.94,11.87,11.91,14.0
2026-02-05 09:14:00-06:00,11.88,12.03,11.88,12.0,39.0
2026-02-05 09:15:00-06:00,12.01,12.05,11.92,12.03,99.0
2026-02-05 09:16:00-06:00,12.08,12.25,12.08,12.25,55.0
2026-02-05 09:17:00-06:00,12.29,12.33,12.16,12.16,16.0
2026-02-05 09:18:00-06:00,12.19,12.19,12.07,12.15,8.0
2026-02-05 09:19:00-06:00,12.06,12.08,11.95,12.0,149.0
2026-02-05 09:20:00-06:00,11.94,11.99,11.92,11.99,3.0
2026-02-05 09:21:00-06:00,11.99,11.99,11.94,11.98,20.0
2026-02-05 09:22:00-06:00,11.99,11.99,11.9,11.9,7.0
2026-02-05 09:23:00-06:00,11.86,11.86,11.86,11.86,1.0
2026-02-05 09:24:00-06:00,11.85,11.87,11.81,11.81,10.0
2026-02-05 09:25:00-06:00,11.83,11.86,11.81,11.85,38.0
2026-02-05 09:26:00-06:00,11.83,11.83,11.73,11.73,18.0
2026-02-05 09:27:00-06:00,11.73,11.75,11.73,11.74,6.0
2026-02-05 09:28:00-06:00,11.75,11.75,11.75,11.75,1.0
2026-02-05 09:29:00-06:00,11.72,11.72,11.7,11.71,56.0
2026-02-05 09:30:00-06:00,11.66,11.85,11.65,11.76,56.0
2026-02-05 09:31:00-06:00,11.79,11.82,11.72,11.72,30.0
2026-02-05 09:32:00-06:00,11.74,11.74,11.69,11.7,40.0
2026-02-05 09:33:00-06:00,11.58,11.61,11.57,11.57,6.0
2026-02-05 09:34:00-06:00,11.6,11.6,11.57,11.57,8.0
2026-02-05 09:35:00-06:00,11.62,11.63,11.57,11.59,34.0
2026-02-05 09:36:00-06:00,11.62,11.66,11.54,11.63,31.0
2026-02-05 09:37:00-06:00,11.66,11.67,11.61,11.67,24.0
2026-02-05 09:38:00-06:00,11.69,11.73,11.68,11.73,62.0
2026-02-05 09:39:00-06:00,11.74,11.78,11.74,11.78,20.0
2026-02-05 09:40:00-06:00,11.73,11.79,11.72,11.79,27.0
2026-02-05 09:41:00-06:00,11.79,11.85,11.77,11.77,59.0
2026-02-05 09:42:00-06:00,11.77,11.78,11.77,11.77,11.0
2026-02-05 09:43:00-06:00,11.77,11.77,11.77,11.77,16.0
2026-02-05 09:44:00-06:00,11.77,11.81,11.76,11.77,19.0
2026-02-05 09:45:00-06:00,11.72,11.74,11.71,11.71,24.0
2026-02-05 09:46:00-06:00,11.71,11.75,11.69,11.75,16.0
2026-02-05 09:47:00-06:00,11.75,11.79,11.75,11.79,12.0
2026-02-05 09:48:00-06:00,11.77,11.77,11.77,11.77,3.0
2026-02-05 09:49:00-06:00,11.77,11.77,11.77,11.77,6.0
2026-02-05 09:50:00-06:00,11.79,11.8,11.78,11.78,2.0
2026-02-05 09:51:00-06:00,11.76,11.84,11.75,11.84,17.0
2026-02-05 09:52:00-06:00,11.82,11.82,11.8,11.8,7.0
2026-02-05 09:53:00-06:00,11.78,11.86,11.77,11.86,13.0
2026-02-05 09:54:00-06:00,11.87,11.87,11.87,11.87,1.0
2026-02-05 09:55:00-06:00,11.89,11.94,11.89,11.9,15.0
2026-02-05 09:56:00-06:00,11.91,11.94,11.9,11.94,13.0
2026-02-05 09:57:00-06:00,11.97,11.97,11.94,11.94,5.0
2026-02-05 09:58:00-06:00,11.95,11.95,11.95,11.95,1.0
2026-02-05 09:59:00-06:00,11.98,12.01,11.98,12.01,27.0
2026-02-05 10:00:00-06:00,11.99,12.01,11.97,11.98,15.0
2026-02-05 10:01:00-06:00,12.01,12.01,11.97,11.98,19.0
2026-02-05 10:02:00-06:00,11.98,12.18,11.96,11.99,36.0
2026-02-05 10:03:00-06:00,12.0,12.03,11.98,12.02,20.0
2026-02-05 10:04:00-06:00,12.04,12.04,11.97,12.0,31.0
2026-02-05 10:05:00-06:00,11.98,12.0,11.98,12.0,14.0
2026-02-05 10:06:00-06:00,11.97,11.97,11.87,11.87,41.0
2026-02-05 10:07:00-06:00,11.87,11.89,11.86,11.88,37.0
2026-02-05 10:08:00-06:00,11.88,11.91,11.88,11.88,14.0
2026-02-05 10:09:00-06:00,11.9,11.95,11.9,11.95,49.0
2026-02-05 10:10:00-06:00,11.98,11.98,11.98,11.98,4.0
2026-02-05 10:11:00-06:00,11.98,11.98,11.98,11.98,2.0
2026-02-05 10:12:00-06:00,11.98,11.98,11.98,11.98,0.0
