datetime,open,high,low,close,volume
2025-12-12 08:30:00-06:00,1.38,1.44,1.35,1.3635,22327.0
2025-12-12 08:31:00-06:00,1.365,1.43,1.365,1.4212,16848.0
2025-12-12 08:32:00-06:00,1.42,1.45,1.37,1.3752,16314.0
2025-12-12 08:33:00-06:00,1.3788,1.39,1.35,1.39,7667.0
2025-12-12 08:34:00-06:00,1.38,1.385,1.36,1.37,4802.0
2025-12-12 08:35:00-06:00,1.375,1.38,1.36,1.375,7383.0
2025-12-12 08:36:00-06:00,1.3799,1.38,1.33,1.3588,14265.0
2025-12-12 08:37:00-06:00,1.3594,1.39,1.3506,1.375,4377.0
2025-12-12 08:38:00-06:00,1.375,1.39,1.35,1.38,5730.0
2025-12-12 08:39:00-06:00,1.3714,1.39,1.37,1.3876,6007.0
2025-12-12 08:40:00-06:00,1.38,1.39,1.36,1.372,3823.0
2025-12-12 08:41:00-06:00,1.3702,1.3702,1.35,1.3538,5752.0
2025-12-12 08:42:00-06:00,1.35,1.36,1.34,1.3501,4162.0
2025-12-12 08:43:00-06:00,1.355,1.36,1.34,1.342,2968.0
2025-12-12 08:44:00-06:00,1.3499,1.38,1.34,1.3719,2599.0
2025-12-12 08:45:00-06:00,1.375,1.38,1.34,1.3445,2769.0
2025-12-12 08:46:00-06:00,1.35,1.4,1.35,1.3867,8575.0
2025-12-12 08:47:00-06:00,1.39,1.405,1.3813,1.3999,3494.0
2025-12-12 08:48:00-06:00,1.395,1.3999,1.38,1.3927,2599.0
2025-12-12 08:49:00-06:00,1.395,1.42,1.39,1.405,9341.0
2025-12-12 08:50:00-06:00,1.4055,1.41,1.39,1.3953,2114.0
2025-12-12 08:51:00-06:00,1.39,1.42,1.39,1.42,3319.0
2025-12-12 08:52:00-06:00,1.42,1.42,1.41,1.4133,2697.0
2025-12-12 08:53:00-06:00,1.4199,1.44,1.41,1.4352,7895.0
2025-12-12 08:54:00-06:00,1.4306,1.45,1.43,1.45,7786.0
2025-12-12 08:55:00-06:00,1.445,1.46,1.44,1.455,9850.0
2025-12-12 08:56:00-06:00,1.4512,1.48,1.45,1.48,7009.0
2025-12-12 08:57:00-06:00,1.478,1.49,1.47,1.4852,7972.0
2025-12-12 08:58:00-06:00,1.4818,1.5,1.48,1.495,6152.0
2025-12-12 08:59:00-06:00,1.495,1.5,1.47,1.4799,8079.0
2025-12-12 09:00:00-06:00,1.4799,1.5,1.47,1.5,5217.0
2025-12-12 09:01:00-06:00,1.4901,1.5,1.49,1.495,3731.0
2025-12-12 09:02:00-06:00,1.5,1.5,1.46,1.4699,6072.0
2025-12-12 09:03:00-06:00,1.4692,1.47,1.44,1.4401,5736.0
