datetime,open,high,low,close,volume
2026-02-06 08:30:00-06:00,8.89,8.91,8.7,8.8183,10402.0
2026-02-06 08:31:00-06:00,8.83,8.9,8.79,8.83,1659.0
2026-02-06 08:32:00-06:00,8.83,8.84,8.68,8.83,6167.0
2026-02-06 08:33:00-06:00,8.835,8.835,8.735,8.81,2342.0
2026-02-06 08:34:00-06:00,8.805,8.885,8.74,8.76,1917.0
2026-02-06 08:35:00-06:00,8.77,8.95,8.7608,8.9439,6222.0
2026-02-06 08:36:00-06:00,8.95,8.955,8.845,8.88,1518.0
2026-02-06 08:37:00-06:00,8.8886,8.94,8.845,8.87,1329.0
2026-02-06 08:38:00-06:00,8.865,8.99,8.865,8.9867,2720.0
2026-02-06 08:39:00-06:00,8.9898,9.01,8.91,8.915,3838.0
2026-02-06 08:40:00-06:00,8.9142,8.92,8.8,8.805,4777.0
2026-02-06 08:41:00-06:00,8.8,8.845,8.75,8.82,1812.0
2026-02-06 08:42:00-06:00,8.8214,8.92,8.795,8.91,1465.0
2026-02-06 08:43:00-06:00,8.905,9.025,8.905,9.0239,1799.0
2026-02-06 08:44:00-06:00,9.025,9.08,9.02,9.08,1574.0
2026-02-06 08:45:00-06:00,9.0828,9.23,9.08,9.2,2459.0
2026-02-06 08:46:00-06:00,9.205,9.32,9.205,9.295,2547.0
2026-02-06 08:47:00-06:00,9.29,9.38,9.21,9.33,4524.0
2026-02-06 08:48:00-06:00,9.3299,9.3299,9.23,9.2597,1719.0
2026-02-06 08:49:00-06:00,9.26,9.275,9.17,9.2399,1899.0
2026-02-06 08:50:00-06:00,9.24,9.325,9.194,9.325,1431.0
2026-02-06 08:51:00-06:00,9.32,9.39,9.28,9.38,1522.0
2026-02-06 08:52:00-06:00,9.385,9.3902,9.3101,9.3101,1081.0
2026-02-06 08:53:00-06:00,9.31,9.315,9.19,9.19,1107.0
2026-02-06 08:54:00-06:00,9.19,9.205,9.15,9.175,2562.0
2026-02-06 08:55:00-06:00,9.175,9.19,9.16,9.1802,1106.0
2026-02-06 08:56:00-06:00,9.185,9.1898,9.1,9.15,1347.0
2026-02-06 08:57:00-06:00,9.155,9.27,9.15,9.27,1120.0
2026-02-06 08:58:00-06:00,9.265,9.27,9.2001,9.2007,832.0
