datetime,open,high,low,close,volume
2026-01-05 08:30:00-06:00,1.785,1.79,1.73,1.77,2138.0
2026-01-05 08:31:00-06:00,1.76,1.96,1.76,1.86,2496.0
2026-01-05 08:32:00-06:00,1.86,1.95,1.8,1.845,1020.0
2026-01-05 08:33:00-06:00,1.845,1.94,1.8,1.91,1122.0
2026-01-05 08:34:00-06:00,1.91,2.0,1.9,1.92,1361.0
2026-01-05 08:35:00-06:00,1.92,1.95,1.8,1.9,2606.0
2026-01-05 08:36:00-06:00,1.9,1.95,1.87,1.9433,1050.0
2026-01-05 08:37:00-06:00,1.95,1.9799,1.92,1.9376,696.0
2026-01-05 08:38:00-06:00,1.925,1.94,1.88,1.89,273.0
2026-01-05 08:39:00-06:00,1.89,1.94,1.89,1.91,675.0
2026-01-05 08:40:00-06:00,1.8902,1.99,1.8902,1.9781,408.0
2026-01-05 08:41:00-06:00,1.9876,2.0,1.91,1.9645,1700.0
2026-01-05 08:42:00-06:00,1.96,1.98,1.91,1.925,1000.0
2026-01-05 08:43:00-06:00,1.94,1.96,1.83,1.87,916.0
2026-01-05 08:44:00-06:00,1.87,1.87,1.82,1.865,451.0
2026-01-05 08:45:00-06:00,1.865,1.8651,1.82,1.8565,653.0
2026-01-05 08:46:00-06:00,1.86,1.86,1.84,1.84,423.0
2026-01-05 08:47:00-06:00,1.83,1.85,1.82,1.825,137.0
2026-01-05 08:48:00-06:00,1.827,1.83,1.81,1.82,129.0
2026-01-05 08:49:00-06:00,1.82,1.8414,1.795,1.8199,356.0
2026-01-05 08:50:00-06:00,1.83,1.84,1.805,1.8263,86.0
2026-01-05 08:51:00-06:00,1.8,1.8084,1.76,1.77,594.0
2026-01-05 08:52:00-06:00,1.765,1.83,1.765,1.83,106.0
2026-01-05 08:53:00-06:00,1.82,1.87,1.7701,1.8,582.0
2026-01-05 08:54:00-06:00,1.8,1.83,1.795,1.795,126.0
2026-01-05 08:55:00-06:00,1.795,1.8371,1.795,1.8371,140.0
2026-01-05 08:56:00-06:00,1.83,1.8325,1.7902,1.8,135.0
2026-01-05 08:57:00-06:00,1.7912,1.81,1.7912,1.8,44.0
2026-01-05 08:58:00-06:00,1.8,1.85,1.8,1.83,83.0
2026-01-05 08:59:00-06:00,1.83,1.84,1.83,1.83,36.0
2026-01-05 09:00:00-06:00,1.835,1.84,1.83,1.835,179.0
2026-01-05 09:01:00-06:00,1.84,1.84,1.83,1.8355,162.0
2026-01-05 09:02:00-06:00,1.835,1.835,1.83,1.835,51.0
2026-01-05 09:03:00-06:00,1.83,1.84,1.83,1.84,34.0
2026-01-05 09:04:00-06:00,1.835,1.86,1.835,1.85,221.0
2026-01-05 09:05:00-06:00,1.845,1.86,1.845,1.85,131.0
2026-01-05 09:06:00-06:00,1.86,1.86,1.8599,1.86,49.0
2026-01-05 09:07:00-06:00,1.85,1.85,1.83,1.84,183.0
2026-01-05 09:08:00-06:00,1.84,1.86,1.83,1.83,314.0
2026-01-05 09:09:00-06:00,1.84,1.84,1.83,1.83,121.0
2026-01-05 09:10:00-06:00,1.835,1.835,1.825,1.8326,184.0
2026-01-05 09:11:00-06:00,1.83,1.845,1.83,1.8313,182.0
2026-01-05 09:12:00-06:00,1.835,1.835,1.815,1.8299,42.0
2026-01-05 09:13:00-06:00,1.815,1.86,1.815,1.85,230.0
2026-01-05 09:14:00-06:00,1.845,1.845,1.845,1.845,9.0
2026-01-05 09:15:00-06:00,1.84,1.86,1.8,1.825,204.0
2026-01-05 09:16:00-06:00,1.825,1.825,1.79,1.8,409.0
2026-01-05 09:17:00-06:00,1.7972,1.7972,1.76,1.76,83.0
2026-01-05 09:18:00-06:00,1.76,1.765,1.76,1.7609,15.0
2026-01-05 09:19:00-06:00,1.76,1.7662,1.74,1.745,328.0
2026-01-05 09:20:00-06:00,1.74,1.78,1.74,1.755,510.0
2026-01-05 09:21:00-06:00,1.758,1.79,1.7401,1.755,136.0
