datetime,open,high,low,close,volume
2025-12-12 08:30:00-06:00,3.12,3.2,3.0,3.01,3817.0
2025-12-12 08:31:00-06:00,3.02,3.0811,2.9952,3.08,1738.0
2025-12-12 08:32:00-06:00,3.08,3.1,2.91,2.925,1917.0
2025-12-12 08:33:00-06:00,2.925,2.96,2.88,2.89,1307.0
2025-12-12 08:34:00-06:00,2.88,3.0,2.84,3.0,3720.0
2025-12-12 08:35:00-06:00,2.99,3.0,2.95,2.9875,1818.0
2025-12-12 08:36:00-06:00,2.99,3.0,2.91,2.9568,2116.0
2025-12-12 08:37:00-06:00,2.96,3.0098,2.96,3.0,737.0
2025-12-12 08:38:00-06:00,3.005,3.03,2.985,3.0274,1320.0
2025-12-12 08:39:00-06:00,3.02,3.03,3.0,3.0012,732.0
2025-12-12 08:40:00-06:00,3.0,3.015,2.9426,2.945,1154.0
2025-12-12 08:41:00-06:00,2.945,2.99,2.925,2.985,516.0
2025-12-12 08:42:00-06:00,2.985,3.0,2.98,2.985,466.0
2025-12-12 08:43:00-06:00,2.9801,2.99,2.96,2.965,539.0
2025-12-12 08:44:00-06:00,2.965,2.98,2.9557,2.97,230.0
2025-12-12 08:45:00-06:00,2.97,2.99,2.965,2.98,727.0
2025-12-12 08:46:00-06:00,2.985,3.025,2.98,2.99,1060.0
2025-12-12 08:47:00-06:00,2.9942,3.01,2.99,3.0,400.0
2025-12-12 08:48:00-06:00,3.0088,3.0088,2.99,2.995,412.0
2025-12-12 08:49:00-06:00,2.9941,3.0087,2.99,3.0087,183.0
2025-12-12 08:50:00-06:00,3.005,3.0072,2.985,3.0,563.0
2025-12-12 08:51:00-06:00,3.005,3.03,3.0,3.025,1198.0
2025-12-12 08:52:00-06:00,3.025,3.03,3.0,3.015,721.0
2025-12-12 08:53:00-06:00,3.0188,3.0325,3.0,3.02,1153.0
2025-12-12 08:54:00-06:00,3.025,3.04,3.02,3.035,1204.0
2025-12-12 08:55:00-06:00,3.0361,3.055,3.0103,3.015,1933.0
2025-12-12 08:56:00-06:00,3.02,3.03,3.0145,3.02,775.0
2025-12-12 08:57:00-06:00,3.03,3.05,3.02,3.05,578.0
2025-12-12 08:58:00-06:00,3.0547,3.0665,3.05,3.065,576.0
2025-12-12 08:59:00-06:00,3.065,3.11,3.0633,3.07,1498.0
2025-12-12 09:00:00-06:00,3.0699,3.0699,3.04,3.0506,394.0
2025-12-12 09:01:00-06:00,3.055,3.055,3.04,3.055,323.0
2025-12-12 09:02:00-06:00,3.0589,3.0589,3.045,3.05,127.0
2025-12-12 09:03:00-06:00,3.05,3.05,3.02,3.0201,334.0
2025-12-12 09:04:00-06:00,3.025,3.03,3.02,3.025,176.0
2025-12-12 09:05:00-06:00,3.02,3.035,3.02,3.035,195.0
2025-12-12 09:06:00-06:00,3.035,3.04,3.01,3.0145,809.0
2025-12-12 09:07:00-06:00,3.02,3.02,2.992,3.0099,556.0
2025-12-12 09:08:00-06:00,3.0045,3.01,2.995,3.005,566.0
2025-12-12 09:09:00-06:00,3.005,3.0087,2.99,2.9916,706.0
