datetime,open,high,low,close,volume
2025-12-18 08:30:00-06:00,13.44,13.55,12.76,12.82,17615.0
2025-12-18 08:31:00-06:00,12.83,13.12,12.82,13.01,8405.0
2025-12-18 08:32:00-06:00,13.0,13.11,12.77,12.81,5259.0
2025-12-18 08:33:00-06:00,12.81,12.99,12.79,12.92,3065.0
2025-12-18 08:34:00-06:00,12.92,13.07,12.88,12.91,3612.0
2025-12-18 08:35:00-06:00,12.91,13.04,12.84,12.96,5421.0
2025-12-18 08:36:00-06:00,12.96,13.02,12.77,12.98,3804.0
2025-12-18 08:37:00-06:00,12.97,13.01,12.85,12.95,2627.0
2025-12-18 08:38:00-06:00,12.94,12.97,12.71,12.92,5299.0
2025-12-18 08:39:00-06:00,12.92,13.25,12.92,13.21,7330.0
2025-12-18 08:40:00-06:00,13.21,13.39,13.2,13.36,6082.0
2025-12-18 08:41:00-06:00,13.35,13.7,13.28,13.67,9488.0
2025-12-18 08:42:00-06:00,13.68,13.93,13.63,13.87,11293.0
2025-12-18 08:43:00-06:00,13.86,14.0,13.75,13.95,8004.0
2025-12-18 08:44:00-06:00,13.95,14.12,13.73,13.93,10091.0
2025-12-18 08:45:00-06:00,13.92,14.17,13.85,14.15,6104.0
2025-12-18 08:46:00-06:00,14.14,14.24,14.09,14.2,7309.0
2025-12-18 08:47:00-06:00,14.2,14.25,14.05,14.11,6212.0
2025-12-18 08:48:00-06:00,14.12,14.21,14.01,14.16,4988.0
2025-12-18 08:49:00-06:00,14.17,14.25,14.07,14.18,5577.0
2025-12-18 08:50:00-06:00,14.24,14.37,14.14,14.29,8635.0
2025-12-18 08:51:00-06:00,14.3,14.31,14.04,14.09,5563.0
2025-12-18 08:52:00-06:00,14.09,14.17,13.93,14.07,6633.0
2025-12-18 08:53:00-06:00,14.07,14.25,14.03,14.16,4588.0
2025-12-18 08:54:00-06:00,14.16,14.19,13.97,14.04,3100.0
2025-12-18 08:55:00-06:00,14.03,14.08,13.94,14.04,3092.0
2025-12-18 08:56:00-06:00,14.04,14.09,13.95,14.03,2398.0
2025-12-18 08:57:00-06:00,14.01,14.27,14.0,14.25,6481.0
2025-12-18 08:58:00-06:00,14.24,14.3,14.13,14.16,3829.0
2025-12-18 08:59:00-06:00,14.17,14.35,14.1,14.32,3971.0
2025-12-18 09:00:00-06:00,14.32,14.49,14.31,14.45,7653.0
2025-12-18 09:01:00-06:00,14.46,14.5,14.32,14.38,6986.0
2025-12-18 09:02:00-06:00,14.37,14.49,14.37,14.38,2843.0
2025-12-18 09:03:00-06:00,14.38,14.4,14.03,14.11,6753.0
2025-12-18 09:04:00-06:00,14.1,14.13,14.01,14.02,2920.0
2025-12-18 09:05:00-06:00,14.03,14.09,13.92,13.96,5084.0
2025-12-18 09:06:00-06:00,13.96,13.99,13.85,13.92,3949.0
2025-12-18 09:07:00-06:00,13.91,13.92,13.72,13.76,4182.0
2025-12-18 09:08:00-06:00,13.76,13.79,13.64,13.73,3566.0
2025-12-18 09:09:00-06:00,13.73,13.85,13.7,13.78,3958.0
2025-12-18 09:10:00-06:00,13.79,13.88,13.7,13.75,3914.0
2025-12-18 09:11:00-06:00,13.73,13.86,13.73,13.73,1877.0
2025-12-18 09:12:00-06:00,13.74,13.9,13.56,13.87,5133.0
2025-12-18 09:13:00-06:00,13.86,13.91,13.77,13.81,2652.0
2025-12-18 09:14:00-06:00,13.81,13.81,13.52,13.53,3030.0
2025-12-18 09:15:00-06:00,13.53,13.54,13.4,13.41,4718.0
2025-12-18 09:16:00-06:00,13.4,13.66,13.4,13.65,3950.0
2025-12-18 09:17:00-06:00,13.65,13.67,13.56,13.59,3519.0
2025-12-18 09:18:00-06:00,13.59,13.6,13.46,13.48,3013.0
2025-12-18 09:19:00-06:00,13.47,13.59,13.44,13.59,2944.0
2025-12-18 09:20:00-06:00,13.59,13.8,13.56,13.73,3093.0
2025-12-18 09:21:00-06:00,13.76,13.82,13.65,13.78,3273.0
2025-12-18 09:22:00-06:00,13.78,13.86,13.71,13.77,3667.0
2025-12-18 09:23:00-06:00,13.76,13.85,13.72,13.82,1914.0
2025-12-18 09:24:00-06:00,13.82,13.99,13.81,13.97,4060.0
2025-12-18 09:25:00-06:00,13.97,14.05,13.92,13.95,3217.0
2025-12-18 09:26:00-06:00,13.95,14.09,13.91,14.05,2913.0
2025-12-18 09:27:00-06:00,14.04,14.18,14.03,14.17,2772.0
