datetime,open,high,low,close,volume
2026-02-06 08:30:00-06:00,8.93,8.93,8.84,8.9,33.0
2026-02-06 08:31:00-06:00,8.8,8.98,8.65,8.98,390.0
2026-02-06 08:32:00-06:00,8.98,9.02,8.86,8.86,54.0
2026-02-06 08:33:00-06:00,8.93,9.01,8.93,9.0,39.0
2026-02-06 08:34:00-06:00,8.99,9.03,8.98,9.03,65.0
2026-02-06 08:35:00-06:00,9.0,9.06,8.98,9.04,49.0
2026-02-06 08:36:00-06:00,9.03,9.1,9.03,9.04,31.0
2026-02-06 08:37:00-06:00,9.01,9.03,8.81,8.9,117.0
2026-02-06 08:38:00-06:00,8.93,8.95,8.9,8.9,25.0
2026-02-06 08:39:00-06:00,8.9,8.92,8.86,8.86,16.0
2026-02-06 08:40:00-06:00,8.86,8.86,8.75,8.79,67.0
2026-02-06 08:41:00-06:00,8.86,9.0,8.84,9.0,175.0
2026-02-06 08:42:00-06:00,8.97,9.04,8.97,9.0,45.0
2026-02-06 08:43:00-06:00,9.04,9.16,9.03,9.14,156.0
2026-02-06 08:44:00-06:00,9.15,9.17,9.08,9.13,74.0
2026-02-06 08:45:00-06:00,9.15,9.2,9.11,9.18,63.0
2026-02-06 08:46:00-06:00,9.18,9.24,9.17,9.19,109.0
2026-02-06 08:47:00-06:00,9.19,9.25,9.16,9.25,70.0
2026-02-06 08:48:00-06:00,9.25,9.25,9.22,9.23,36.0
2026-02-06 08:49:00-06:00,9.23,9.27,9.14,9.15,71.0
2026-02-06 08:50:00-06:00,9.15,9.21,9.15,9.21,61.0
2026-02-06 08:51:00-06:00,9.17,9.21,9.12,9.12,29.0
2026-02-06 08:52:00-06:00,9.11,9.14,9.04,9.14,30.0
2026-02-06 08:53:00-06:00,9.06,9.06,8.89,8.93,101.0
2026-02-06 08:54:00-06:00,8.93,8.97,8.91,8.91,40.0
2026-02-06 08:55:00-06:00,8.9,8.94,8.86,8.93,96.0
2026-02-06 08:56:00-06:00,8.97,9.0,8.92,9.0,112.0
2026-02-06 08:57:00-06:00,9.0,9.0,8.93,9.0,43.0
2026-02-06 08:58:00-06:00,9.05,9.05,8.96,8.96,7.0
