datetime,open,high,low,close,volume
2025-12-18 08:30:00-06:00,9.28,9.9,9.25,9.52,5322.0
2025-12-18 08:31:00-06:00,9.53,10.22,9.47,10.04,1891.0
2025-12-18 08:32:00-06:00,10.04,10.45,9.91,10.4,1907.0
2025-12-18 08:33:00-06:00,10.47,10.76,10.4,10.54,1917.0
2025-12-18 08:34:00-06:00,10.6,10.64,10.2,10.49,2844.0
2025-12-18 08:35:00-06:00,10.55,10.58,10.34,10.48,829.0
2025-12-18 08:36:00-06:00,10.48,10.64,10.22,10.38,4143.0
2025-12-18 08:37:00-06:00,10.39,10.6,10.23,10.51,1039.0
2025-12-18 08:38:00-06:00,10.5,10.65,10.32,10.38,1234.0
2025-12-18 08:39:00-06:00,10.37,10.37,10.06,10.16,1278.0
2025-12-18 08:40:00-06:00,10.14,10.28,10.03,10.24,573.0
2025-12-18 08:41:00-06:00,10.22,10.35,10.2,10.29,534.0
2025-12-18 08:42:00-06:00,10.33,10.49,10.33,10.41,694.0
2025-12-18 08:43:00-06:00,10.42,10.42,10.32,10.36,398.0
2025-12-18 08:44:00-06:00,10.38,10.6,10.36,10.49,1615.0
2025-12-18 08:45:00-06:00,10.48,10.6,10.47,10.56,389.0
2025-12-18 08:46:00-06:00,10.58,10.65,10.5,10.63,1843.0
2025-12-18 08:47:00-06:00,10.62,10.84,10.5,10.61,3551.0
2025-12-18 08:48:00-06:00,10.61,10.66,10.28,10.3,776.0
2025-12-18 08:49:00-06:00,10.3,10.49,10.28,10.4,623.0
2025-12-18 08:50:00-06:00,10.39,10.58,10.35,10.5,390.0
2025-12-18 08:51:00-06:00,10.49,10.54,10.34,10.37,386.0
2025-12-18 08:52:00-06:00,10.35,10.44,10.31,10.43,213.0
2025-12-18 08:53:00-06:00,10.41,10.42,10.35,10.38,301.0
2025-12-18 08:54:00-06:00,10.37,10.52,10.35,10.38,346.0
2025-12-18 08:55:00-06:00,10.36,10.38,10.2,10.24,344.0
2025-12-18 08:56:00-06:00,10.22,10.27,10.17,10.24,477.0
2025-12-18 08:57:00-06:00,10.23,10.34,10.21,10.29,201.0
2025-12-18 08:58:00-06:00,10.3,10.32,10.14,10.19,315.0
2025-12-18 08:59:00-06:00,10.21,10.22,10.12,10.13,209.0
2025-12-18 09:00:00-06:00,10.14,10.16,10.0,10.09,715.0
2025-12-18 09:01:00-06:00,10.09,10.2,10.03,10.16,539.0
2025-12-18 09:02:00-06:00,10.16,10.38,10.15,10.36,662.0
2025-12-18 09:03:00-06:00,10.35,10.41,10.29,10.41,368.0
2025-12-18 09:04:00-06:00,10.4,10.52,10.36,10.52,538.0
2025-12-18 09:05:00-06:00,10.52,10.58,10.4,10.48,548.0
2025-12-18 09:06:00-06:00,10.44,10.5,10.37,10.42,147.0
2025-12-18 09:07:00-06:00,10.45,10.47,10.39,10.42,181.0
2025-12-18 09:08:00-06:00,10.41,10.5,10.41,10.44,434.0
2025-12-18 09:09:00-06:00,10.42,10.47,10.25,10.31,235.0
2025-12-18 09:10:00-06:00,10.31,10.32,10.25,10.28,253.0
2025-12-18 09:11:00-06:00,10.3,10.4,10.27,10.4,206.0
2025-12-18 09:12:00-06:00,10.38,10.47,10.36,10.45,291.0
2025-12-18 09:13:00-06:00,10.45,10.47,10.38,10.45,187.0
2025-12-18 09:14:00-06:00,10.45,10.53,10.42,10.51,701.0
2025-12-18 09:15:00-06:00,10.5,10.6,10.5,10.57,405.0
2025-12-18 09:16:00-06:00,10.55,10.59,10.4,10.47,435.0
2025-12-18 09:17:00-06:00,10.48,10.55,10.43,10.53,260.0
2025-12-18 09:18:00-06:00,10.51,10.54,10.46,10.48,192.0
2025-12-18 09:19:00-06:00,10.51,10.51,10.41,10.46,248.0
2025-12-18 09:20:00-06:00,10.43,10.52,10.43,10.49,223.0
2025-12-18 09:21:00-06:00,10.51,10.59,10.46,10.59,420.0
2025-12-18 09:22:00-06:00,10.58,10.69,10.58,10.62,918.0
2025-12-18 09:23:00-06:00,10.63,10.66,10.52,10.6,296.0
2025-12-18 09:24:00-06:00,10.57,10.62,10.42,10.43,316.0
2025-12-18 09:25:00-06:00,10.42,10.6,10.38,10.56,336.0
2025-12-18 09:26:00-06:00,10.54,10.65,10.54,10.6,82.0
2025-12-18 09:27:00-06:00,10.6,10.67,10.6,10.66,104.0
