datetime,open,high,low,close,volume
2026-02-25 08:30:00-06:00,12.24,12.57,12.1,12.17,1165.0
2026-02-25 08:31:00-06:00,12.1,12.29,11.84,12.21,849.0
2026-02-25 08:32:00-06:00,12.2,12.34,12.09,12.21,383.0
2026-02-25 08:33:00-06:00,12.21,12.39,12.16,12.2,238.0
2026-02-25 08:34:00-06:00,12.19,12.4,12.15,12.38,356.0
2026-02-25 08:35:00-06:00,12.38,12.48,12.35,12.39,224.0
2026-02-25 08:36:00-06:00,12.35,12.4,12.17,12.26,988.0
2026-02-25 08:37:00-06:00,12.26,12.27,12.02,12.06,239.0
2026-02-25 08:38:00-06:00,12.05,12.1,11.95,11.97,130.0
2026-02-25 08:39:00-06:00,11.96,12.04,11.95,12.04,180.0
2026-02-25 08:40:00-06:00,12.01,12.13,12.01,12.1,65.0
2026-02-25 08:41:00-06:00,12.1,12.13,11.93,11.94,97.0
2026-02-25 08:42:00-06:00,11.97,12.06,11.97,12.02,69.0
2026-02-25 08:43:00-06:00,12.01,12.05,11.95,11.99,147.0
2026-02-25 08:44:00-06:00,11.99,12.0,11.91,11.98,133.0
2026-02-25 08:45:00-06:00,11.99,12.11,11.99,12.11,197.0
2026-02-25 08:46:00-06:00,12.13,12.23,12.06,12.19,161.0
2026-02-25 08:47:00-06:00,12.21,12.22,12.07,12.17,159.0
2026-02-25 08:48:00-06:00,12.16,12.2,12.0,12.03,151.0
2026-02-25 08:49:00-06:00,12.01,12.05,11.83,11.84,321.0
2026-02-25 08:50:00-06:00,11.83,11.86,11.72,11.73,324.0
2026-02-25 08:51:00-06:00,11.72,11.79,11.66,11.66,123.0
2026-02-25 08:52:00-06:00,11.66,11.8,11.66,11.68,112.0
2026-02-25 08:53:00-06:00,11.68,11.7,11.6,11.65,102.0
2026-02-25 08:54:00-06:00,11.66,11.67,11.55,11.55,231.0
2026-02-25 08:55:00-06:00,11.6,11.78,11.56,11.76,232.0
2026-02-25 08:56:00-06:00,11.73,11.82,11.64,11.68,97.0
2026-02-25 08:57:00-06:00,11.68,11.95,11.65,11.84,1061.0
2026-02-25 08:58:00-06:00,11.84,11.96,11.77,11.77,103.0
2026-02-25 08:59:00-06:00,11.77,11.87,11.76,11.81,108.0
2026-02-25 09:00:00-06:00,11.81,11.89,11.77,11.84,74.0
2026-02-25 09:01:00-06:00,11.8,11.93,11.79,11.92,60.0
2026-02-25 09:02:00-06:00,11.89,12.03,11.88,11.99,184.0
2026-02-25 09:03:00-06:00,11.99,12.12,11.99,12.11,91.0
2026-02-25 09:04:00-06:00,12.11,12.12,11.81,11.81,270.0
2026-02-25 09:05:00-06:00,11.79,11.86,11.78,11.84,148.0
2026-02-25 09:06:00-06:00,11.83,11.87,11.82,11.85,81.0
2026-02-25 09:07:00-06:00,11.85,11.91,11.81,11.85,338.0
2026-02-25 09:08:00-06:00,11.85,11.91,11.8,11.82,630.0
2026-02-25 09:09:00-06:00,11.82,11.92,11.82,11.83,119.0
2026-02-25 09:10:00-06:00,11.85,11.86,11.81,11.86,127.0
2026-02-25 09:11:00-06:00,11.84,11.89,11.84,11.87,32.0
2026-02-25 09:12:00-06:00,11.88,11.93,11.88,11.91,53.0
2026-02-25 09:13:00-06:00,11.91,11.91,11.91,11.91,35.0
2026-02-25 09:14:00-06:00,11.91,11.93,11.86,11.91,107.0
2026-02-25 09:15:00-06:00,11.91,11.91,11.88,11.88,37.0
2026-02-25 09:16:00-06:00,11.89,11.91,11.83,11.87,118.0
2026-02-25 09:17:00-06:00,11.88,11.88,11.84,11.87,51.0
2026-02-25 09:18:00-06:00,11.87,11.88,11.83,11.86,43.0
2026-02-25 09:19:00-06:00,11.86,11.86,11.81,11.84,53.0
2026-02-25 09:20:00-06:00,11.84,11.93,11.84,11.93,64.0
2026-02-25 09:21:00-06:00,11.92,12.01,11.9,12.0,41.0
2026-02-25 09:22:00-06:00,12.0,12.03,11.95,12.02,107.0
2026-02-25 09:23:00-06:00,12.02,12.05,12.01,12.04,315.0
2026-02-25 09:24:00-06:00,12.06,12.06,12.02,12.04,69.0
2026-02-25 09:25:00-06:00,12.03,12.05,12.01,12.04,78.0
2026-02-25 09:26:00-06:00,12.04,12.11,12.04,12.06,113.0
2026-02-25 09:27:00-06:00,12.06,12.1,12.06,12.07,52.0
2026-02-25 09:28:00-06:00,12.05,12.08,12.05,12.06,149.0
2026-02-25 09:29:00-06:00,12.06,12.14,12.03,12.1,88.0
2026-02-25 09:30:00-06:00,12.13,12.3,12.13,12.2,530.0
2026-02-25 09:31:00-06:00,12.2,12.22,12.2,12.2,76.0
2026-02-25 09:32:00-06:00,12.22,12.36,12.2,12.3,376.0
2026-02-25 09:33:00-06:00,12.3,12.31,12.18,12.2,58.0
2026-02-25 09:34:00-06:00,12.2,12.23,12.08,12.12,157.0
2026-02-25 09:35:00-06:00,12.14,12.18,12.13,12.13,71.0
2026-02-25 09:36:00-06:00,12.13,12.17,12.13,12.15,18.0
2026-02-25 09:37:00-06:00,12.15,12.17,12.15,12.16,51.0
2026-02-25 09:38:00-06:00,12.14,12.14,12.01,12.03,101.0
2026-02-25 09:39:00-06:00,12.02,12.08,12.0,12.08,236.0
2026-02-25 09:40:00-06:00,12.08,12.11,12.08,12.1,11.0
2026-02-25 09:41:00-06:00,12.09,12.15,12.09,12.12,31.0
2026-02-25 09:42:00-06:00,12.12,12.15,12.12,12.13,13.0
2026-02-25 09:43:00-06:00,12.13,12.14,12.08,12.13,35.0
2026-02-25 09:44:00-06:00,12.13,12.13,12.09,12.1,37.0
2026-02-25 09:45:00-06:00,12.1,12.23,12.08,12.22,119.0
2026-02-25 09:46:00-06:00,12.21,12.21,12.2,12.21,6.0
2026-02-25 09:47:00-06:00,12.21,12.22,12.18,12.2,26.0
2026-02-25 09:48:00-06:00,12.2,12.31,12.19,12.31,315.0
2026-02-25 09:49:00-06:00,12.31,12.33,12.24,12.25,74.0
2026-02-25 09:50:00-06:00,12.25,12.27,12.21,12.22,80.0
2026-02-25 09:51:00-06:00,12.21,12.29,12.21,12.26,515.0
2026-02-25 09:52:00-06:00,12.24,12.27,12.24,12.25,14.0
2026-02-25 09:53:00-06:00,12.26,12.35,12.25,12.28,257.0
2026-02-25 09:54:00-06:00,12.28,12.28,12.25,12.28,22.0
2026-02-25 09:55:00-06:00,12.28,12.28,12.21,12.24,129.0
2026-02-25 09:56:00-06:00,12.24,12.26,12.19,12.22,57.0
2026-02-25 09:57:00-06:00,12.21,12.26,12.2,12.25,415.0
2026-02-25 09:58:00-06:00,12.26,12.28,12.23,12.28,150.0
2026-02-25 09:59:00-06:00,12.27,12.28,12.24,12.24,64.0
2026-02-25 10:00:00-06:00,12.23,12.27,12.2,12.27,223.0
2026-02-25 10:01:00-06:00,12.27,12.3,12.27,12.3,186.0
2026-02-25 10:02:00-06:00,12.28,12.28,12.24,12.24,159.0
2026-02-25 10:03:00-06:00,12.25,12.27,12.21,12.26,169.0
2026-02-25 10:04:00-06:00,12.24,12.27,12.19,12.2,66.0
2026-02-25 10:05:00-06:00,12.2,12.24,12.18,12.23,124.0
2026-02-25 10:06:00-06:00,12.24,12.25,12.19,12.2,63.0
2026-02-25 10:07:00-06:00,12.2,12.24,12.19,12.24,46.0
2026-02-25 10:08:00-06:00,12.24,12.24,12.21,12.21,63.0
2026-02-25 10:09:00-06:00,12.21,12.22,12.17,12.19,220.0
2026-02-25 10:10:00-06:00,12.19,12.24,12.19,12.21,159.0
2026-02-25 10:11:00-06:00,12.21,12.27,12.21,12.24,29.0
2026-02-25 10:12:00-06:00,12.25,12.25,12.24,12.24,4.0
2026-02-25 10:13:00-06:00,12.24,12.25,12.22,12.25,54.0
2026-02-25 10:14:00-06:00,12.24,12.24,12.2,12.2,80.0
2026-02-25 10:15:00-06:00,12.2,12.25,12.15,12.23,1053.0
2026-02-25 10:16:00-06:00,12.24,12.25,12.19,12.19,275.0
2026-02-25 10:17:00-06:00,12.19,12.24,12.19,12.24,52.0
2026-02-25 10:18:00-06:00,12.24,12.27,12.22,12.22,84.0
2026-02-25 10:19:00-06:00,12.22,12.24,12.22,12.23,39.0
2026-02-25 10:20:00-06:00,12.23,12.27,12.23,12.26,62.0
2026-02-25 10:21:00-06:00,12.26,12.28,12.25,12.28,53.0
2026-02-25 10:22:00-06:00,12.29,12.29,12.28,12.29,1.0
2026-02-25 10:23:00-06:00,12.27,12.27,12.24,12.27,93.0
2026-02-25 10:24:00-06:00,12.28,12.29,12.28,12.29,4.0
2026-02-25 10:25:00-06:00,12.28,12.3,12.27,12.28,26.0
2026-02-25 10:26:00-06:00,12.27,12.32,12.26,12.31,51.0
2026-02-25 10:27:00-06:00,12.31,12.33,12.31,12.31,19.0
2026-02-25 10:28:00-06:00,12.32,12.33,12.31,12.32,28.0
2026-02-25 10:29:00-06:00,12.31,12.33,12.28,12.29,41.0
2026-02-25 10:30:00-06:00,12.3,12.3,12.29,12.29,5.0
2026-02-25 10:31:00-06:00,12.3,12.32,12.26,12.3,48.0
2026-02-25 10:32:00-06:00,12.3,12.33,12.3,12.31,47.0
2026-02-25 10:33:00-06:00,12.31,12.35,12.31,12.32,47.0
2026-02-25 10:34:00-06:00,12.33,12.33,12.29,12.29,24.0
2026-02-25 10:35:00-06:00,12.3,12.32,12.3,12.31,17.0
2026-02-25 10:36:00-06:00,12.31,12.32,12.31,12.31,7.0
2026-02-25 10:37:00-06:00,12.31,12.31,12.31,12.31,4.0
2026-02-25 10:38:00-06:00,12.31,12.32,12.3,12.3,21.0
