datetime,open,high,low,close,volume
2026-01-29 08:30:00-06:00,1.1599,1.18,1.15,1.17,559.0
2026-01-29 08:31:00-06:00,1.18,1.24,1.18,1.2203,4439.0
2026-01-29 08:32:00-06:00,1.2203,1.2263,1.11,1.13,7491.0
2026-01-29 08:33:00-06:00,1.125,1.18,1.122,1.162,4871.0
2026-01-29 08:34:00-06:00,1.1601,1.18,1.14,1.1505,4775.0
2026-01-29 08:35:00-06:00,1.1501,1.175,1.15,1.16,1945.0
2026-01-29 08:36:00-06:00,1.155,1.165,1.14,1.16,1798.0
2026-01-29 08:37:00-06:00,1.1521,1.16,1.11,1.11,2811.0
2026-01-29 08:38:00-06:00,1.112,1.1399,1.11,1.1309,1351.0
2026-01-29 08:39:00-06:00,1.1255,1.16,1.12,1.1499,1782.0
2026-01-29 08:40:00-06:00,1.148,1.18,1.14,1.145,2727.0
2026-01-29 08:41:00-06:00,1.1451,1.15,1.13,1.13,1056.0
2026-01-29 08:42:00-06:00,1.135,1.1395,1.12,1.1219,852.0
2026-01-29 08:43:00-06:00,1.12,1.13,1.12,1.1234,805.0
2026-01-29 08:44:00-06:00,1.12,1.14,1.11,1.13,1423.0
2026-01-29 08:45:00-06:00,1.14,1.14,1.13,1.13,457.0
2026-01-29 08:46:00-06:00,1.1305,1.18,1.13,1.175,3123.0
2026-01-29 08:47:00-06:00,1.1705,1.19,1.16,1.1699,2424.0
2026-01-29 08:48:00-06:00,1.165,1.18,1.14,1.1495,1779.0
2026-01-29 08:49:00-06:00,1.1497,1.2,1.14,1.1924,2273.0
2026-01-29 08:50:00-06:00,1.1984,1.2,1.17,1.1701,1507.0
2026-01-29 08:51:00-06:00,1.175,1.2,1.17,1.195,1628.0
2026-01-29 08:52:00-06:00,1.1995,1.2,1.18,1.195,1374.0
2026-01-29 08:53:00-06:00,1.195,1.2081,1.17,1.19,2717.0
2026-01-29 08:54:00-06:00,1.185,1.2,1.17,1.195,1308.0
2026-01-29 08:55:00-06:00,1.1905,1.22,1.19,1.2038,1587.0
2026-01-29 08:56:00-06:00,1.2081,1.2095,1.18,1.19,1183.0
2026-01-29 08:57:00-06:00,1.1883,1.205,1.18,1.205,1184.0
2026-01-29 08:58:00-06:00,1.21,1.21,1.19,1.195,1702.0
2026-01-29 08:59:00-06:00,1.1995,1.23,1.19,1.225,4296.0
2026-01-29 09:00:00-06:00,1.225,1.23,1.2142,1.23,1936.0
2026-01-29 09:01:00-06:00,1.23,1.23,1.21,1.218,1861.0
2026-01-29 09:02:00-06:00,1.2186,1.22,1.2,1.2,1625.0
2026-01-29 09:03:00-06:00,1.2042,1.22,1.2,1.22,872.0
2026-01-29 09:04:00-06:00,1.2165,1.22,1.195,1.195,1007.0
2026-01-29 09:05:00-06:00,1.195,1.26,1.19,1.26,6795.0
2026-01-29 09:06:00-06:00,1.2599,1.29,1.25,1.26,7540.0
2026-01-29 09:07:00-06:00,1.268,1.3,1.23,1.2919,5828.0
2026-01-29 09:08:00-06:00,1.295,1.31,1.27,1.3,5737.0
2026-01-29 09:09:00-06:00,1.3,1.31,1.27,1.2901,5833.0
2026-01-29 09:10:00-06:00,1.3,1.3,1.28,1.28,2536.0
2026-01-29 09:11:00-06:00,1.2851,1.3,1.26,1.3,4431.0
2026-01-29 09:12:00-06:00,1.3,1.38,1.29,1.35,11786.0
2026-01-29 09:13:00-06:00,1.3499,1.35,1.27,1.3099,9554.0
2026-01-29 09:14:00-06:00,1.31,1.32,1.27,1.3,4318.0
2026-01-29 09:15:00-06:00,1.29,1.31,1.29,1.3,2422.0
2026-01-29 09:16:00-06:00,1.305,1.32,1.28,1.32,3887.0
2026-01-29 09:17:00-06:00,1.32,1.37,1.31,1.3298,8581.0
2026-01-29 09:18:00-06:00,1.3266,1.35,1.32,1.34,3060.0
2026-01-29 09:19:00-06:00,1.35,1.35,1.31,1.3205,4183.0
2026-01-29 09:20:00-06:00,1.325,1.35,1.31,1.335,3118.0
2026-01-29 09:21:00-06:00,1.3379,1.39,1.32,1.382,6074.0
2026-01-29 09:22:00-06:00,1.385,1.4,1.379,1.3909,9345.0
2026-01-29 09:23:00-06:00,1.39,1.41,1.34,1.3781,8556.0
2026-01-29 09:24:00-06:00,1.3706,1.4,1.32,1.329,8137.0
2026-01-29 09:25:00-06:00,1.33,1.37,1.32,1.36,4864.0
2026-01-29 09:26:00-06:00,1.362,1.39,1.3505,1.352,4158.0
2026-01-29 09:27:00-06:00,1.3594,1.4,1.35,1.3998,3740.0
2026-01-29 09:28:00-06:00,1.4,1.4,1.36,1.3866,4498.0
2026-01-29 09:29:00-06:00,1.385,1.4,1.36,1.37,3118.0
2026-01-29 09:30:00-06:00,1.375,1.38,1.34,1.3482,4985.0
2026-01-29 09:31:00-06:00,1.34,1.37,1.32,1.3319,5253.0
2026-01-29 09:32:00-06:00,1.33,1.34,1.3,1.31,6584.0
2026-01-29 09:33:00-06:00,1.31,1.32,1.29,1.3121,4364.0
2026-01-29 09:34:00-06:00,1.315,1.335,1.31,1.325,2903.0
2026-01-29 09:35:00-06:00,1.325,1.36,1.31,1.36,2560.0
2026-01-29 09:36:00-06:00,1.36,1.39,1.35,1.388,6731.0
2026-01-29 09:37:00-06:00,1.388,1.39,1.3,1.31,4997.0
2026-01-29 09:38:00-06:00,1.3179,1.33,1.31,1.32,2038.0
2026-01-29 09:39:00-06:00,1.324,1.33,1.32,1.33,1632.0
2026-01-29 09:40:00-06:00,1.325,1.33,1.32,1.325,1296.0
2026-01-29 09:41:00-06:00,1.33,1.33,1.32,1.33,1269.0
2026-01-29 09:42:00-06:00,1.32,1.36,1.32,1.3518,3104.0
2026-01-29 09:43:00-06:00,1.3525,1.38,1.35,1.36,2773.0
2026-01-29 09:44:00-06:00,1.3506,1.38,1.35,1.3694,2099.0
2026-01-29 09:45:00-06:00,1.37,1.37,1.32,1.3295,1772.0
2026-01-29 09:46:00-06:00,1.3283,1.36,1.32,1.355,1376.0
2026-01-29 09:47:00-06:00,1.36,1.38,1.34,1.3794,4093.0
2026-01-29 09:48:00-06:00,1.38,1.38,1.34,1.3494,4604.0
2026-01-29 09:49:00-06:00,1.3494,1.3494,1.33,1.335,2275.0
2026-01-29 09:50:00-06:00,1.3305,1.36,1.33,1.35,1701.0
2026-01-29 09:51:00-06:00,1.345,1.35,1.34,1.345,806.0
2026-01-29 09:52:00-06:00,1.345,1.38,1.33,1.3781,3256.0
2026-01-29 09:53:00-06:00,1.3703,1.4,1.35,1.3981,5346.0
2026-01-29 09:54:00-06:00,1.4,1.4,1.375,1.39,3614.0
2026-01-29 09:55:00-06:00,1.3806,1.43,1.38,1.43,7651.0
2026-01-29 09:56:00-06:00,1.4201,1.46,1.41,1.4599,10215.0
2026-01-29 09:57:00-06:00,1.46,1.49,1.45,1.475,14199.0
2026-01-29 09:58:00-06:00,1.475,1.48,1.43,1.44,9545.0
2026-01-29 09:59:00-06:00,1.4497,1.47,1.43,1.47,5821.0
2026-01-29 10:00:00-06:00,1.46,1.48,1.42,1.465,8797.0
2026-01-29 10:01:00-06:00,1.468,1.49,1.44,1.4506,5812.0
2026-01-29 10:02:00-06:00,1.46,1.48,1.43,1.47,3982.0
2026-01-29 10:03:00-06:00,1.475,1.479,1.43,1.445,2685.0
2026-01-29 10:04:00-06:00,1.445,1.45,1.41,1.4106,4135.0
2026-01-29 10:05:00-06:00,1.41,1.46,1.41,1.455,4399.0
2026-01-29 10:06:00-06:00,1.452,1.48,1.45,1.48,3216.0
2026-01-29 10:07:00-06:00,1.475,1.54,1.45,1.525,13330.0
2026-01-29 10:08:00-06:00,1.53,1.55,1.52,1.55,8248.0
2026-01-29 10:09:00-06:00,1.55,1.59,1.52,1.59,14270.0
2026-01-29 10:10:00-06:00,1.59,1.64,1.56,1.632,15923.0
2026-01-29 10:11:00-06:00,1.635,1.64,1.58,1.5893,11468.0
2026-01-29 10:12:00-06:00,1.58,1.62,1.57,1.59,7793.0
2026-01-29 10:13:00-06:00,1.6,1.64,1.57,1.6399,7164.0
2026-01-29 10:14:00-06:00,1.6307,1.66,1.58,1.6599,9970.0
2026-01-29 10:15:00-06:00,1.655,1.71,1.65,1.7,15861.0
2026-01-29 10:16:00-06:00,1.7,1.79,1.7,1.722,20866.0
2026-01-29 10:17:00-06:00,1.7257,1.76,1.69,1.73,11490.0
2026-01-29 10:18:00-06:00,1.73,1.73,1.65,1.67,13573.0
2026-01-29 10:19:00-06:00,1.6671,1.71,1.655,1.69,7444.0
2026-01-29 10:20:00-06:00,1.6893,1.76,1.68,1.7399,12600.0
2026-01-29 10:21:00-06:00,1.74,1.84,1.73,1.8019,21657.0
2026-01-29 10:22:00-06:00,1.8,1.83,1.76,1.8019,12778.0
2026-01-29 10:23:00-06:00,1.81,1.82,1.725,1.7979,14085.0
2026-01-29 10:24:00-06:00,1.8,1.84,1.74,1.7484,14963.0
2026-01-29 10:25:00-06:00,1.75,1.76,1.58,1.62,26621.0
