datetime,open,high,low,close,volume
2025-12-09 08:30:00-06:00,1.0,1.04,1.0,1.0363,1162.0
2025-12-09 08:31:00-06:00,1.04,1.08,1.04,1.055,371.0
2025-12-09 08:32:00-06:00,1.0572,1.06,1.0452,1.0452,131.0
2025-12-09 08:33:00-06:00,1.045,1.0499,1.045,1.045,141.0
2025-12-09 08:34:00-06:00,1.048,1.05,1.04,1.05,127.0
2025-12-09 08:35:00-06:00,1.06,1.06,1.0501,1.055,235.0
2025-12-09 08:36:00-06:00,1.055,1.07,1.05,1.0667,82.0
2025-12-09 08:37:00-06:00,1.0693,1.08,1.065,1.0794,203.0
2025-12-09 08:38:00-06:00,1.07,1.1699,1.07,1.15,1338.0
2025-12-09 08:39:00-06:00,1.1456,1.15,1.105,1.1156,980.0
2025-12-09 08:40:00-06:00,1.1199,1.16,1.115,1.15,1309.0
2025-12-09 08:41:00-06:00,1.155,1.16,1.14,1.145,873.0
2025-12-09 08:42:00-06:00,1.1464,1.15,1.14,1.1499,774.0
2025-12-09 08:43:00-06:00,1.1493,1.21,1.115,1.1201,3810.0
2025-12-09 08:44:00-06:00,1.125,1.13,1.1,1.125,981.0
2025-12-09 08:45:00-06:00,1.12,1.13,1.12,1.13,515.0
2025-12-09 08:46:00-06:00,1.13,1.13,1.12,1.13,188.0
2025-12-09 08:47:00-06:00,1.13,1.13,1.1,1.1055,806.0
2025-12-09 08:48:00-06:00,1.1093,1.14,1.1,1.13,526.0
2025-12-09 08:49:00-06:00,1.1382,1.15,1.1,1.1399,546.0
2025-12-09 08:50:00-06:00,1.125,1.14,1.11,1.1396,336.0
2025-12-09 08:51:00-06:00,1.1378,1.14,1.13,1.1399,221.0
2025-12-09 08:52:00-06:00,1.135,1.1399,1.13,1.1399,96.0
2025-12-09 08:53:00-06:00,1.14,1.15,1.1344,1.1482,207.0
2025-12-09 08:54:00-06:00,1.145,1.2,1.145,1.1801,1220.0
2025-12-09 08:55:00-06:00,1.1885,1.1885,1.11,1.1491,1210.0
2025-12-09 08:56:00-06:00,1.1399,1.16,1.13,1.15,256.0
2025-12-09 08:57:00-06:00,1.15,1.15,1.14,1.145,72.0
2025-12-09 08:58:00-06:00,1.1443,1.15,1.13,1.13,190.0
2025-12-09 08:59:00-06:00,1.13,1.15,1.13,1.1418,339.0
2025-12-09 09:00:00-06:00,1.1487,1.1487,1.14,1.1416,65.0
2025-12-09 09:01:00-06:00,1.1415,1.15,1.13,1.14,161.0
2025-12-09 09:02:00-06:00,1.14,1.14,1.13,1.135,188.0
2025-12-09 09:03:00-06:00,1.1399,1.14,1.1306,1.1355,113.0
2025-12-09 09:04:00-06:00,1.1394,1.15,1.1309,1.1483,132.0
2025-12-09 09:05:00-06:00,1.1419,1.145,1.13,1.13,206.0
2025-12-09 09:06:00-06:00,1.1209,1.1343,1.11,1.12,344.0
2025-12-09 09:07:00-06:00,1.115,1.13,1.115,1.12,169.0
2025-12-09 09:08:00-06:00,1.125,1.1601,1.11,1.1601,626.0
2025-12-09 09:09:00-06:00,1.1601,1.19,1.15,1.1786,819.0
2025-12-09 09:10:00-06:00,1.18,1.18,1.0601,1.16,304.0
2025-12-09 09:11:00-06:00,1.16,1.18,1.16,1.1798,228.0
2025-12-09 09:12:00-06:00,1.175,1.22,1.1748,1.215,1111.0
2025-12-09 09:13:00-06:00,1.2101,1.25,1.21,1.2443,2678.0
2025-12-09 09:14:00-06:00,1.2416,1.26,1.23,1.24,1669.0
2025-12-09 09:15:00-06:00,1.24,1.24,1.23,1.2398,725.0
2025-12-09 09:16:00-06:00,1.24,1.26,1.23,1.2555,559.0
2025-12-09 09:17:00-06:00,1.26,1.29,1.24,1.2701,1774.0
2025-12-09 09:18:00-06:00,1.27,1.335,1.27,1.32,2792.0
2025-12-09 09:19:00-06:00,1.32,1.33,1.3,1.31,2095.0
2025-12-09 09:20:00-06:00,1.315,1.32,1.2,1.2497,2819.0
2025-12-09 09:21:00-06:00,1.24,1.244,1.16,1.2,2553.0
2025-12-09 09:22:00-06:00,1.1956,1.23,1.19,1.2115,996.0
2025-12-09 09:23:00-06:00,1.22,1.26,1.21,1.22,885.0
2025-12-09 09:24:00-06:00,1.22,1.2234,1.2,1.2,468.0
2025-12-09 09:25:00-06:00,1.2075,1.21,1.1918,1.1918,392.0
2025-12-09 09:26:00-06:00,1.1999,1.21,1.19,1.205,554.0
2025-12-09 09:27:00-06:00,1.2099,1.2099,1.19,1.195,341.0
2025-12-09 09:28:00-06:00,1.19,1.19,1.12,1.15,2502.0
2025-12-09 09:29:00-06:00,1.15,1.16,1.14,1.14,349.0
2025-12-09 09:30:00-06:00,1.14,1.14,1.12,1.1206,501.0
