datetime,open,high,low,close,volume
2026-02-27 08:30:00-06:00,23.79,23.99,23.75,23.92,699.0
2026-02-27 08:31:00-06:00,23.91,23.95,23.83,23.87,254.0
2026-02-27 08:32:00-06:00,23.85,23.89,23.82,23.88,171.0
2026-02-27 08:33:00-06:00,23.9,23.92,23.84,23.92,188.0
2026-02-27 08:34:00-06:00,23.92,23.92,23.75,23.76,278.0
2026-02-27 08:35:00-06:00,23.76,23.85,23.76,23.81,302.0
2026-02-27 08:36:00-06:00,23.8,23.87,23.76,23.84,231.0
2026-02-27 08:37:00-06:00,23.83,23.84,23.73,23.76,210.0
2026-02-27 08:38:00-06:00,23.77,23.8,23.73,23.78,206.0
2026-02-27 08:39:00-06:00,23.79,23.88,23.77,23.86,328.0
2026-02-27 08:40:00-06:00,23.83,23.84,23.75,23.8,223.0
2026-02-27 08:41:00-06:00,23.8,23.8,23.74,23.76,167.0
2026-02-27 08:42:00-06:00,23.77,23.77,23.72,23.73,247.0
2026-02-27 08:43:00-06:00,23.73,23.8,23.71,23.73,166.0
2026-02-27 08:44:00-06:00,23.72,23.95,23.7,23.92,568.0
2026-02-27 08:45:00-06:00,23.91,23.96,23.87,23.93,109.0
2026-02-27 08:46:00-06:00,23.92,23.99,23.92,23.94,189.0
2026-02-27 08:47:00-06:00,23.97,24.0,23.91,23.98,112.0
2026-02-27 08:48:00-06:00,23.98,24.04,23.95,24.04,185.0
2026-02-27 08:49:00-06:00,24.04,24.05,24.02,24.02,48.0
2026-02-27 08:50:00-06:00,24.03,24.03,23.99,24.01,137.0
2026-02-27 08:51:00-06:00,24.02,24.07,24.01,24.01,223.0
2026-02-27 08:52:00-06:00,24.01,24.01,23.96,23.99,43.0
2026-02-27 08:53:00-06:00,23.99,24.01,23.99,24.01,19.0
2026-02-27 08:54:00-06:00,24.03,24.04,24.0,24.0,58.0
2026-02-27 08:55:00-06:00,24.0,24.01,23.98,24.01,106.0
2026-02-27 08:56:00-06:00,24.0,24.01,23.94,23.94,56.0
2026-02-27 08:57:00-06:00,23.95,23.97,23.94,23.97,11.0
2026-02-27 08:58:00-06:00,23.96,23.99,23.95,23.95,25.0
2026-02-27 08:59:00-06:00,23.96,23.97,23.95,23.97,16.0
2026-02-27 09:00:00-06:00,23.97,24.0,23.97,23.98,41.0
2026-02-27 09:01:00-06:00,23.99,24.02,23.98,24.01,62.0
2026-02-27 09:02:00-06:00,24.01,24.01,23.98,23.98,18.0
2026-02-27 09:03:00-06:00,23.96,23.96,23.92,23.94,55.0
2026-02-27 09:04:00-06:00,23.94,23.94,23.91,23.91,53.0
2026-02-27 09:05:00-06:00,23.91,23.93,23.9,23.91,158.0
2026-02-27 09:06:00-06:00,23.91,23.96,23.91,23.95,79.0
2026-02-27 09:07:00-06:00,23.94,23.97,23.94,23.96,32.0
2026-02-27 09:08:00-06:00,23.97,23.98,23.97,23.97,24.0
2026-02-27 09:09:00-06:00,23.99,24.0,23.97,23.97,65.0
2026-02-27 09:10:00-06:00,23.96,24.02,23.95,24.02,27.0
2026-02-27 09:11:00-06:00,24.02,24.05,24.02,24.05,31.0
2026-02-27 09:12:00-06:00,24.04,24.05,24.03,24.05,102.0
2026-02-27 09:13:00-06:00,24.05,24.07,24.04,24.06,47.0
2026-02-27 09:14:00-06:00,24.06,24.06,24.04,24.04,50.0
2026-02-27 09:15:00-06:00,24.04,24.05,24.02,24.03,36.0
2026-02-27 09:16:00-06:00,24.02,24.02,23.98,23.99,56.0
2026-02-27 09:17:00-06:00,23.98,24.01,23.97,24.0,93.0
2026-02-27 09:18:00-06:00,24.0,24.0,23.99,24.0,26.0
2026-02-27 09:19:00-06:00,24.0,24.03,23.99,24.02,20.0
2026-02-27 09:20:00-06:00,24.02,24.05,24.01,24.03,22.0
2026-02-27 09:21:00-06:00,24.04,24.06,24.04,24.06,20.0
2026-02-27 09:22:00-06:00,24.05,24.05,24.03,24.05,80.0
2026-02-27 09:23:00-06:00,24.06,24.09,24.05,24.09,32.0
2026-02-27 09:24:00-06:00,24.08,24.14,24.08,24.12,144.0
2026-02-27 09:25:00-06:00,24.12,24.15,24.12,24.14,142.0
2026-02-27 09:26:00-06:00,24.15,24.15,24.04,24.06,516.0
2026-02-27 09:27:00-06:00,24.07,24.1,24.07,24.1,101.0
2026-02-27 09:28:00-06:00,24.11,24.12,24.09,24.1,27.0
2026-02-27 09:29:00-06:00,24.1,24.1,24.07,24.08,47.0
2026-02-27 09:30:00-06:00,24.1,24.13,24.08,24.12,59.0
2026-02-27 09:31:00-06:00,24.12,24.12,24.1,24.1,35.0
2026-02-27 09:32:00-06:00,24.09,24.1,24.08,24.09,23.0
2026-02-27 09:33:00-06:00,24.11,24.14,24.11,24.13,68.0
2026-02-27 09:34:00-06:00,24.12,24.13,24.1,24.11,58.0
2026-02-27 09:35:00-06:00,24.11,24.12,24.11,24.11,13.0
2026-02-27 09:36:00-06:00,24.11,24.14,24.11,24.14,30.0
2026-02-27 09:37:00-06:00,24.13,24.14,24.12,24.13,72.0
2026-02-27 09:38:00-06:00,24.12,24.16,24.12,24.16,72.0
2026-02-27 09:39:00-06:00,24.16,24.17,24.14,24.14,33.0
2026-02-27 09:40:00-06:00,24.14,24.15,24.13,24.15,15.0
2026-02-27 09:41:00-06:00,24.14,24.15,24.14,24.15,15.0
2026-02-27 09:42:00-06:00,24.16,24.17,24.15,24.17,65.0
2026-02-27 09:43:00-06:00,24.17,24.18,24.16,24.18,26.0
2026-02-27 09:44:00-06:00,24.17,24.18,24.16,24.16,112.0
2026-02-27 09:45:00-06:00,24.17,24.22,24.16,24.19,172.0
2026-02-27 09:46:00-06:00,24.18,24.18,24.17,24.18,8.0
2026-02-27 09:47:00-06:00,24.16,24.16,24.11,24.11,76.0
2026-02-27 09:48:00-06:00,24.12,24.13,24.1,24.1,21.0
2026-02-27 09:49:00-06:00,24.1,24.1,24.04,24.04,175.0
2026-02-27 09:50:00-06:00,24.05,24.05,24.04,24.05,44.0
2026-02-27 09:51:00-06:00,24.04,24.05,24.02,24.04,48.0
2026-02-27 09:52:00-06:00,24.03,24.04,24.03,24.03,23.0
2026-02-27 09:53:00-06:00,24.03,24.03,24.02,24.03,19.0
2026-02-27 09:54:00-06:00,24.03,24.03,24.01,24.02,13.0
2026-02-27 09:55:00-06:00,24.01,24.01,23.99,24.0,56.0
2026-02-27 09:56:00-06:00,24.01,24.02,23.99,24.01,23.0
2026-02-27 09:57:00-06:00,24.01,24.03,24.0,24.03,21.0
2026-02-27 09:58:00-06:00,24.03,24.03,24.0,24.01,39.0
2026-02-27 09:59:00-06:00,24.01,24.02,24.0,24.01,19.0
2026-02-27 10:00:00-06:00,24.03,24.03,24.01,24.02,11.0
2026-02-27 10:01:00-06:00,24.03,24.07,24.03,24.04,67.0
2026-02-27 10:02:00-06:00,24.06,24.07,24.05,24.05,17.0
2026-02-27 10:03:00-06:00,24.06,24.07,24.05,24.07,47.0
2026-02-27 10:04:00-06:00,24.07,24.07,24.06,24.06,3.0
2026-02-27 10:05:00-06:00,24.06,24.07,24.05,24.07,10.0
2026-02-27 10:06:00-06:00,24.07,24.07,24.04,24.05,38.0
2026-02-27 10:07:00-06:00,24.05,24.05,24.04,24.04,5.0
2026-02-27 10:08:00-06:00,24.04,24.04,24.03,24.03,15.0
2026-02-27 10:09:00-06:00,24.02,24.03,24.02,24.03,14.0
2026-02-27 10:10:00-06:00,24.03,24.03,24.02,24.03,7.0
2026-02-27 10:11:00-06:00,24.03,24.04,24.03,24.03,17.0
2026-02-27 10:12:00-06:00,24.02,24.03,24.02,24.02,5.0
2026-02-27 10:13:00-06:00,24.02,24.06,24.02,24.05,100.0
2026-02-27 10:14:00-06:00,24.05,24.06,24.04,24.06,15.0
2026-02-27 10:15:00-06:00,24.05,24.07,24.05,24.07,8.0
2026-02-27 10:16:00-06:00,24.06,24.06,24.05,24.05,19.0
2026-02-27 10:17:00-06:00,24.04,24.07,24.04,24.06,14.0
2026-02-27 10:18:00-06:00,24.06,24.07,24.04,24.04,53.0
2026-02-27 10:19:00-06:00,24.04,24.04,24.0,24.0,17.0
2026-02-27 10:20:00-06:00,24.0,24.01,23.99,24.0,60.0
2026-02-27 10:21:00-06:00,23.99,24.0,23.98,24.0,38.0
