datetime,open,high,low,close,volume
2026-02-26 08:30:00-06:00,8.18,8.48,8.01,8.46,1137.0
2026-02-26 08:31:00-06:00,8.47,8.48,8.1,8.22,733.0
2026-02-26 08:32:00-06:00,8.19,8.46,8.1,8.42,396.0
2026-02-26 08:33:00-06:00,8.41,8.45,8.11,8.29,520.0
2026-02-26 08:34:00-06:00,8.25,8.39,8.0,8.1,768.0
2026-02-26 08:35:00-06:00,8.11,8.22,8.0,8.05,406.0
2026-02-26 08:36:00-06:00,8.1,8.5,8.09,8.34,749.0
2026-02-26 08:37:00-06:00,8.33,8.67,8.25,8.64,1064.0
2026-02-26 08:38:00-06:00,8.61,8.7,8.54,8.66,1078.0
2026-02-26 08:39:00-06:00,8.61,8.68,8.29,8.6,1250.0
2026-02-26 08:40:00-06:00,8.59,8.66,8.5,8.61,585.0
2026-02-26 08:41:00-06:00,8.6,8.85,8.55,8.77,1533.0
2026-02-26 08:42:00-06:00,8.76,8.76,8.51,8.55,711.0
2026-02-26 08:43:00-06:00,8.57,8.6,8.29,8.38,770.0
2026-02-26 08:44:00-06:00,8.34,8.39,8.22,8.32,359.0
2026-02-26 08:45:00-06:00,8.35,8.36,8.12,8.24,571.0
2026-02-26 08:46:00-06:00,8.3,8.3,8.2,8.2,245.0
2026-02-26 08:47:00-06:00,8.2,8.46,8.17,8.28,496.0
2026-02-26 08:48:00-06:00,8.28,8.38,7.93,8.08,1333.0
2026-02-26 08:49:00-06:00,8.07,8.11,7.65,7.93,1044.0
2026-02-26 08:50:00-06:00,7.92,8.09,7.87,8.01,501.0
2026-02-26 08:51:00-06:00,8.01,8.03,7.81,7.84,436.0
2026-02-26 08:52:00-06:00,7.84,8.0,7.83,7.9,265.0
2026-02-26 08:53:00-06:00,7.88,7.95,7.84,7.92,297.0
2026-02-26 08:54:00-06:00,7.92,7.99,7.86,7.87,130.0
2026-02-26 08:55:00-06:00,7.86,7.96,7.86,7.94,130.0
2026-02-26 08:56:00-06:00,7.93,7.95,7.76,7.82,272.0
2026-02-26 08:57:00-06:00,7.8,7.8,7.55,7.58,1038.0
2026-02-26 08:58:00-06:00,7.59,8.0,7.58,7.86,998.0
2026-02-26 08:59:00-06:00,7.75,7.94,7.7,7.93,133.0
2026-02-26 09:00:00-06:00,7.88,7.88,7.76,7.8,141.0
2026-02-26 09:01:00-06:00,7.78,7.85,7.76,7.85,217.0
2026-02-26 09:02:00-06:00,7.86,8.05,7.82,7.91,326.0
2026-02-26 09:03:00-06:00,7.94,8.02,7.9,7.95,129.0
2026-02-26 09:04:00-06:00,7.96,8.0,7.87,7.99,190.0
2026-02-26 09:05:00-06:00,7.94,7.98,7.9,7.92,66.0
2026-02-26 09:06:00-06:00,7.9,7.91,7.75,7.79,266.0
2026-02-26 09:07:00-06:00,7.8,7.8,7.7,7.79,95.0
2026-02-26 09:08:00-06:00,7.77,7.91,7.7,7.87,404.0
2026-02-26 09:09:00-06:00,7.85,7.91,7.83,7.89,59.0
2026-02-26 09:10:00-06:00,7.88,7.97,7.84,7.97,175.0
2026-02-26 09:11:00-06:00,7.98,8.0,7.92,7.92,96.0
2026-02-26 09:12:00-06:00,7.93,7.99,7.91,7.91,56.0
2026-02-26 09:13:00-06:00,7.9,7.93,7.85,7.9,35.0
