datetime,open,high,low,close,volume
2026-02-20 08:30:00-06:00,11.98,12.18,11.94,11.97,1154.0
2026-02-20 08:31:00-06:00,11.9,12.1,11.75,11.92,256.0
2026-02-20 08:32:00-06:00,11.86,12.0,11.42,11.45,305.0
2026-02-20 08:33:00-06:00,11.52,11.57,11.52,11.56,13.0
2026-02-20 08:34:00-06:00,11.56,11.61,11.4,11.52,187.0
2026-02-20 08:35:00-06:00,11.52,11.52,11.1,11.12,181.0
2026-02-20 08:36:00-06:00,11.17,11.21,10.95,11.13,192.0
2026-02-20 08:37:00-06:00,11.09,11.3,11.04,11.28,183.0
2026-02-20 08:38:00-06:00,11.25,11.28,11.08,11.15,263.0
2026-02-20 08:39:00-06:00,11.15,11.15,10.98,11.0,87.0
2026-02-20 08:40:00-06:00,11.02,11.02,10.92,10.96,171.0
2026-02-20 08:41:00-06:00,10.96,10.96,10.82,10.95,84.0
2026-02-20 08:42:00-06:00,10.93,10.98,10.85,10.97,165.0
2026-02-20 08:43:00-06:00,10.97,11.0,10.94,10.95,38.0
2026-02-20 08:44:00-06:00,10.95,11.17,10.95,11.08,50.0
2026-02-20 08:45:00-06:00,11.1,11.24,11.08,11.2,145.0
2026-02-20 08:46:00-06:00,11.23,11.23,11.12,11.12,95.0
2026-02-20 08:47:00-06:00,11.08,11.08,11.0,11.06,63.0
2026-02-20 08:48:00-06:00,11.08,11.11,11.03,11.04,24.0
2026-02-20 08:49:00-06:00,10.96,11.11,10.96,11.11,44.0
2026-02-20 08:50:00-06:00,11.05,11.1,11.04,11.06,31.0
2026-02-20 08:51:00-06:00,11.04,11.04,10.99,11.0,6.0
2026-02-20 08:52:00-06:00,11.01,11.08,10.95,11.08,293.0
2026-02-20 08:53:00-06:00,11.08,11.1,11.08,11.09,9.0
2026-02-20 08:54:00-06:00,11.05,11.13,11.05,11.13,27.0
2026-02-20 08:55:00-06:00,11.13,11.14,11.1,11.1,2.0
2026-02-20 08:56:00-06:00,11.12,11.22,11.12,11.22,22.0
2026-02-20 08:57:00-06:00,11.19,11.19,11.15,11.15,11.0
2026-02-20 08:58:00-06:00,11.15,11.25,11.08,11.25,102.0
2026-02-20 08:59:00-06:00,11.18,11.2,11.15,11.2,13.0
2026-02-20 09:00:00-06:00,11.23,11.23,11.22,11.23,1.0
2026-02-20 09:01:00-06:00,11.27,11.34,11.27,11.32,22.0
2026-02-20 09:02:00-06:00,11.36,11.36,11.27,11.29,198.0
2026-02-20 09:03:00-06:00,11.27,11.31,11.11,11.12,79.0
2026-02-20 09:04:00-06:00,11.14,11.15,11.12,11.12,85.0
2026-02-20 09:05:00-06:00,11.06,11.06,11.0,11.04,23.0
2026-02-20 09:06:00-06:00,11.04,11.04,10.93,10.96,167.0
2026-02-20 09:07:00-06:00,10.96,11.13,10.95,11.06,197.0
2026-02-20 09:08:00-06:00,11.06,11.11,11.03,11.04,60.0
2026-02-20 09:09:00-06:00,11.03,11.07,11.01,11.01,53.0
2026-02-20 09:10:00-06:00,11.07,11.07,11.05,11.05,23.0
2026-02-20 09:11:00-06:00,11.04,11.07,11.03,11.05,22.0
2026-02-20 09:12:00-06:00,11.02,11.08,11.02,11.07,113.0
2026-02-20 09:13:00-06:00,11.08,11.08,11.01,11.04,50.0
2026-02-20 09:14:00-06:00,11.04,11.04,10.91,10.92,62.0
2026-02-20 09:15:00-06:00,10.92,10.92,10.85,10.89,139.0
2026-02-20 09:16:00-06:00,10.88,10.88,10.84,10.88,46.0
2026-02-20 09:17:00-06:00,10.85,10.89,10.85,10.89,39.0
2026-02-20 09:18:00-06:00,10.92,11.05,10.91,10.98,193.0
2026-02-20 09:19:00-06:00,11.01,11.01,10.97,10.98,8.0
2026-02-20 09:20:00-06:00,10.89,10.9,10.89,10.9,32.0
2026-02-20 09:21:00-06:00,10.93,11.04,10.89,11.04,17.0
2026-02-20 09:22:00-06:00,11.02,11.05,11.02,11.05,11.0
2026-02-20 09:23:00-06:00,11.05,11.11,11.04,11.11,23.0
2026-02-20 09:24:00-06:00,11.11,11.11,11.11,11.11,0.0
2026-02-20 09:25:00-06:00,11.11,11.11,11.11,11.11,0.0
2026-02-20 09:26:00-06:00,11.07,11.07,11.07,11.07,6.0
2026-02-20 09:27:00-06:00,11.08,11.08,11.07,11.08,2.0
2026-02-20 09:28:00-06:00,11.04,11.07,11.03,11.03,51.0
2026-02-20 09:29:00-06:00,11.04,11.09,11.04,11.09,33.0
2026-02-20 09:30:00-06:00,11.06,11.06,11.06,11.06,1.0
2026-02-20 09:31:00-06:00,11.03,11.03,11.02,11.02,2.0
2026-02-20 09:32:00-06:00,11.02,11.03,10.9,10.95,78.0
2026-02-20 09:33:00-06:00,10.88,10.9,10.87,10.9,19.0
2026-02-20 09:34:00-06:00,10.91,10.91,10.91,10.91,5.0
2026-02-20 09:35:00-06:00,10.93,10.93,10.9,10.91,2.0
2026-02-20 09:36:00-06:00,10.91,10.93,10.91,10.93,34.0
2026-02-20 09:37:00-06:00,10.93,10.97,10.92,10.96,11.0
2026-02-20 09:38:00-06:00,10.95,10.95,10.93,10.95,4.0
2026-02-20 09:39:00-06:00,10.96,11.03,10.96,10.98,117.0
2026-02-20 09:40:00-06:00,11.0,11.03,11.0,11.02,32.0
2026-02-20 09:41:00-06:00,11.0,11.07,11.0,11.07,72.0
2026-02-20 09:42:00-06:00,11.07,11.18,11.06,11.14,84.0
2026-02-20 09:43:00-06:00,11.13,11.13,11.09,11.09,10.0
2026-02-20 09:44:00-06:00,11.09,11.09,11.09,11.09,0.0
2026-02-20 09:45:00-06:00,11.09,11.09,11.09,11.09,0.0
2026-02-20 09:46:00-06:00,11.13,11.13,11.12,11.12,42.0
2026-02-20 09:47:00-06:00,11.13,11.18,11.13,11.17,20.0
2026-02-20 09:48:00-06:00,11.14,11.14,11.14,11.14,3.0
2026-02-20 09:49:00-06:00,11.13,11.14,11.12,11.14,10.0
2026-02-20 09:50:00-06:00,11.12,11.12,11.1,11.11,10.0
2026-02-20 09:51:00-06:00,11.11,11.13,11.11,11.13,9.0
2026-02-20 09:52:00-06:00,11.14,11.2,11.14,11.17,18.0
2026-02-20 09:53:00-06:00,11.17,11.17,11.17,11.17,0.0
2026-02-20 09:54:00-06:00,11.18,11.19,11.17,11.19,7.0
2026-02-20 09:55:00-06:00,11.17,11.23,11.17,11.23,24.0
