datetime,open,high,low,close,volume
2026-02-09 08:30:00-06:00,1.02,1.03,1.01,1.01,1247.0
2026-02-09 08:31:00-06:00,1.015,1.02,1.01,1.015,127.0
2026-02-09 08:32:00-06:00,1.0134,1.014,1.0,1.0075,303.0
2026-02-09 08:33:00-06:00,1.005,1.006,1.0,1.0044,51.0
2026-02-09 08:34:00-06:00,1.01,1.03,1.0,1.03,649.0
2026-02-09 08:35:00-06:00,1.025,1.03,1.02,1.025,634.0
2026-02-09 08:36:00-06:00,1.03,1.05,1.025,1.05,1116.0
2026-02-09 08:37:00-06:00,1.05,1.06,1.05,1.0588,1179.0
2026-02-09 08:38:00-06:00,1.0599,1.07,1.055,1.07,685.0
2026-02-09 08:39:00-06:00,1.0663,1.07,1.04,1.04,2229.0
2026-02-09 08:40:00-06:00,1.04,1.05,1.02,1.03,841.0
2026-02-09 08:41:00-06:00,1.035,1.05,1.03,1.045,1527.0
2026-02-09 08:42:00-06:00,1.045,1.05,1.04,1.0463,136.0
2026-02-09 08:43:00-06:00,1.045,1.05,1.04,1.0463,76.0
2026-02-09 08:44:00-06:00,1.04,1.0497,1.04,1.04,314.0
2026-02-09 08:45:00-06:00,1.0406,1.05,1.04,1.045,453.0
2026-02-09 08:46:00-06:00,1.04,1.045,1.04,1.04,325.0
2026-02-09 08:47:00-06:00,1.0401,1.0401,1.03,1.0327,509.0
2026-02-09 08:48:00-06:00,1.03,1.0497,1.03,1.0497,771.0
2026-02-09 08:49:00-06:00,1.045,1.0599,1.04,1.0598,1510.0
2026-02-09 08:50:00-06:00,1.0587,1.07,1.055,1.0699,1492.0
2026-02-09 08:51:00-06:00,1.06,1.0799,1.06,1.07,1364.0
2026-02-09 08:52:00-06:00,1.0787,1.0964,1.075,1.0897,3297.0
2026-02-09 08:53:00-06:00,1.09,1.09,1.08,1.0899,817.0
2026-02-09 08:54:00-06:00,1.0864,1.09,1.08,1.0867,1851.0
2026-02-09 08:55:00-06:00,1.0867,1.09,1.08,1.085,163.0
2026-02-09 08:56:00-06:00,1.0899,1.0899,1.08,1.085,448.0
2026-02-09 08:57:00-06:00,1.08,1.0801,1.07,1.0792,176.0
2026-02-09 08:58:00-06:00,1.0701,1.08,1.07,1.072,296.0
2026-02-09 08:59:00-06:00,1.07,1.08,1.07,1.075,105.0
2026-02-09 09:00:00-06:00,1.075,1.08,1.07,1.0773,128.0
2026-02-09 09:01:00-06:00,1.07,1.08,1.07,1.0736,57.0
2026-02-09 09:02:00-06:00,1.0799,1.08,1.07,1.07,166.0
2026-02-09 09:03:00-06:00,1.0726,1.075,1.06,1.065,286.0
2026-02-09 09:04:00-06:00,1.065,1.08,1.065,1.075,526.0
2026-02-09 09:05:00-06:00,1.08,1.095,1.08,1.0873,840.0
2026-02-09 09:06:00-06:00,1.0898,1.09,1.08,1.0872,255.0
2026-02-09 09:07:00-06:00,1.085,1.09,1.08,1.09,195.0
2026-02-09 09:08:00-06:00,1.0898,1.09,1.08,1.08,362.0
2026-02-09 09:09:00-06:00,1.085,1.09,1.08,1.08,115.0
2026-02-09 09:10:00-06:00,1.085,1.09,1.0801,1.085,469.0
2026-02-09 09:11:00-06:00,1.09,1.09,1.08,1.081,553.0
2026-02-09 09:12:00-06:00,1.085,1.0899,1.08,1.0801,185.0
2026-02-09 09:13:00-06:00,1.09,1.11,1.085,1.105,1404.0
2026-02-09 09:14:00-06:00,1.1,1.11,1.1,1.11,192.0
2026-02-09 09:15:00-06:00,1.11,1.12,1.105,1.1167,1465.0
2026-02-09 09:16:00-06:00,1.1114,1.13,1.1114,1.1259,659.0
2026-02-09 09:17:00-06:00,1.1266,1.13,1.12,1.1237,332.0
2026-02-09 09:18:00-06:00,1.1291,1.14,1.12,1.137,2011.0
2026-02-09 09:19:00-06:00,1.135,1.16,1.135,1.159,1749.0
2026-02-09 09:20:00-06:00,1.159,1.17,1.15,1.165,1386.0
2026-02-09 09:21:00-06:00,1.165,1.17,1.16,1.17,641.0
2026-02-09 09:22:00-06:00,1.165,1.17,1.16,1.16,1716.0
2026-02-09 09:23:00-06:00,1.165,1.1699,1.16,1.165,380.0
2026-02-09 09:24:00-06:00,1.1654,1.17,1.16,1.1635,843.0
2026-02-09 09:25:00-06:00,1.1601,1.17,1.16,1.16,787.0
2026-02-09 09:26:00-06:00,1.1665,1.17,1.16,1.1645,459.0
2026-02-09 09:27:00-06:00,1.165,1.19,1.1632,1.185,2459.0
2026-02-09 09:28:00-06:00,1.183,1.2,1.18,1.18,1979.0
2026-02-09 09:29:00-06:00,1.1801,1.19,1.18,1.18,486.0
2026-02-09 09:30:00-06:00,1.1897,1.19,1.18,1.185,734.0
2026-02-09 09:31:00-06:00,1.185,1.19,1.18,1.185,525.0
2026-02-09 09:32:00-06:00,1.185,1.22,1.18,1.2199,3052.0
2026-02-09 09:33:00-06:00,1.215,1.22,1.2,1.21,3200.0
2026-02-09 09:34:00-06:00,1.2067,1.22,1.2,1.2199,1128.0
2026-02-09 09:35:00-06:00,1.215,1.22,1.21,1.22,1571.0
2026-02-09 09:36:00-06:00,1.2101,1.22,1.21,1.2199,1072.0
2026-02-09 09:37:00-06:00,1.215,1.24,1.21,1.24,1321.0
2026-02-09 09:38:00-06:00,1.2399,1.2399,1.22,1.23,1750.0
2026-02-09 09:39:00-06:00,1.2301,1.24,1.23,1.2398,1103.0
2026-02-09 09:40:00-06:00,1.2351,1.25,1.23,1.24,2724.0
2026-02-09 09:41:00-06:00,1.2301,1.24,1.23,1.2336,2744.0
2026-02-09 09:42:00-06:00,1.2399,1.26,1.23,1.255,4357.0
2026-02-09 09:43:00-06:00,1.2562,1.28,1.25,1.28,2094.0
2026-02-09 09:44:00-06:00,1.28,1.29,1.27,1.2829,3018.0
2026-02-09 09:45:00-06:00,1.29,1.29,1.25,1.2512,4086.0
2026-02-09 09:46:00-06:00,1.2565,1.26,1.2,1.2079,3462.0
2026-02-09 09:47:00-06:00,1.21,1.23,1.2,1.225,2719.0
2026-02-09 09:48:00-06:00,1.225,1.25,1.225,1.2472,2540.0
2026-02-09 09:49:00-06:00,1.25,1.26,1.232,1.2399,1832.0
