time,open,high,low,close,volume
2026-03-09T09:30:00,6.9816,7.0343,6.9016,6.9885,1553545
2026-03-09T09:31:00,6.9754,7.0458,6.8676,6.968,2037574
2026-03-09T09:32:00,6.9666,7.0075,6.9237,6.9549,2583932
2026-03-09T09:33:00,6.9686,7.002,6.9022,6.9506,1846658
2026-03-09T09:34:00,6.9391,7.0582,6.8723,6.9545,2659910
2026-03-09T09:35:00,6.9646,6.998,6.9395,6.9617,2009420
2026-03-09T09:36:00,6.9619,7.027,6.859,6.9456,1646258
2026-03-09T09:37:00,6.9586,6.9907,6.8877,6.928,2387093
2026-03-09T09:38:00,6.9376,6.9608,6.8857,6.9131,2493322
2026-03-09T09:39:00,6.9211,6.9855,6.8801,6.9122,1587812
2026-03-09T09:40:00,6.9028,7.0021,6.8165,6.9192,2025507
2026-03-09T09:41:00,6.9198,6.9969,6.8446,6.9343,2595237
2026-03-09T09:42:00,6.9269,6.9769,6.8842,6.9411,2149069
2026-03-09T09:43:00,6.9414,6.9756,6.9094,6.9366,2559897
2026-03-09T09:44:00,6.9335,6.9647,6.9031,6.9375,2325530
2026-03-09T09:45:00,6.94,6.9549,6.9223,6.934,2204602
2026-03-09T09:46:00,6.9478,6.9686,6.8885,6.9138,1739230
2026-03-09T09:47:00,6.9241,6.9626,6.8898,6.9187,2560643
2026-03-09T09:48:00,6.9122,6.9825,6.841,6.9263,1785940
2026-03-09T09:49:00,6.9354,6.9573,6.8939,6.915,2083548
2026-03-09T09:50:00,6.9151,6.9862,6.8514,6.9058,2028681
2026-03-09T09:51:00,6.9162,6.9707,6.8548,6.9104,2147885
2026-03-09T09:52:00,6.9207,6.969,6.8533,6.9108,2725079
2026-03-09T09:53:00,6.9223,6.9631,6.8566,6.8936,2383791
2026-03-09T09:54:00,6.9049,6.921,6.8656,6.8901,2295698
2026-03-09T09:55:00,6.897,6.9517,6.8603,6.8942,2266660
2026-03-09T09:56:00,6.8913,6.9139,6.8551,6.8808,1520722
2026-03-09T09:57:00,6.8721,6.9349,6.8044,6.875,1890633
2026-03-09T09:58:00,6.8806,6.9031,6.8459,6.8835,1799617
2026-03-09T09:59:00,6.8793,6.9042,6.8426,6.8689,1628660
2026-03-09T10:00:00,6.8332,6.9266,6.7707,6.8595,1023173
2026-03-09T10:01:00,6.8421,6.8744,6.8178,6.8481,624554
2026-03-09T10:02:00,6.833,6.8586,6.795,6.8233,859048
2026-03-09T10:03:00,6.814,6.8308,6.779,6.8011,878675
2026-03-09T10:04:00,6.777,6.8699,6.7198,6.7652,1040301
2026-03-09T10:05:00,6.7409,6.7718,6.7222,6.7403,624833
2026-03-09T10:06:00,6.7072,6.76,6.6301,6.7063,1091452
2026-03-09T10:07:00,6.6801,6.7749,6.5961,6.6998,723221
2026-03-09T10:08:00,6.6908,6.7398,6.6212,6.675,903269
2026-03-09T10:09:00,6.675,6.7138,6.6198,6.6698,616990
2026-03-09T10:10:00,6.636,6.7384,6.542,6.637,663857
2026-03-09T10:11:00,6.6011,6.6702,6.4994,6.5828,1194423
2026-03-09T10:12:00,6.5331,6.5756,6.4671,6.52,782620
2026-03-09T10:13:00,6.4699,6.4934,6.4297,6.4681,1090241
2026-03-09T10:14:00,6.4483,6.5036,6.384,6.4671,641279
2026-03-09T10:15:00,6.4352,6.5076,6.3788,6.43,1160534
2026-03-09T10:16:00,6.3984,6.4315,6.3516,6.4074,1055425
2026-03-09T10:17:00,6.3727,6.4014,6.3487,6.3864,736558
2026-03-09T10:18:00,6.3587,6.3811,6.3133,6.3465,798372
2026-03-09T10:19:00,6.3344,6.407,6.2313,6.3376,1280771
2026-03-09T10:20:00,6.3494,6.3904,6.2877,6.3546,1190495
2026-03-09T10:21:00,6.4113,6.4445,6.3343,6.3943,1252660
2026-03-09T10:22:00,6.4589,6.5268,6.3948,6.4641,1647017
2026-03-09T10:23:00,6.5406,6.5652,6.5073,6.5408,1778457
2026-03-09T10:24:00,6.5713,6.6755,6.4981,6.5914,1331861
2026-03-09T10:25:00,6.6353,6.6539,6.5996,6.6237,1803110
