datetime,open,high,low,close,volume
2026-01-20 08:30:00-06:00,6.54,6.558,6.13,6.1593,49816.0
2026-01-20 08:31:00-06:00,6.1475,6.42,6.08,6.345,23487.0
2026-01-20 08:32:00-06:00,6.34,6.8,6.27,6.49,21269.0
2026-01-20 08:33:00-06:00,6.5,6.54,6.38,6.4383,14849.0
2026-01-20 08:34:00-06:00,6.44,6.87,6.312,6.86,15646.0
2026-01-20 08:35:00-06:00,6.835,6.86,6.43,6.595,15792.0
2026-01-20 08:36:00-06:00,6.59,6.7,6.38,6.625,15266.0
2026-01-20 08:37:00-06:00,6.6299,6.85,6.52,6.73,12287.0
2026-01-20 08:38:00-06:00,6.73,6.9599,6.7114,6.85,15601.0
2026-01-20 08:39:00-06:00,6.8407,6.86,6.66,6.6981,11595.0
2026-01-20 08:40:00-06:00,6.7,7.08,6.67,6.9499,22740.0
2026-01-20 08:41:00-06:00,6.95,6.98,6.62,6.768,15292.0
2026-01-20 08:42:00-06:00,6.76,6.84,6.68,6.7781,10098.0
2026-01-20 08:43:00-06:00,6.77,6.9084,6.7301,6.8846,8694.0
2026-01-20 08:44:00-06:00,6.865,7.24,6.84,7.2122,23759.0
2026-01-20 08:45:00-06:00,7.2199,7.37,7.15,7.2406,16445.0
2026-01-20 08:46:00-06:00,7.245,7.34,7.19,7.2481,13979.0
2026-01-20 08:47:00-06:00,7.25,7.26,7.15,7.2316,8234.0
2026-01-20 08:48:00-06:00,7.235,7.26,6.85,6.8693,15751.0
2026-01-20 08:49:00-06:00,6.875,7.03,6.8201,6.89,10321.0
2026-01-20 08:50:00-06:00,6.885,7.1,6.88,6.97,12023.0
2026-01-20 08:51:00-06:00,6.9814,7.015,6.8,6.8378,9395.0
2026-01-20 08:52:00-06:00,6.835,6.93,6.73,6.8614,9442.0
2026-01-20 08:53:00-06:00,6.88,6.93,6.82,6.925,3923.0
2026-01-20 08:54:00-06:00,6.92,7.0,6.85,6.9997,5455.0
2026-01-20 08:55:00-06:00,6.995,7.05,6.9,7.0,7025.0
2026-01-20 08:56:00-06:00,7.005,7.01,6.74,6.78,13159.0
