time,open,high,low,close,volume
2026-02-12T09:30:00,4.1962,4.2368,4.1479,4.1896,1938328
2026-02-12T09:31:00,4.1927,4.2494,4.1501,4.1884,1851784
2026-02-12T09:32:00,4.1805,4.2302,4.1501,4.1796,1620084
2026-02-12T09:33:00,4.1741,4.2144,4.1539,4.1811,1591528
2026-02-12T09:34:00,4.1815,4.2477,4.1447,4.1898,1181566
2026-02-12T09:35:00,4.1931,4.2567,4.1548,4.1916,1262207
2026-02-12T09:36:00,4.1968,4.2604,4.1517,4.2018,1229832
2026-02-12T09:37:00,4.2011,4.2288,4.1813,4.2004,1461561
2026-02-12T09:38:00,4.2013,4.2569,4.1433,4.2014,1217927
2026-02-12T09:39:00,4.1941,4.2138,4.1664,4.1973,1844752
2026-02-12T09:40:00,4.2046,4.2554,4.1338,4.1859,1293454
2026-02-12T09:41:00,4.1893,4.2112,4.1596,4.1855,1487990
2026-02-12T09:42:00,4.1828,4.2009,4.176,4.1919,1902493
2026-02-12T09:43:00,4.1865,4.2317,4.1451,4.1856,1601636
2026-02-12T09:44:00,4.1856,4.2169,4.1469,4.197,1396810
2026-02-12T09:45:00,4.1893,4.2571,4.1451,4.2044,1301052
2026-02-12T09:46:00,4.2114,4.2555,4.1582,4.209,1285011
2026-02-12T09:47:00,4.2071,4.2548,4.1735,4.2131,1172123
2026-02-12T09:48:00,4.2095,4.2564,4.1624,4.2112,1222090
2026-02-12T09:49:00,4.2071,4.2347,4.1692,4.1994,1723063
2026-02-12T09:50:00,4.2005,4.2566,4.1546,4.2053,1650193
2026-02-12T09:51:00,4.2022,4.2191,4.1687,4.1995,1799234
2026-02-12T09:52:00,4.2068,4.2339,4.1629,4.1984,1088802
2026-02-12T09:53:00,4.2005,4.2327,4.166,4.2023,1902606
2026-02-12T09:54:00,4.1948,4.2385,4.172,4.2141,1327420
2026-02-12T09:55:00,4.2102,4.2494,4.1701,4.2185,1806127
2026-02-12T09:56:00,4.2142,4.2518,4.1967,4.2295,1881406
2026-02-12T09:57:00,4.2317,4.2424,4.2067,4.2219,1041650
2026-02-12T09:58:00,4.2267,4.2516,4.1833,4.2138,1801119
2026-02-12T09:59:00,4.2194,4.2781,4.1865,4.2207,1575155
2026-02-12T10:00:00,4.2035,4.2346,4.1819,4.2044,893169
2026-02-12T10:01:00,4.1778,4.2049,4.1588,4.1939,592003
2026-02-12T10:02:00,4.1772,4.2235,4.144,4.1819,567074
2026-02-12T10:03:00,4.1504,4.193,4.1163,4.1604,548120
2026-02-12T10:04:00,4.1375,4.1708,4.099,4.1345,844554
2026-02-12T10:05:00,4.1003,4.1554,4.0474,4.1174,496477
2026-02-12T10:06:00,4.087,4.1309,4.0495,4.0956,565497
2026-02-12T10:07:00,4.095,4.134,4.0562,4.09,742816
2026-02-12T10:08:00,4.0658,4.0807,4.052,4.0665,806004
2026-02-12T10:09:00,4.0512,4.0857,3.9861,4.0523,518289
2026-02-12T10:10:00,4.0238,4.0623,3.9666,4.0301,643341
2026-02-12T10:11:00,4.0299,4.0446,4.0093,4.0223,818816
2026-02-12T10:12:00,4.0004,4.0259,3.9509,3.9917,575581
2026-02-12T10:13:00,3.9664,3.9956,3.9539,3.9782,822668
2026-02-12T10:14:00,3.9558,3.9724,3.9208,3.9496,532075
2026-02-12T10:15:00,3.9343,3.9548,3.9052,3.9354,651090
2026-02-12T10:16:00,3.9249,3.9734,3.8843,3.9307,460529
2026-02-12T10:17:00,3.9003,3.9409,3.8481,3.9126,472408
2026-02-12T10:18:00,3.8968,3.9288,3.8783,3.9006,461703
2026-02-12T10:19:00,3.8962,3.9048,3.878,3.895,625249
2026-02-12T10:20:00,3.9075,3.9243,3.8968,3.9115,1240404
2026-02-12T10:21:00,3.925,3.9652,3.8689,3.9266,1460482
2026-02-12T10:22:00,3.9694,4.0083,3.9302,3.9679,1394373
2026-02-12T10:23:00,3.9697,4.0029,3.9144,3.9734,1013968
2026-02-12T10:24:00,4.0123,4.0257,3.9975,4.0092,1493563
2026-02-12T10:25:00,4.009,4.0323,3.9738,4.0083,1095930
2026-02-12T10:26:00,4.0156,4.0304,3.987,4.0032,1092874
2026-02-12T10:27:00,4.0243,4.039,3.9987,4.0101,1285802
2026-02-12T10:28:00,4.0427,4.0676,4.0014,4.0285,1267259
2026-02-12T10:29:00,4.0709,4.1053,4.0447,4.0633,927060
2026-02-12T10:30:00,4.0644,4.1137,4.0388,4.0711,874216
2026-02-12T10:31:00,4.0761,4.1302,4.0275,4.0714,667492
2026-02-12T10:32:00,4.0954,4.1235,4.0708,4.0923,878235
2026-02-12T10:33:00,4.0887,4.1143,4.077,4.0964,1167308
2026-02-12T10:34:00,4.1274,4.162,4.1096,4.1315,1292785
2026-02-12T10:35:00,4.1613,4.1749,4.148,4.1619,1105622
2026-02-12T10:36:00,4.2186,4.2403,4.1921,4.2182,1211057
2026-02-12T10:37:00,4.2653,4.303,4.2066,4.2515,972625
2026-02-12T10:38:00,4.2883,4.3476,4.2185,4.2875,946819
2026-02-12T10:39:00,4.3302,4.3643,4.2975,4.3323,1354071
2026-02-12T10:40:00,4.3419,4.4031,4.3117,4.3538,293914
2026-02-12T10:41:00,4.3623,4.4006,4.3156,4.3649,298087
2026-02-12T10:42:00,4.3588,4.414,4.2837,4.3759,413149
2026-02-12T10:43:00,4.3781,4.3983,4.3659,4.3783,448166
2026-02-12T10:44:00,4.3729,4.4012,4.3609,4.3826,410582
2026-02-12T10:45:00,4.3665,4.3972,4.318,4.3577,486496
2026-02-12T10:46:00,4.3612,4.3923,4.34,4.3773,267001
2026-02-12T10:47:00,4.3611,4.3863,4.3414,4.3661,188543
2026-02-12T10:48:00,4.3443,4.3567,4.3261,4.3401,394144
2026-02-12T10:49:00,4.344,4.3614,4.3292,4.3516,339723
2026-02-12T10:50:00,4.3558,4.3656,4.3394,4.3508,424774
2026-02-12T10:51:00,4.3561,4.3875,4.3218,4.3529,245835
2026-02-12T10:52:00,4.3622,4.429,4.2943,4.3712,212646
2026-02-12T10:53:00,4.3639,4.3848,4.3514,4.3628,366861
2026-02-12T10:54:00,4.3487,4.3851,4.3001,4.3372,483453
2026-02-12T10:55:00,4.3479,4.3854,4.3064,4.3514,224013
2026-02-12T10:56:00,4.3409,4.3623,4.329,4.3437,263613
2026-02-12T10:57:00,4.3621,4.3835,4.324,4.3461,250690
2026-02-12T10:58:00,4.3547,4.4015,4.3123,4.3515,262225
2026-02-12T10:59:00,4.3637,4.4272,4.3196,4.3516,199738
2026-02-12T11:00:00,4.3551,4.3701,4.3251,4.3477,474648
2026-02-12T11:01:00,4.3569,4.3893,4.3143,4.3516,418593
2026-02-12T11:02:00,4.3482,4.4091,4.2851,4.346,203522
2026-02-12T11:03:00,4.3498,4.4052,4.3173,4.3693,216032
2026-02-12T11:04:00,4.3702,4.4133,4.3495,4.3747,401432
2026-02-12T11:05:00,4.3785,4.4326,4.321,4.3579,418024
