datetime,open,high,low,close,volume
2026-02-20 08:30:00-06:00,3.84,3.8999,3.58,3.7286,2945.0
2026-02-20 08:31:00-06:00,3.6601,3.7899,3.66,3.67,484.0
2026-02-20 08:32:00-06:00,3.68,3.71,3.635,3.635,172.0
2026-02-20 08:33:00-06:00,3.6374,3.685,3.56,3.5873,676.0
2026-02-20 08:34:00-06:00,3.5891,3.61,3.5,3.52,345.0
2026-02-20 08:35:00-06:00,3.56,3.5899,3.41,3.585,746.0
2026-02-20 08:36:00-06:00,3.59,3.62,3.59,3.609,303.0
2026-02-20 08:37:00-06:00,3.61,3.74,3.6,3.73,886.0
2026-02-20 08:38:00-06:00,3.73,3.77,3.7,3.7342,2799.0
2026-02-20 08:39:00-06:00,3.73,3.7385,3.65,3.68,780.0
2026-02-20 08:40:00-06:00,3.67,3.73,3.67,3.71,405.0
2026-02-20 08:41:00-06:00,3.71,3.735,3.7031,3.72,220.0
2026-02-20 08:42:00-06:00,3.7189,3.7685,3.68,3.74,186.0
2026-02-20 08:43:00-06:00,3.735,3.81,3.735,3.78,364.0
2026-02-20 08:44:00-06:00,3.78,3.79,3.7501,3.78,258.0
2026-02-20 08:45:00-06:00,3.775,3.775,3.7,3.735,366.0
2026-02-20 08:46:00-06:00,3.73,3.7487,3.7,3.71,144.0
2026-02-20 08:47:00-06:00,3.705,3.71,3.7,3.705,78.0
2026-02-20 08:48:00-06:00,3.705,3.76,3.66,3.74,857.0
2026-02-20 08:49:00-06:00,3.734,3.74,3.715,3.73,145.0
2026-02-20 08:50:00-06:00,3.724,3.77,3.71,3.769,242.0
2026-02-20 08:51:00-06:00,3.7696,3.8,3.73,3.73,1159.0
2026-02-20 08:52:00-06:00,3.735,3.7875,3.73,3.78,155.0
2026-02-20 08:53:00-06:00,3.7831,3.8,3.7505,3.7612,149.0
2026-02-20 08:54:00-06:00,3.78,3.81,3.76,3.79,516.0
2026-02-20 08:55:00-06:00,3.7918,3.81,3.7702,3.78,542.0
2026-02-20 08:56:00-06:00,3.7899,3.79,3.75,3.76,717.0
2026-02-20 08:57:00-06:00,3.755,3.76,3.6907,3.7,743.0
2026-02-20 08:58:00-06:00,3.69,3.69,3.6,3.6337,1331.0
2026-02-20 08:59:00-06:00,3.614,3.65,3.614,3.635,106.0
2026-02-20 09:00:00-06:00,3.635,3.635,3.57,3.61,327.0
2026-02-20 09:01:00-06:00,3.6,3.68,3.6,3.68,190.0
2026-02-20 09:02:00-06:00,3.68,3.72,3.68,3.69,116.0
2026-02-20 09:03:00-06:00,3.69,3.73,3.65,3.67,136.0
2026-02-20 09:04:00-06:00,3.655,3.7,3.655,3.69,124.0
2026-02-20 09:05:00-06:00,3.69,3.71,3.6722,3.6722,636.0
2026-02-20 09:06:00-06:00,3.68,3.71,3.68,3.705,63.0
2026-02-20 09:07:00-06:00,3.71,3.74,3.705,3.735,616.0
2026-02-20 09:08:00-06:00,3.74,3.765,3.7301,3.76,73.0
2026-02-20 09:09:00-06:00,3.765,3.785,3.75,3.7601,576.0
2026-02-20 09:10:00-06:00,3.765,3.78,3.75,3.78,222.0
2026-02-20 09:11:00-06:00,3.7798,3.8,3.775,3.785,155.0
2026-02-20 09:12:00-06:00,3.785,3.785,3.765,3.77,41.0
2026-02-20 09:13:00-06:00,3.765,3.7994,3.76,3.7994,109.0
2026-02-20 09:14:00-06:00,3.795,3.805,3.79,3.805,589.0
2026-02-20 09:15:00-06:00,3.805,3.82,3.765,3.8171,670.0
2026-02-20 09:16:00-06:00,3.815,3.84,3.81,3.825,804.0
2026-02-20 09:17:00-06:00,3.8273,3.83,3.785,3.805,537.0
2026-02-20 09:18:00-06:00,3.81,3.81,3.755,3.76,1084.0
2026-02-20 09:19:00-06:00,3.755,3.765,3.725,3.73,1086.0
2026-02-20 09:20:00-06:00,3.725,3.73,3.7037,3.72,78.0
2026-02-20 09:21:00-06:00,3.73,3.79,3.73,3.78,548.0
2026-02-20 09:22:00-06:00,3.795,3.84,3.795,3.84,334.0
2026-02-20 09:23:00-06:00,3.84,3.85,3.805,3.8082,807.0
2026-02-20 09:24:00-06:00,3.81,3.845,3.81,3.84,258.0
2026-02-20 09:25:00-06:00,3.8301,3.84,3.825,3.8399,84.0
2026-02-20 09:26:00-06:00,3.84,3.9,3.8394,3.89,634.0
2026-02-20 09:27:00-06:00,3.89,3.9,3.875,3.88,338.0
2026-02-20 09:28:00-06:00,3.8712,3.88,3.8712,3.88,40.0
2026-02-20 09:29:00-06:00,3.88,3.88,3.87,3.88,111.0
2026-02-20 09:30:00-06:00,3.88,3.88,3.86,3.865,214.0
2026-02-20 09:31:00-06:00,3.87,3.88,3.86,3.875,91.0
2026-02-20 09:32:00-06:00,3.875,3.875,3.835,3.8499,345.0
2026-02-20 09:33:00-06:00,3.84,3.855,3.815,3.8389,269.0
2026-02-20 09:34:00-06:00,3.8313,3.8492,3.8313,3.835,46.0
2026-02-20 09:35:00-06:00,3.835,3.84,3.8101,3.815,237.0
2026-02-20 09:36:00-06:00,3.8186,3.825,3.81,3.825,131.0
2026-02-20 09:37:00-06:00,3.82,3.84,3.82,3.8399,145.0
2026-02-20 09:38:00-06:00,3.835,3.84,3.8337,3.835,13.0
2026-02-20 09:39:00-06:00,3.835,3.845,3.8101,3.8101,778.0
2026-02-20 09:40:00-06:00,3.8137,3.815,3.785,3.785,252.0
2026-02-20 09:41:00-06:00,3.785,3.79,3.77,3.7783,328.0
