datetime,open,high,low,close,volume
2026-02-12 08:30:00-06:00,9.365,9.53,9.25,9.445,1144.0
2026-02-12 08:31:00-06:00,9.445,9.7,9.41,9.56,602.0
2026-02-12 08:32:00-06:00,9.53,9.75,9.5,9.645,575.0
2026-02-12 08:33:00-06:00,9.6,9.6744,9.41,9.515,626.0
2026-02-12 08:34:00-06:00,9.515,9.6332,9.42,9.51,393.0
2026-02-12 08:35:00-06:00,9.51,9.62,9.37,9.37,174.0
2026-02-12 08:36:00-06:00,9.37,9.37,8.92,8.99,1402.0
2026-02-12 08:37:00-06:00,8.985,9.06,8.86,8.995,489.0
2026-02-12 08:38:00-06:00,8.995,9.05,8.93,9.015,98.0
2026-02-12 08:39:00-06:00,9.0356,9.065,8.92,9.0419,398.0
2026-02-12 08:40:00-06:00,9.065,9.15,9.0,9.105,333.0
2026-02-12 08:41:00-06:00,9.13,9.25,9.05,9.25,812.0
2026-02-12 08:42:00-06:00,9.22,9.4,9.19,9.23,316.0
2026-02-12 08:43:00-06:00,9.23,9.31,9.1928,9.2728,88.0
2026-02-12 08:44:00-06:00,9.29,9.29,9.07,9.1027,313.0
2026-02-12 08:45:00-06:00,9.1,9.24,9.0,9.2365,111.0
2026-02-12 08:46:00-06:00,9.24,9.25,9.16,9.205,158.0
2026-02-12 08:47:00-06:00,9.23,9.34,9.2,9.34,393.0
2026-02-12 08:48:00-06:00,9.295,9.43,9.295,9.385,343.0
2026-02-12 08:49:00-06:00,9.39,9.42,9.2,9.21,245.0
2026-02-12 08:50:00-06:00,9.16,9.205,9.05,9.2,173.0
2026-02-12 08:51:00-06:00,9.13,9.2299,9.1,9.1775,93.0
2026-02-12 08:52:00-06:00,9.22,9.31,9.21,9.21,61.0
2026-02-12 08:53:00-06:00,9.29,9.34,9.255,9.305,125.0
2026-02-12 08:54:00-06:00,9.34,9.34,9.28,9.32,156.0
2026-02-12 08:55:00-06:00,9.33,9.37,9.29,9.315,114.0
2026-02-12 08:56:00-06:00,9.33,9.33,9.1901,9.23,99.0
2026-02-12 08:57:00-06:00,9.2,9.25,9.19,9.24,138.0
2026-02-12 08:58:00-06:00,9.23,9.26,9.19,9.23,152.0
2026-02-12 08:59:00-06:00,9.25,9.335,9.21,9.285,139.0
2026-02-12 09:00:00-06:00,9.29,9.34,9.23,9.34,255.0
2026-02-12 09:01:00-06:00,9.35,9.45,9.34,9.37,176.0
2026-02-12 09:02:00-06:00,9.39,9.4,9.27,9.27,372.0
2026-02-12 09:03:00-06:00,9.27,9.31,9.2501,9.31,89.0
2026-02-12 09:04:00-06:00,9.29,9.31,9.21,9.21,134.0
2026-02-12 09:05:00-06:00,9.21,9.35,9.2081,9.35,84.0
2026-02-12 09:06:00-06:00,9.325,9.325,9.216,9.24,83.0
2026-02-12 09:07:00-06:00,9.235,9.2499,9.125,9.125,148.0
2026-02-12 09:08:00-06:00,9.1491,9.1491,9.01,9.0487,445.0
2026-02-12 09:09:00-06:00,9.045,9.09,9.0301,9.06,147.0
2026-02-12 09:10:00-06:00,9.06,9.0814,8.9402,9.0301,495.0
2026-02-12 09:11:00-06:00,9.05,9.07,9.03,9.035,351.0
2026-02-12 09:12:00-06:00,9.03,9.0599,9.0,9.05,78.0
2026-02-12 09:13:00-06:00,9.04,9.07,9.0,9.05,176.0
2026-02-12 09:14:00-06:00,9.03,9.05,9.002,9.04,107.0
2026-02-12 09:15:00-06:00,9.04,9.04,8.99,8.99,93.0
2026-02-12 09:16:00-06:00,8.99,9.04,8.89,8.95,278.0
2026-02-12 09:17:00-06:00,8.96,9.0,8.92,8.97,38.0
2026-02-12 09:18:00-06:00,8.965,8.99,8.95,8.95,166.0
2026-02-12 09:19:00-06:00,8.98,8.98,8.9,8.95,94.0
2026-02-12 09:20:00-06:00,8.95,9.0,8.95,8.98,29.0
2026-02-12 09:21:00-06:00,9.0,9.0,8.95,8.97,167.0
2026-02-12 09:22:00-06:00,8.97,9.0,8.9401,8.98,69.0
2026-02-12 09:23:00-06:00,9.0,9.0,8.95,8.965,51.0
2026-02-12 09:24:00-06:00,8.965,8.965,8.935,8.945,216.0
2026-02-12 09:25:00-06:00,8.96,9.0,8.9473,9.0,65.0
2026-02-12 09:26:00-06:00,9.0,9.05,9.0,9.04,67.0
2026-02-12 09:27:00-06:00,9.02,9.0463,9.01,9.025,31.0
2026-02-12 09:28:00-06:00,9.015,9.0899,9.015,9.045,56.0
2026-02-12 09:29:00-06:00,9.045,9.07,9.035,9.04,70.0
2026-02-12 09:30:00-06:00,9.04,9.05,8.93,8.98,216.0
2026-02-12 09:31:00-06:00,8.99,8.99,8.935,8.9579,37.0
2026-02-12 09:32:00-06:00,8.91,8.99,8.895,8.97,214.0
2026-02-12 09:33:00-06:00,8.97,8.97,8.9037,8.93,27.0
2026-02-12 09:34:00-06:00,8.91,9.07,8.86,9.06,312.0
2026-02-12 09:35:00-06:00,9.07,9.13,9.05,9.1077,145.0
2026-02-12 09:36:00-06:00,9.07,9.1,9.02,9.08,153.0
2026-02-12 09:37:00-06:00,9.075,9.09,9.055,9.055,53.0
2026-02-12 09:38:00-06:00,9.03,9.07,9.03,9.04,25.0
2026-02-12 09:39:00-06:00,9.03,9.14,9.025,9.13,260.0
2026-02-12 09:40:00-06:00,9.13,9.18,9.11,9.12,453.0
2026-02-12 09:41:00-06:00,9.12,9.13,9.03,9.035,141.0
2026-02-12 09:42:00-06:00,9.0425,9.1,9.035,9.1,118.0
2026-02-12 09:43:00-06:00,9.085,9.11,9.055,9.055,171.0
2026-02-12 09:44:00-06:00,9.02,9.055,8.94,8.995,72.0
2026-02-12 09:45:00-06:00,8.99,9.05,8.99,8.99,56.0
2026-02-12 09:46:00-06:00,9.0,9.04,8.9737,9.04,58.0
2026-02-12 09:47:00-06:00,9.05,9.08,9.045,9.06,23.0
2026-02-12 09:48:00-06:00,9.04,9.085,9.04,9.06,163.0
2026-02-12 09:49:00-06:00,9.06,9.07,9.01,9.02,115.0
2026-02-12 09:50:00-06:00,9.025,9.025,8.98,8.99,159.0
2026-02-12 09:51:00-06:00,9.0,9.03,8.96,8.98,306.0
2026-02-12 09:52:00-06:00,8.97,8.99,8.925,8.925,232.0
2026-02-12 09:53:00-06:00,8.925,8.97,8.9037,8.925,94.0
2026-02-12 09:54:00-06:00,8.925,8.95,8.925,8.94,18.0
2026-02-12 09:55:00-06:00,8.94,9.06,8.93,9.06,182.0
2026-02-12 09:56:00-06:00,9.07,9.13,9.07,9.075,70.0
2026-02-12 09:57:00-06:00,9.08,9.08,9.0,9.03,127.0
2026-02-12 09:58:00-06:00,9.0,9.01,8.98,8.98,16.0
2026-02-12 09:59:00-06:00,8.98,8.995,8.94,8.99,128.0
2026-02-12 10:00:00-06:00,8.98,9.01,8.97,9.01,34.0
2026-02-12 10:01:00-06:00,9.0,9.0048,8.98,8.99,28.0
2026-02-12 10:02:00-06:00,8.98,8.98,8.94,8.96,42.0
2026-02-12 10:03:00-06:00,8.97,8.97,8.95,8.955,15.0
2026-02-12 10:04:00-06:00,8.95,8.95,8.89,8.94,200.0
2026-02-12 10:05:00-06:00,8.95,8.96,8.92,8.92,48.0
2026-02-12 10:06:00-06:00,8.92,8.92,8.87,8.9,222.0
2026-02-12 10:07:00-06:00,8.8904,8.91,8.81,8.81,153.0
2026-02-12 10:08:00-06:00,8.83,8.85,8.79,8.8,218.0
2026-02-12 10:09:00-06:00,8.81,8.84,8.81,8.835,37.0
2026-02-12 10:10:00-06:00,8.82,8.84,8.79,8.8,60.0
2026-02-12 10:11:00-06:00,8.794,8.82,8.79,8.82,12.0
