datetime,open,high,low,close,volume
2026-03-03 08:30:00-06:00,6.74,6.74,6.7,6.7,5.0
2026-03-03 08:31:00-06:00,6.7,6.7,6.7,6.7,1.0
2026-03-03 08:32:00-06:00,6.83,6.83,6.83,6.83,6.0
2026-03-03 08:33:00-06:00,6.89,7.02,6.84,6.95,462.0
2026-03-03 08:34:00-06:00,7.0,7.09,6.9,7.0,79.0
2026-03-03 08:35:00-06:00,6.99,7.04,6.98,7.03,49.0
2026-03-03 08:36:00-06:00,7.03,7.04,6.74,6.89,196.0
2026-03-03 08:37:00-06:00,6.81,6.98,6.81,6.98,5.0
2026-03-03 08:38:00-06:00,6.84,6.84,6.82,6.82,9.0
2026-03-03 08:39:00-06:00,6.76,6.78,6.72,6.72,60.0
2026-03-03 08:40:00-06:00,6.73,6.79,6.67,6.7,15.0
2026-03-03 08:41:00-06:00,6.61,6.65,6.56,6.65,14.0
2026-03-03 08:42:00-06:00,6.61,6.61,6.56,6.56,5.0
2026-03-03 08:43:00-06:00,6.57,6.57,6.45,6.47,69.0
2026-03-03 08:44:00-06:00,6.53,6.53,6.42,6.42,11.0
2026-03-03 08:45:00-06:00,6.52,6.57,6.51,6.57,10.0
2026-03-03 08:46:00-06:00,6.57,6.57,6.57,6.57,0.0
2026-03-03 08:47:00-06:00,6.44,6.44,6.4,6.42,11.0
2026-03-03 08:48:00-06:00,6.42,6.46,6.42,6.42,4.0
2026-03-03 08:49:00-06:00,6.42,6.42,6.42,6.42,11.0
2026-03-03 08:50:00-06:00,6.44,6.6,6.43,6.56,105.0
2026-03-03 08:51:00-06:00,6.56,6.56,6.55,6.56,2.0
2026-03-03 08:52:00-06:00,6.57,6.57,6.55,6.55,20.0
2026-03-03 08:53:00-06:00,6.58,6.63,6.57,6.62,59.0
2026-03-03 08:54:00-06:00,6.6,6.6,6.6,6.6,1.0
2026-03-03 08:55:00-06:00,6.58,6.61,6.49,6.5,39.0
2026-03-03 08:56:00-06:00,6.55,6.55,6.5,6.55,7.0
2026-03-03 08:57:00-06:00,6.56,6.69,6.56,6.66,68.0
2026-03-03 08:58:00-06:00,6.65,6.71,6.64,6.71,38.0
2026-03-03 08:59:00-06:00,6.66,6.71,6.63,6.69,15.0
2026-03-03 09:00:00-06:00,6.79,6.79,6.69,6.7,9.0
2026-03-03 09:01:00-06:00,6.61,6.69,6.6,6.69,7.0
