datetime,open,high,low,close,volume
2026-02-27 08:30:00-06:00,8.19,8.5,8.12,8.28,1319.0
2026-02-27 08:31:00-06:00,8.21,8.5,8.18,8.3,129.0
2026-02-27 08:32:00-06:00,8.21,8.23,8.11,8.12,46.0
2026-02-27 08:33:00-06:00,8.16,8.27,8.06,8.18,108.0
2026-02-27 08:34:00-06:00,8.34,8.34,8.0,8.02,189.0
2026-02-27 08:35:00-06:00,8.02,8.06,7.93,7.96,192.0
2026-02-27 08:36:00-06:00,7.92,8.04,7.89,8.0,120.0
2026-02-27 08:37:00-06:00,7.96,8.05,7.94,8.05,74.0
2026-02-27 08:38:00-06:00,8.03,8.05,7.94,7.96,63.0
2026-02-27 08:39:00-06:00,8.01,8.01,7.96,7.99,35.0
2026-02-27 08:40:00-06:00,7.9,7.92,7.83,7.87,31.0
2026-02-27 08:41:00-06:00,7.9,7.92,7.83,7.86,123.0
2026-02-27 08:42:00-06:00,7.89,8.05,7.88,7.91,159.0
2026-02-27 08:43:00-06:00,7.91,7.99,7.89,7.93,48.0
2026-02-27 08:44:00-06:00,7.94,8.04,7.94,7.99,83.0
2026-02-27 08:45:00-06:00,8.02,8.24,8.02,8.13,184.0
2026-02-27 08:46:00-06:00,8.15,8.18,8.09,8.14,76.0
2026-02-27 08:47:00-06:00,8.13,8.13,8.04,8.05,68.0
2026-02-27 08:48:00-06:00,8.04,8.07,8.04,8.07,20.0
2026-02-27 08:49:00-06:00,8.07,8.15,8.05,8.05,62.0
2026-02-27 08:50:00-06:00,7.99,8.02,7.93,7.93,93.0
2026-02-27 08:51:00-06:00,7.93,8.01,7.93,7.96,48.0
2026-02-27 08:52:00-06:00,7.93,7.98,7.86,7.96,51.0
2026-02-27 08:53:00-06:00,7.93,7.93,7.9,7.9,17.0
2026-02-27 08:54:00-06:00,7.92,7.95,7.92,7.92,16.0
2026-02-27 08:55:00-06:00,7.93,7.93,7.91,7.91,35.0
2026-02-27 08:56:00-06:00,7.9,7.9,7.71,7.71,235.0
2026-02-27 08:57:00-06:00,7.71,7.79,7.71,7.75,22.0
2026-02-27 08:58:00-06:00,7.72,7.73,7.69,7.71,57.0
2026-02-27 08:59:00-06:00,7.72,7.73,7.69,7.71,196.0
2026-02-27 09:00:00-06:00,7.69,7.69,7.61,7.66,240.0
2026-02-27 09:01:00-06:00,7.69,7.72,7.68,7.71,40.0
2026-02-27 09:02:00-06:00,7.7,7.79,7.67,7.74,198.0
2026-02-27 09:03:00-06:00,7.74,7.77,7.7,7.76,22.0
2026-02-27 09:04:00-06:00,7.75,7.83,7.74,7.83,99.0
2026-02-27 09:05:00-06:00,7.85,7.88,7.82,7.84,12.0
2026-02-27 09:06:00-06:00,7.85,7.99,7.85,7.98,167.0
2026-02-27 09:07:00-06:00,7.98,7.99,7.89,7.89,26.0
2026-02-27 09:08:00-06:00,7.88,7.88,7.83,7.88,18.0
2026-02-27 09:09:00-06:00,7.89,7.89,7.86,7.89,14.0
2026-02-27 09:10:00-06:00,7.9,7.91,7.86,7.9,41.0
2026-02-27 09:11:00-06:00,7.9,7.96,7.89,7.95,28.0
2026-02-27 09:12:00-06:00,7.96,7.96,7.91,7.91,24.0
2026-02-27 09:13:00-06:00,7.95,7.95,7.93,7.93,15.0
2026-02-27 09:14:00-06:00,7.92,7.93,7.91,7.91,22.0
2026-02-27 09:15:00-06:00,7.91,7.92,7.82,7.85,115.0
2026-02-27 09:16:00-06:00,7.83,7.88,7.82,7.87,26.0
2026-02-27 09:17:00-06:00,7.88,7.88,7.81,7.82,17.0
2026-02-27 09:18:00-06:00,7.82,7.82,7.79,7.79,16.0
2026-02-27 09:19:00-06:00,7.78,7.78,7.74,7.77,60.0
2026-02-27 09:20:00-06:00,7.75,7.8,7.74,7.8,24.0
2026-02-27 09:21:00-06:00,7.8,7.8,7.71,7.73,100.0
2026-02-27 09:22:00-06:00,7.7,7.7,7.65,7.66,21.0
2026-02-27 09:23:00-06:00,7.65,7.67,7.65,7.67,26.0
2026-02-27 09:24:00-06:00,7.67,7.7,7.65,7.65,121.0
2026-02-27 09:25:00-06:00,7.64,7.66,7.63,7.66,17.0
2026-02-27 09:26:00-06:00,7.69,7.71,7.67,7.67,18.0
2026-02-27 09:27:00-06:00,7.7,7.71,7.7,7.71,2.0
2026-02-27 09:28:00-06:00,7.71,7.74,7.71,7.74,3.0
2026-02-27 09:29:00-06:00,7.74,7.74,7.73,7.74,2.0
2026-02-27 09:30:00-06:00,7.73,7.73,7.7,7.72,16.0
2026-02-27 09:31:00-06:00,7.73,7.73,7.73,7.73,2.0
2026-02-27 09:32:00-06:00,7.74,7.74,7.72,7.73,9.0
2026-02-27 09:33:00-06:00,7.73,7.8,7.73,7.8,39.0
2026-02-27 09:34:00-06:00,7.77,7.77,7.77,7.77,12.0
2026-02-27 09:35:00-06:00,7.79,7.8,7.79,7.8,4.0
2026-02-27 09:36:00-06:00,7.8,7.84,7.8,7.84,5.0
2026-02-27 09:37:00-06:00,7.84,7.84,7.82,7.82,13.0
2026-02-27 09:38:00-06:00,7.8,7.82,7.79,7.82,14.0
2026-02-27 09:39:00-06:00,7.83,7.84,7.83,7.84,6.0
2026-02-27 09:40:00-06:00,7.84,7.85,7.81,7.83,29.0
2026-02-27 09:41:00-06:00,7.83,7.83,7.83,7.83,0.0
2026-02-27 09:42:00-06:00,7.83,7.86,7.83,7.86,11.0
2026-02-27 09:43:00-06:00,7.87,7.9,7.86,7.9,102.0
2026-02-27 09:44:00-06:00,7.88,7.88,7.87,7.88,7.0
2026-02-27 09:45:00-06:00,7.87,7.89,7.87,7.89,30.0
2026-02-27 09:46:00-06:00,7.89,7.89,7.89,7.89,3.0
2026-02-27 09:47:00-06:00,7.88,7.88,7.87,7.87,22.0
2026-02-27 09:48:00-06:00,7.86,7.87,7.83,7.84,42.0
2026-02-27 09:49:00-06:00,7.83,7.83,7.82,7.82,4.0
2026-02-27 09:50:00-06:00,7.8,7.8,7.79,7.79,6.0
2026-02-27 09:51:00-06:00,7.79,7.79,7.78,7.79,5.0
2026-02-27 09:52:00-06:00,7.78,7.78,7.74,7.76,20.0
2026-02-27 09:53:00-06:00,7.73,7.73,7.73,7.73,1.0
2026-02-27 09:54:00-06:00,7.73,7.73,7.69,7.69,35.0
2026-02-27 09:55:00-06:00,7.68,7.72,7.68,7.72,75.0
2026-02-27 09:56:00-06:00,7.72,7.74,7.72,7.74,33.0
2026-02-27 09:57:00-06:00,7.73,7.76,7.73,7.76,5.0
2026-02-27 09:58:00-06:00,7.76,7.76,7.76,7.76,0.0
2026-02-27 09:59:00-06:00,7.78,7.78,7.75,7.75,10.0
2026-02-27 10:00:00-06:00,7.79,7.89,7.79,7.89,47.0
2026-02-27 10:01:00-06:00,7.89,7.89,7.88,7.89,6.0
2026-02-27 10:02:00-06:00,7.89,7.9,7.89,7.9,9.0
2026-02-27 10:03:00-06:00,7.89,7.89,7.86,7.87,15.0
2026-02-27 10:04:00-06:00,7.86,7.88,7.85,7.88,28.0
2026-02-27 10:05:00-06:00,7.87,7.87,7.86,7.86,4.0
2026-02-27 10:06:00-06:00,7.86,7.86,7.84,7.84,12.0
2026-02-27 10:07:00-06:00,7.84,7.84,7.83,7.83,11.0
2026-02-27 10:08:00-06:00,7.82,7.82,7.81,7.82,14.0
2026-02-27 10:09:00-06:00,7.8,7.8,7.79,7.8,9.0
2026-02-27 10:10:00-06:00,7.8,7.8,7.78,7.8,18.0
2026-02-27 10:11:00-06:00,7.8,7.8,7.76,7.77,10.0
2026-02-27 10:12:00-06:00,7.76,7.8,7.76,7.79,25.0
2026-02-27 10:13:00-06:00,7.8,7.81,7.8,7.81,5.0
2026-02-27 10:14:00-06:00,7.81,7.81,7.8,7.81,33.0
2026-02-27 10:15:00-06:00,7.81,7.81,7.81,7.81,0.0
2026-02-27 10:16:00-06:00,7.81,7.84,7.81,7.83,43.0
2026-02-27 10:17:00-06:00,7.84,7.85,7.84,7.85,24.0
2026-02-27 10:18:00-06:00,7.85,7.87,7.85,7.87,22.0
2026-02-27 10:19:00-06:00,7.87,7.87,7.86,7.86,239.0
2026-02-27 10:20:00-06:00,7.87,7.87,7.84,7.84,16.0
2026-02-27 10:21:00-06:00,7.83,7.84,7.83,7.84,5.0
2026-02-27 10:22:00-06:00,7.84,7.84,7.84,7.84,2.0
2026-02-27 10:23:00-06:00,7.85,7.86,7.85,7.86,25.0
2026-02-27 10:24:00-06:00,7.86,7.87,7.86,7.87,20.0
2026-02-27 10:25:00-06:00,7.9,7.91,7.9,7.91,5.0
2026-02-27 10:26:00-06:00,7.92,7.92,7.91,7.91,3.0
2026-02-27 10:27:00-06:00,7.91,7.91,7.9,7.9,6.0
2026-02-27 10:28:00-06:00,7.91,7.91,7.9,7.91,6.0
2026-02-27 10:29:00-06:00,7.92,7.95,7.92,7.92,34.0
2026-02-27 10:30:00-06:00,7.94,7.94,7.91,7.91,33.0
2026-02-27 10:31:00-06:00,7.93,7.98,7.92,7.92,63.0
2026-02-27 10:32:00-06:00,7.92,7.92,7.92,7.92,0.0
2026-02-27 10:33:00-06:00,7.95,7.95,7.93,7.93,13.0
2026-02-27 10:34:00-06:00,7.93,7.93,7.93,7.93,0.0
2026-02-27 10:35:00-06:00,7.93,7.93,7.92,7.93,5.0
2026-02-27 10:36:00-06:00,7.93,7.93,7.92,7.93,1.0
2026-02-27 10:37:00-06:00,7.91,7.93,7.9,7.93,31.0
2026-02-27 10:38:00-06:00,7.93,7.93,7.93,7.93,8.0
2026-02-27 10:39:00-06:00,7.93,7.93,7.93,7.93,0.0
2026-02-27 10:40:00-06:00,7.91,7.92,7.91,7.92,6.0
2026-02-27 10:41:00-06:00,7.92,7.92,7.92,7.92,5.0
2026-02-27 10:42:00-06:00,7.91,7.91,7.9,7.9,14.0
2026-02-27 10:43:00-06:00,7.9,7.9,7.88,7.89,5.0
2026-02-27 10:44:00-06:00,7.88,7.88,7.86,7.86,13.0
2026-02-27 10:45:00-06:00,7.86,7.87,7.86,7.87,35.0
2026-02-27 10:46:00-06:00,7.86,7.86,7.86,7.86,1.0
2026-02-27 10:47:00-06:00,7.86,7.86,7.85,7.86,1.0
2026-02-27 10:48:00-06:00,7.85,7.85,7.85,7.85,2.0
2026-02-27 10:49:00-06:00,7.83,7.84,7.83,7.83,2.0
2026-02-27 10:50:00-06:00,7.83,7.84,7.82,7.82,4.0
2026-02-27 10:51:00-06:00,7.83,7.84,7.82,7.83,32.0
2026-02-27 10:52:00-06:00,7.83,7.83,7.79,7.82,53.0
2026-02-27 10:53:00-06:00,7.79,7.79,7.78,7.79,5.0
2026-02-27 10:54:00-06:00,7.79,7.79,7.79,7.79,0.0
2026-02-27 10:55:00-06:00,7.8,7.81,7.8,7.81,5.0
2026-02-27 10:56:00-06:00,7.82,7.83,7.81,7.81,33.0
2026-02-27 10:57:00-06:00,7.81,7.81,7.79,7.79,4.0
2026-02-27 10:58:00-06:00,7.79,7.79,7.79,7.79,11.0
2026-02-27 10:59:00-06:00,7.79,7.79,7.79,7.79,4.0
2026-02-27 11:00:00-06:00,7.81,7.81,7.8,7.81,15.0
2026-02-27 11:01:00-06:00,7.82,7.84,7.82,7.83,10.0
2026-02-27 11:02:00-06:00,7.83,7.83,7.83,7.83,0.0
2026-02-27 11:03:00-06:00,7.85,7.88,7.85,7.88,8.0
2026-02-27 11:04:00-06:00,7.88,7.88,7.88,7.88,1.0
2026-02-27 11:05:00-06:00,7.89,7.92,7.88,7.92,10.0
2026-02-27 11:06:00-06:00,7.93,7.93,7.91,7.91,9.0
2026-02-27 11:07:00-06:00,7.91,7.94,7.91,7.94,28.0
2026-02-27 11:08:00-06:00,7.93,7.94,7.91,7.93,37.0
2026-02-27 11:09:00-06:00,7.92,7.94,7.92,7.94,6.0
2026-02-27 11:10:00-06:00,7.93,7.94,7.93,7.93,4.0
2026-02-27 11:11:00-06:00,7.93,7.93,7.92,7.92,3.0
2026-02-27 11:12:00-06:00,7.91,7.92,7.89,7.92,19.0
2026-02-27 11:13:00-06:00,7.92,7.92,7.91,7.91,4.0
2026-02-27 11:14:00-06:00,7.92,7.92,7.91,7.92,3.0
2026-02-27 11:15:00-06:00,7.92,7.92,7.92,7.92,0.0
2026-02-27 11:16:00-06:00,7.92,7.92,7.92,7.92,1.0
2026-02-27 11:17:00-06:00,7.92,7.92,7.9,7.92,27.0
2026-02-27 11:18:00-06:00,7.94,7.94,7.93,7.94,1.0
2026-02-27 11:19:00-06:00,7.94,7.94,7.94,7.94,1.0
2026-02-27 11:20:00-06:00,7.94,7.94,7.91,7.91,18.0
2026-02-27 11:21:00-06:00,7.93,7.93,7.93,7.93,1.0
2026-02-27 11:22:00-06:00,7.92,7.93,7.92,7.92,5.0
2026-02-27 11:23:00-06:00,7.93,7.97,7.93,7.97,28.0
2026-02-27 11:24:00-06:00,7.98,7.98,7.94,7.97,79.0
2026-02-27 11:25:00-06:00,7.98,7.98,7.98,7.98,1.0
2026-02-27 11:26:00-06:00,7.97,8.01,7.97,8.01,36.0
2026-02-27 11:27:00-06:00,8.01,8.01,8.01,8.01,8.0
2026-02-27 11:28:00-06:00,8.01,8.03,8.0,8.02,89.0
2026-02-27 11:29:00-06:00,8.01,8.01,8.01,8.01,6.0
2026-02-27 11:30:00-06:00,8.02,8.03,8.01,8.03,25.0
2026-02-27 11:31:00-06:00,8.03,8.03,8.0,8.0,8.0
2026-02-27 11:32:00-06:00,8.0,8.0,8.0,8.0,3.0
2026-02-27 11:33:00-06:00,8.0,8.0,8.0,8.0,3.0
2026-02-27 11:34:00-06:00,8.01,8.02,8.0,8.02,11.0
2026-02-27 11:35:00-06:00,8.02,8.04,8.02,8.04,12.0
2026-02-27 11:36:00-06:00,8.02,8.03,8.02,8.02,2.0
2026-02-27 11:37:00-06:00,8.03,8.04,8.02,8.04,52.0
2026-02-27 11:38:00-06:00,8.04,8.04,8.04,8.04,0.0
2026-02-27 11:39:00-06:00,8.04,8.05,8.04,8.04,18.0
2026-02-27 11:40:00-06:00,8.04,8.04,8.04,8.04,0.0
2026-02-27 11:41:00-06:00,8.03,8.03,8.02,8.03,9.0
2026-02-27 11:42:00-06:00,8.02,8.02,8.0,8.01,4.0
2026-02-27 11:43:00-06:00,7.99,7.99,7.97,7.99,18.0
2026-02-27 11:44:00-06:00,7.99,7.99,7.99,7.99,41.0
2026-02-27 11:45:00-06:00,7.99,7.99,7.98,7.98,10.0
2026-02-27 11:46:00-06:00,7.97,7.99,7.97,7.99,19.0
2026-02-27 11:47:00-06:00,7.98,7.98,7.97,7.98,4.0
2026-02-27 11:48:00-06:00,7.98,7.98,7.98,7.98,0.0
2026-02-27 11:49:00-06:00,7.98,7.98,7.97,7.98,1.0
2026-02-27 11:50:00-06:00,7.97,7.97,7.96,7.96,2.0
2026-02-27 11:51:00-06:00,7.95,7.95,7.92,7.92,15.0
2026-02-27 11:52:00-06:00,7.93,7.97,7.93,7.97,29.0
2026-02-27 11:53:00-06:00,7.98,7.99,7.97,7.97,9.0
2026-02-27 11:54:00-06:00,7.97,7.97,7.97,7.97,0.0
2026-02-27 11:55:00-06:00,7.97,7.97,7.97,7.97,0.0
2026-02-27 11:56:00-06:00,7.97,7.97,7.97,7.97,0.0
2026-02-27 11:57:00-06:00,7.97,7.97,7.96,7.96,4.0
2026-02-27 11:58:00-06:00,7.96,7.96,7.96,7.96,0.0
2026-02-27 11:59:00-06:00,7.96,7.96,7.96,7.96,0.0
2026-02-27 12:00:00-06:00,7.97,7.97,7.96,7.97,1.0
2026-02-27 12:01:00-06:00,7.96,7.96,7.96,7.96,4.0
2026-02-27 12:02:00-06:00,7.96,7.96,7.96,7.96,0.0
2026-02-27 12:03:00-06:00,7.97,7.98,7.96,7.98,25.0
2026-02-27 12:04:00-06:00,7.98,7.98,7.98,7.98,0.0
2026-02-27 12:05:00-06:00,7.97,7.97,7.97,7.97,5.0
2026-02-27 12:06:00-06:00,7.97,7.97,7.97,7.97,1.0
2026-02-27 12:07:00-06:00,7.98,7.98,7.98,7.98,3.0
2026-02-27 12:08:00-06:00,7.99,7.99,7.98,7.98,13.0
2026-02-27 12:09:00-06:00,7.98,7.98,7.98,7.98,0.0
2026-02-27 12:10:00-06:00,7.98,7.98,7.98,7.98,0.0
2026-02-27 12:11:00-06:00,7.97,7.98,7.97,7.98,27.0
2026-02-27 12:12:00-06:00,7.98,7.98,7.98,7.98,3.0
2026-02-27 12:13:00-06:00,7.97,7.98,7.96,7.96,33.0
2026-02-27 12:14:00-06:00,7.96,7.96,7.96,7.96,0.0
2026-02-27 12:15:00-06:00,7.95,7.95,7.94,7.95,8.0
2026-02-27 12:16:00-06:00,7.95,7.95,7.95,7.95,0.0
2026-02-27 12:17:00-06:00,7.95,7.96,7.95,7.95,13.0
2026-02-27 12:18:00-06:00,7.96,7.96,7.95,7.96,2.0
2026-02-27 12:19:00-06:00,7.96,7.96,7.96,7.96,0.0
2026-02-27 12:20:00-06:00,7.96,8.0,7.95,7.97,155.0
2026-02-27 12:21:00-06:00,7.97,7.98,7.97,7.97,6.0
2026-02-27 12:22:00-06:00,7.97,7.97,7.97,7.97,0.0
2026-02-27 12:23:00-06:00,7.97,7.97,7.97,7.97,9.0
2026-02-27 12:24:00-06:00,7.97,7.97,7.96,7.96,2.0
2026-02-27 12:25:00-06:00,7.96,7.96,7.9,7.93,125.0
2026-02-27 12:26:00-06:00,7.93,7.93,7.92,7.93,1.0
2026-02-27 12:27:00-06:00,7.92,7.93,7.92,7.92,36.0
2026-02-27 12:28:00-06:00,7.92,7.92,7.92,7.92,22.0
2026-02-27 12:29:00-06:00,7.93,7.93,7.93,7.93,8.0
2026-02-27 12:30:00-06:00,7.93,7.93,7.93,7.93,0.0
2026-02-27 12:31:00-06:00,7.94,7.94,7.94,7.94,11.0
2026-02-27 12:32:00-06:00,7.94,7.94,7.93,7.93,4.0
2026-02-27 12:33:00-06:00,7.93,7.94,7.93,7.93,12.0
2026-02-27 12:34:00-06:00,7.92,7.92,7.9,7.9,13.0
2026-02-27 12:35:00-06:00,7.9,7.9,7.88,7.88,10.0
2026-02-27 12:36:00-06:00,7.88,7.9,7.88,7.9,15.0
2026-02-27 12:37:00-06:00,7.89,7.89,7.88,7.89,15.0
2026-02-27 12:38:00-06:00,7.89,7.9,7.89,7.9,4.0
2026-02-27 12:39:00-06:00,7.9,7.9,7.89,7.9,16.0
2026-02-27 12:40:00-06:00,7.9,7.9,7.89,7.9,3.0
2026-02-27 12:41:00-06:00,7.9,7.9,7.89,7.9,2.0
2026-02-27 12:42:00-06:00,7.9,7.9,7.89,7.9,1.0
2026-02-27 12:43:00-06:00,7.9,7.9,7.9,7.9,0.0
2026-02-27 12:44:00-06:00,7.9,7.91,7.9,7.91,26.0
2026-02-27 12:45:00-06:00,7.91,7.91,7.9,7.9,10.0
2026-02-27 12:46:00-06:00,7.9,7.9,7.9,7.9,0.0
2026-02-27 12:47:00-06:00,7.9,7.9,7.9,7.9,0.0
2026-02-27 12:48:00-06:00,7.9,7.91,7.89,7.89,34.0
2026-02-27 12:49:00-06:00,7.89,7.89,7.88,7.89,1.0
2026-02-27 12:50:00-06:00,7.88,7.89,7.85,7.89,78.0
2026-02-27 12:51:00-06:00,7.89,7.89,7.87,7.87,12.0
