datetime,open,high,low,close,volume
2026-02-09 08:30:00-06:00,9.41,9.47,9.22,9.24,10710.0
2026-02-09 08:31:00-06:00,9.24,9.37,9.12,9.22,2375.0
2026-02-09 08:32:00-06:00,9.23,9.24,9.01,9.08,2606.0
2026-02-09 08:33:00-06:00,9.1,9.18,9.02,9.12,2984.0
2026-02-09 08:34:00-06:00,9.12,9.2,9.11,9.2,3090.0
2026-02-09 08:35:00-06:00,9.2,9.2,9.07,9.09,2832.0
2026-02-09 08:36:00-06:00,9.08,9.14,9.05,9.13,1301.0
2026-02-09 08:37:00-06:00,9.14,9.23,9.13,9.2,1112.0
2026-02-09 08:38:00-06:00,9.19,9.27,9.18,9.26,1749.0
2026-02-09 08:39:00-06:00,9.24,9.28,9.22,9.23,1164.0
2026-02-09 08:40:00-06:00,9.23,9.28,9.19,9.21,1834.0
2026-02-09 08:41:00-06:00,9.22,9.22,9.18,9.2,523.0
2026-02-09 08:42:00-06:00,9.19,9.26,9.18,9.25,1840.0
2026-02-09 08:43:00-06:00,9.25,9.25,9.19,9.21,900.0
2026-02-09 08:44:00-06:00,9.21,9.22,9.2,9.21,489.0
2026-02-09 08:45:00-06:00,9.21,9.23,9.09,9.11,1774.0
2026-02-09 08:46:00-06:00,9.11,9.13,9.1,9.13,778.0
2026-02-09 08:47:00-06:00,9.12,9.14,9.06,9.1,1267.0
2026-02-09 08:48:00-06:00,9.09,9.1,9.07,9.08,1637.0
2026-02-09 08:49:00-06:00,9.08,9.09,9.01,9.03,1142.0
2026-02-09 08:50:00-06:00,9.03,9.03,8.95,8.96,3267.0
2026-02-09 08:51:00-06:00,8.96,8.97,8.94,8.94,1293.0
2026-02-09 08:52:00-06:00,8.94,8.96,8.94,8.95,924.0
2026-02-09 08:53:00-06:00,8.96,9.02,8.95,8.96,829.0
2026-02-09 08:54:00-06:00,8.97,8.99,8.95,8.99,440.0
2026-02-09 08:55:00-06:00,8.99,9.04,8.98,9.02,950.0
2026-02-09 08:56:00-06:00,9.02,9.06,9.01,9.05,548.0
2026-02-09 08:57:00-06:00,9.05,9.08,9.05,9.07,1264.0
2026-02-09 08:58:00-06:00,9.07,9.08,9.03,9.04,1612.0
2026-02-09 08:59:00-06:00,9.04,9.08,9.01,9.08,548.0
2026-02-09 09:00:00-06:00,9.08,9.11,9.02,9.04,1161.0
2026-02-09 09:01:00-06:00,9.04,9.09,9.03,9.07,473.0
2026-02-09 09:02:00-06:00,9.07,9.08,9.02,9.07,484.0
2026-02-09 09:03:00-06:00,9.07,9.12,9.06,9.12,1187.0
2026-02-09 09:04:00-06:00,9.12,9.14,9.11,9.13,1367.0
2026-02-09 09:05:00-06:00,9.13,9.16,9.12,9.15,573.0
2026-02-09 09:06:00-06:00,9.15,9.16,9.1,9.12,583.0
2026-02-09 09:07:00-06:00,9.12,9.17,9.12,9.17,415.0
2026-02-09 09:08:00-06:00,9.17,9.18,9.13,9.13,883.0
2026-02-09 09:09:00-06:00,9.13,9.14,9.09,9.13,675.0
2026-02-09 09:10:00-06:00,9.13,9.17,9.13,9.16,694.0
2026-02-09 09:11:00-06:00,9.17,9.18,9.13,9.14,470.0
2026-02-09 09:12:00-06:00,9.14,9.15,9.13,9.14,580.0
2026-02-09 09:13:00-06:00,9.14,9.22,9.14,9.22,1633.0
2026-02-09 09:14:00-06:00,9.22,9.26,9.2,9.21,1383.0
2026-02-09 09:15:00-06:00,9.21,9.25,9.21,9.25,514.0
2026-02-09 09:16:00-06:00,9.26,9.3,9.25,9.29,1021.0
2026-02-09 09:17:00-06:00,9.29,9.31,9.28,9.29,1990.0
2026-02-09 09:18:00-06:00,9.29,9.34,9.28,9.31,1228.0
2026-02-09 09:19:00-06:00,9.3,9.34,9.3,9.34,1428.0
2026-02-09 09:20:00-06:00,9.34,9.42,9.33,9.41,1265.0
2026-02-09 09:21:00-06:00,9.41,9.42,9.35,9.38,931.0
2026-02-09 09:22:00-06:00,9.38,9.38,9.35,9.38,1145.0
2026-02-09 09:23:00-06:00,9.38,9.41,9.37,9.41,631.0
2026-02-09 09:24:00-06:00,9.4,9.42,9.37,9.4,1402.0
2026-02-09 09:25:00-06:00,9.39,9.41,9.37,9.37,437.0
2026-02-09 09:26:00-06:00,9.38,9.38,9.33,9.36,1187.0
2026-02-09 09:27:00-06:00,9.36,9.37,9.35,9.37,975.0
2026-02-09 09:28:00-06:00,9.37,9.37,9.35,9.36,571.0
2026-02-09 09:29:00-06:00,9.35,9.37,9.33,9.34,679.0
2026-02-09 09:30:00-06:00,9.34,9.37,9.28,9.34,1082.0
2026-02-09 09:31:00-06:00,9.34,9.35,9.3,9.32,680.0
2026-02-09 09:32:00-06:00,9.33,9.35,9.31,9.35,1265.0
2026-02-09 09:33:00-06:00,9.35,9.37,9.31,9.32,596.0
2026-02-09 09:34:00-06:00,9.31,9.32,9.3,9.32,549.0
2026-02-09 09:35:00-06:00,9.32,9.32,9.31,9.32,303.0
2026-02-09 09:36:00-06:00,9.32,9.36,9.31,9.35,683.0
2026-02-09 09:37:00-06:00,9.35,9.36,9.32,9.36,397.0
2026-02-09 09:38:00-06:00,9.36,9.39,9.35,9.37,521.0
2026-02-09 09:39:00-06:00,9.38,9.38,9.34,9.36,378.0
2026-02-09 09:40:00-06:00,9.35,9.39,9.35,9.38,431.0
2026-02-09 09:41:00-06:00,9.38,9.39,9.36,9.37,320.0
2026-02-09 09:42:00-06:00,9.37,9.39,9.36,9.37,409.0
2026-02-09 09:43:00-06:00,9.37,9.37,9.36,9.37,177.0
2026-02-09 09:44:00-06:00,9.37,9.38,9.36,9.38,351.0
2026-02-09 09:45:00-06:00,9.38,9.4,9.37,9.39,642.0
2026-02-09 09:46:00-06:00,9.4,9.4,9.36,9.37,850.0
2026-02-09 09:47:00-06:00,9.37,9.43,9.36,9.42,2025.0
2026-02-09 09:48:00-06:00,9.43,9.43,9.39,9.41,462.0
2026-02-09 09:49:00-06:00,9.4,9.44,9.4,9.44,718.0
2026-02-09 09:50:00-06:00,9.44,9.44,9.33,9.34,1761.0
2026-02-09 09:51:00-06:00,9.33,9.34,9.3,9.33,1427.0
2026-02-09 09:52:00-06:00,9.33,9.33,9.32,9.33,142.0
2026-02-09 09:53:00-06:00,9.33,9.34,9.27,9.28,1270.0
2026-02-09 09:54:00-06:00,9.28,9.28,9.23,9.24,728.0
2026-02-09 09:55:00-06:00,9.24,9.29,9.23,9.28,876.0
2026-02-09 09:56:00-06:00,9.29,9.3,9.26,9.27,714.0
2026-02-09 09:57:00-06:00,9.27,9.29,9.26,9.29,583.0
2026-02-09 09:58:00-06:00,9.28,9.28,9.23,9.24,792.0
2026-02-09 09:59:00-06:00,9.23,9.25,9.23,9.25,315.0
2026-02-09 10:00:00-06:00,9.25,9.25,9.22,9.22,335.0
2026-02-09 10:01:00-06:00,9.22,9.23,9.17,9.18,896.0
2026-02-09 10:02:00-06:00,9.17,9.22,9.17,9.21,631.0
2026-02-09 10:03:00-06:00,9.21,9.22,9.18,9.19,213.0
2026-02-09 10:04:00-06:00,9.19,9.22,9.19,9.21,447.0
2026-02-09 10:05:00-06:00,9.22,9.22,9.17,9.18,200.0
2026-02-09 10:06:00-06:00,9.18,9.18,9.14,9.14,337.0
2026-02-09 10:07:00-06:00,9.14,9.16,9.14,9.16,300.0
2026-02-09 10:08:00-06:00,9.16,9.16,9.14,9.15,180.0
2026-02-09 10:09:00-06:00,9.14,9.15,9.14,9.14,236.0
2026-02-09 10:10:00-06:00,9.15,9.16,9.13,9.13,375.0
2026-02-09 10:11:00-06:00,9.14,9.23,9.13,9.22,696.0
2026-02-09 10:12:00-06:00,9.22,9.24,9.22,9.24,995.0
2026-02-09 10:13:00-06:00,9.24,9.24,9.22,9.22,103.0
2026-02-09 10:14:00-06:00,9.23,9.28,9.23,9.26,530.0
2026-02-09 10:15:00-06:00,9.26,9.26,9.22,9.22,187.0
2026-02-09 10:16:00-06:00,9.23,9.24,9.22,9.22,286.0
2026-02-09 10:17:00-06:00,9.22,9.23,9.22,9.22,116.0
2026-02-09 10:18:00-06:00,9.22,9.24,9.21,9.21,222.0
2026-02-09 10:19:00-06:00,9.21,9.22,9.21,9.22,173.0
2026-02-09 10:20:00-06:00,9.21,9.22,9.21,9.22,190.0
2026-02-09 10:21:00-06:00,9.21,9.22,9.21,9.22,88.0
2026-02-09 10:22:00-06:00,9.21,9.23,9.19,9.2,1549.0
2026-02-09 10:23:00-06:00,9.2,9.2,9.18,9.2,222.0
2026-02-09 10:24:00-06:00,9.2,9.2,9.19,9.2,149.0
2026-02-09 10:25:00-06:00,9.2,9.2,9.18,9.19,68.0
2026-02-09 10:26:00-06:00,9.18,9.2,9.18,9.2,207.0
2026-02-09 10:27:00-06:00,9.19,9.22,9.19,9.21,416.0
2026-02-09 10:28:00-06:00,9.21,9.22,9.21,9.21,170.0
2026-02-09 10:29:00-06:00,9.21,9.23,9.2,9.21,659.0
2026-02-09 10:30:00-06:00,9.21,9.24,9.21,9.22,417.0
2026-02-09 10:31:00-06:00,9.22,9.24,9.22,9.24,342.0
2026-02-09 10:32:00-06:00,9.24,9.24,9.18,9.2,1157.0
2026-02-09 10:33:00-06:00,9.2,9.2,9.19,9.2,80.0
2026-02-09 10:34:00-06:00,9.2,9.2,9.17,9.18,142.0
2026-02-09 10:35:00-06:00,9.18,9.18,9.15,9.16,242.0
2026-02-09 10:36:00-06:00,9.16,9.16,9.15,9.16,169.0
2026-02-09 10:37:00-06:00,9.16,9.16,9.15,9.16,109.0
2026-02-09 10:38:00-06:00,9.16,9.16,9.14,9.14,162.0
2026-02-09 10:39:00-06:00,9.14,9.15,9.11,9.13,956.0
2026-02-09 10:40:00-06:00,9.13,9.15,9.13,9.14,447.0
2026-02-09 10:41:00-06:00,9.14,9.15,9.14,9.14,117.0
2026-02-09 10:42:00-06:00,9.15,9.15,9.11,9.13,384.0
2026-02-09 10:43:00-06:00,9.13,9.16,9.12,9.14,345.0
2026-02-09 10:44:00-06:00,9.15,9.15,9.14,9.14,205.0
2026-02-09 10:45:00-06:00,9.14,9.17,9.14,9.16,330.0
2026-02-09 10:46:00-06:00,9.17,9.17,9.16,9.17,113.0
2026-02-09 10:47:00-06:00,9.17,9.18,9.16,9.18,311.0
2026-02-09 10:48:00-06:00,9.18,9.19,9.17,9.18,281.0
2026-02-09 10:49:00-06:00,9.19,9.2,9.17,9.18,1136.0
2026-02-09 10:50:00-06:00,9.18,9.18,9.17,9.18,305.0
2026-02-09 10:51:00-06:00,9.18,9.18,9.17,9.18,149.0
2026-02-09 10:52:00-06:00,9.18,9.2,9.17,9.2,350.0
2026-02-09 10:53:00-06:00,9.2,9.2,9.19,9.2,177.0
2026-02-09 10:54:00-06:00,9.19,9.2,9.18,9.19,221.0
2026-02-09 10:55:00-06:00,9.19,9.19,9.18,9.19,53.0
2026-02-09 10:56:00-06:00,9.19,9.19,9.18,9.19,139.0
2026-02-09 10:57:00-06:00,9.19,9.19,9.18,9.18,58.0
2026-02-09 10:58:00-06:00,9.19,9.19,9.17,9.18,183.0
2026-02-09 10:59:00-06:00,9.18,9.19,9.17,9.18,278.0
2026-02-09 11:00:00-06:00,9.18,9.22,9.17,9.21,419.0
2026-02-09 11:01:00-06:00,9.21,9.23,9.2,9.22,190.0
2026-02-09 11:02:00-06:00,9.23,9.25,9.23,9.24,97.0
2026-02-09 11:03:00-06:00,9.24,9.24,9.22,9.22,219.0
2026-02-09 11:04:00-06:00,9.22,9.24,9.22,9.23,224.0
2026-02-09 11:05:00-06:00,9.24,9.24,9.22,9.22,133.0
2026-02-09 11:06:00-06:00,9.23,9.23,9.22,9.23,438.0
2026-02-09 11:07:00-06:00,9.22,9.23,9.17,9.18,512.0
2026-02-09 11:08:00-06:00,9.18,9.18,9.17,9.17,123.0
2026-02-09 11:09:00-06:00,9.17,9.18,9.16,9.18,239.0
2026-02-09 11:10:00-06:00,9.17,9.18,9.14,9.16,345.0
2026-02-09 11:11:00-06:00,9.16,9.17,9.09,9.1,1002.0
2026-02-09 11:12:00-06:00,9.1,9.13,9.09,9.13,285.0
2026-02-09 11:13:00-06:00,9.13,9.13,9.07,9.08,239.0
2026-02-09 11:14:00-06:00,9.08,9.09,9.05,9.07,494.0
2026-02-09 11:15:00-06:00,9.07,9.1,9.07,9.1,197.0
2026-02-09 11:16:00-06:00,9.1,9.1,9.07,9.08,172.0
2026-02-09 11:17:00-06:00,9.08,9.08,9.07,9.08,183.0
2026-02-09 11:18:00-06:00,9.07,9.08,9.06,9.08,193.0
2026-02-09 11:19:00-06:00,9.07,9.08,9.07,9.08,227.0
2026-02-09 11:20:00-06:00,9.08,9.08,9.07,9.07,70.0
2026-02-09 11:21:00-06:00,9.08,9.08,9.07,9.07,152.0
2026-02-09 11:22:00-06:00,9.08,9.08,9.07,9.08,96.0
2026-02-09 11:23:00-06:00,9.08,9.08,9.07,9.07,75.0
2026-02-09 11:24:00-06:00,9.07,9.08,9.07,9.08,429.0
2026-02-09 11:25:00-06:00,9.08,9.08,9.05,9.05,226.0
2026-02-09 11:26:00-06:00,9.05,9.06,9.04,9.04,314.0
2026-02-09 11:27:00-06:00,9.04,9.06,9.03,9.04,322.0
2026-02-09 11:28:00-06:00,9.04,9.05,9.03,9.04,214.0
2026-02-09 11:29:00-06:00,9.04,9.04,9.02,9.03,209.0
2026-02-09 11:30:00-06:00,9.03,9.04,9.02,9.03,361.0
2026-02-09 11:31:00-06:00,9.03,9.03,9.02,9.03,127.0
2026-02-09 11:32:00-06:00,9.03,9.04,9.02,9.04,239.0
2026-02-09 11:33:00-06:00,9.03,9.03,9.01,9.03,561.0
2026-02-09 11:34:00-06:00,9.03,9.03,9.01,9.02,221.0
2026-02-09 11:35:00-06:00,9.02,9.03,9.01,9.03,278.0
2026-02-09 11:36:00-06:00,9.03,9.04,9.02,9.03,202.0
2026-02-09 11:37:00-06:00,9.03,9.04,9.02,9.04,114.0
2026-02-09 11:38:00-06:00,9.04,9.04,9.02,9.03,149.0
2026-02-09 11:39:00-06:00,9.03,9.03,9.01,9.02,180.0
2026-02-09 11:40:00-06:00,9.02,9.04,9.02,9.04,707.0
2026-02-09 11:41:00-06:00,9.04,9.04,9.02,9.03,74.0
2026-02-09 11:42:00-06:00,9.03,9.03,9.02,9.03,119.0
2026-02-09 11:43:00-06:00,9.03,9.03,9.01,9.02,228.0
2026-02-09 11:44:00-06:00,9.01,9.02,9.01,9.02,175.0
2026-02-09 11:45:00-06:00,9.01,9.02,9.01,9.02,278.0
2026-02-09 11:46:00-06:00,9.01,9.02,9.0,9.01,914.0
2026-02-09 11:47:00-06:00,9.0,9.01,8.98,9.0,1823.0
2026-02-09 11:48:00-06:00,9.0,9.01,8.99,9.0,190.0
2026-02-09 11:49:00-06:00,9.0,9.02,8.99,9.01,348.0
2026-02-09 11:50:00-06:00,9.01,9.01,9.0,9.01,186.0
2026-02-09 11:51:00-06:00,9.01,9.01,9.0,9.01,192.0
2026-02-09 11:52:00-06:00,9.01,9.02,9.0,9.01,310.0
2026-02-09 11:53:00-06:00,9.01,9.03,9.0,9.03,232.0
2026-02-09 11:54:00-06:00,9.02,9.03,9.02,9.03,351.0
2026-02-09 11:55:00-06:00,9.03,9.03,9.02,9.03,152.0
2026-02-09 11:56:00-06:00,9.03,9.03,9.02,9.03,93.0
2026-02-09 11:57:00-06:00,9.02,9.03,9.02,9.02,69.0
2026-02-09 11:58:00-06:00,9.03,9.03,9.01,9.02,652.0
2026-02-09 11:59:00-06:00,9.01,9.03,9.01,9.02,207.0
2026-02-09 12:00:00-06:00,9.01,9.03,9.01,9.02,272.0
