datetime,open,high,low,close,volume
2025-12-18 08:30:00-06:00,6.95,7.05,6.93,7.0201,4556.0
2025-12-18 08:31:00-06:00,7.026,7.24,7.0201,7.18,2633.0
2025-12-18 08:32:00-06:00,7.1971,7.2,7.05,7.15,1397.0
2025-12-18 08:33:00-06:00,7.15,7.23,7.05,7.2,1438.0
2025-12-18 08:34:00-06:00,7.2009,7.34,7.2,7.3399,1178.0
2025-12-18 08:35:00-06:00,7.3397,7.44,7.3,7.3405,1790.0
2025-12-18 08:36:00-06:00,7.36,7.4,7.324,7.359,848.0
2025-12-18 08:37:00-06:00,7.35,7.47,7.35,7.46,1246.0
2025-12-18 08:38:00-06:00,7.4509,7.46,7.21,7.24,1132.0
2025-12-18 08:39:00-06:00,7.24,7.3574,7.2315,7.3199,944.0
2025-12-18 08:40:00-06:00,7.3012,7.33,7.18,7.26,1686.0
2025-12-18 08:41:00-06:00,7.255,7.27,7.19,7.24,941.0
2025-12-18 08:42:00-06:00,7.23,7.26,7.21,7.24,617.0
2025-12-18 08:43:00-06:00,7.2387,7.25,7.14,7.2,1454.0
2025-12-18 08:44:00-06:00,7.2,7.2896,7.2,7.255,565.0
2025-12-18 08:45:00-06:00,7.255,7.27,7.1982,7.22,704.0
2025-12-18 08:46:00-06:00,7.215,7.25,7.1601,7.25,600.0
2025-12-18 08:47:00-06:00,7.25,7.27,7.16,7.2,1608.0
2025-12-18 08:48:00-06:00,7.2,7.2,7.1,7.1313,403.0
2025-12-18 08:49:00-06:00,7.12,7.2094,7.0814,7.2094,317.0
2025-12-18 08:50:00-06:00,7.2024,7.2399,7.11,7.11,972.0
2025-12-18 08:51:00-06:00,7.11,7.17,7.0901,7.17,662.0
2025-12-18 08:52:00-06:00,7.17,7.23,7.165,7.23,566.0
2025-12-18 08:53:00-06:00,7.24,7.27,7.23,7.2424,588.0
2025-12-18 08:54:00-06:00,7.25,7.28,7.16,7.27,1022.0
2025-12-18 08:55:00-06:00,7.27,7.33,7.2591,7.305,4483.0
2025-12-18 08:56:00-06:00,7.31,7.47,7.31,7.47,1382.0
2025-12-18 08:57:00-06:00,7.46,7.48,7.39,7.47,2080.0
2025-12-18 08:58:00-06:00,7.46,7.47,7.41,7.4325,762.0
2025-12-18 08:59:00-06:00,7.43,7.43,7.23,7.275,718.0
2025-12-18 09:00:00-06:00,7.2899,7.3573,7.26,7.315,399.0
2025-12-18 09:01:00-06:00,7.3,7.3199,7.27,7.28,278.0
2025-12-18 09:02:00-06:00,7.29,7.305,7.25,7.285,634.0
2025-12-18 09:03:00-06:00,7.275,7.275,7.2201,7.26,369.0
2025-12-18 09:04:00-06:00,7.26,7.28,7.18,7.195,1755.0
2025-12-18 09:05:00-06:00,7.195,7.2494,7.185,7.2494,327.0
2025-12-18 09:06:00-06:00,7.24,7.245,7.17,7.19,509.0
2025-12-18 09:07:00-06:00,7.195,7.205,7.145,7.19,383.0
2025-12-18 09:08:00-06:00,7.18,7.21,7.16,7.2,260.0
2025-12-18 09:09:00-06:00,7.2,7.2099,7.16,7.205,338.0
2025-12-18 09:10:00-06:00,7.205,7.205,7.15,7.165,258.0
2025-12-18 09:11:00-06:00,7.165,7.17,7.1242,7.1316,375.0
2025-12-18 09:12:00-06:00,7.1328,7.1714,7.12,7.15,317.0
2025-12-18 09:13:00-06:00,7.145,7.1499,7.1199,7.145,234.0
2025-12-18 09:14:00-06:00,7.14,7.145,7.11,7.12,236.0
2025-12-18 09:15:00-06:00,7.1101,7.115,7.065,7.08,409.0
2025-12-18 09:16:00-06:00,7.0756,7.1066,7.05,7.065,587.0
2025-12-18 09:17:00-06:00,7.065,7.085,7.01,7.0193,406.0
2025-12-18 09:18:00-06:00,7.005,7.0352,6.98,7.02,752.0
2025-12-18 09:19:00-06:00,7.0253,7.045,6.99,6.99,397.0
2025-12-18 09:20:00-06:00,6.99,6.995,6.9414,6.99,635.0
2025-12-18 09:21:00-06:00,6.99,7.0076,6.975,6.9993,240.0
2025-12-18 09:22:00-06:00,7.0,7.03,6.9909,7.014,400.0
2025-12-18 09:23:00-06:00,7.02,7.0799,7.015,7.0702,973.0
2025-12-18 09:24:00-06:00,7.07,7.1,7.07,7.095,452.0
2025-12-18 09:25:00-06:00,7.09,7.09,7.04,7.06,355.0
2025-12-18 09:26:00-06:00,7.065,7.15,7.055,7.1214,294.0
2025-12-18 09:27:00-06:00,7.1256,7.15,7.125,7.138,175.0
2025-12-18 09:28:00-06:00,7.15,7.205,7.145,7.205,479.0
2025-12-18 09:29:00-06:00,7.2,7.2199,7.19,7.2,347.0
2025-12-18 09:30:00-06:00,7.2002,7.21,7.105,7.135,1486.0
2025-12-18 09:31:00-06:00,7.1372,7.175,7.125,7.13,245.0
2025-12-18 09:32:00-06:00,7.125,7.15,7.07,7.07,273.0
2025-12-18 09:33:00-06:00,7.075,7.125,7.0511,7.125,513.0
2025-12-18 09:34:00-06:00,7.1245,7.1699,7.095,7.16,251.0
2025-12-18 09:35:00-06:00,7.165,7.23,7.165,7.205,168.0
2025-12-18 09:36:00-06:00,7.2066,7.29,7.2,7.29,802.0
2025-12-18 09:37:00-06:00,7.2887,7.3151,7.245,7.31,533.0
2025-12-18 09:38:00-06:00,7.308,7.31,7.27,7.285,434.0
2025-12-18 09:39:00-06:00,7.29,7.29,7.253,7.26,130.0
2025-12-18 09:40:00-06:00,7.25,7.2556,7.21,7.2243,207.0
2025-12-18 09:41:00-06:00,7.23,7.28,7.2152,7.28,230.0
2025-12-18 09:42:00-06:00,7.275,7.31,7.25,7.25,546.0
2025-12-18 09:43:00-06:00,7.25,7.2958,7.25,7.2899,499.0
2025-12-18 09:44:00-06:00,7.285,7.425,7.285,7.425,4417.0
2025-12-18 09:45:00-06:00,7.425,7.46,7.41,7.41,1728.0
2025-12-18 09:46:00-06:00,7.404,7.404,7.31,7.32,621.0
2025-12-18 09:47:00-06:00,7.3178,7.32,7.275,7.2994,619.0
2025-12-18 09:48:00-06:00,7.3,7.31,7.265,7.2956,633.0
2025-12-18 09:49:00-06:00,7.295,7.32,7.265,7.295,434.0
2025-12-18 09:50:00-06:00,7.2955,7.2955,7.24,7.2472,245.0
2025-12-18 09:51:00-06:00,7.245,7.27,7.2401,7.26,549.0
2025-12-18 09:52:00-06:00,7.2501,7.26,7.235,7.235,279.0
2025-12-18 09:53:00-06:00,7.235,7.24,7.17,7.18,280.0
2025-12-18 09:54:00-06:00,7.185,7.235,7.1779,7.225,550.0
2025-12-18 09:55:00-06:00,7.225,7.225,7.192,7.195,270.0
2025-12-18 09:56:00-06:00,7.19,7.2056,7.185,7.195,121.0
2025-12-18 09:57:00-06:00,7.2045,7.215,7.19,7.2099,231.0
2025-12-18 09:58:00-06:00,7.2099,7.2262,7.181,7.2,279.0
2025-12-18 09:59:00-06:00,7.2099,7.24,7.19,7.2322,337.0
2025-12-18 10:00:00-06:00,7.23,7.2499,7.22,7.231,164.0
2025-12-18 10:01:00-06:00,7.24,7.25,7.2,7.2044,192.0
2025-12-18 10:02:00-06:00,7.205,7.205,7.16,7.1698,249.0
2025-12-18 10:03:00-06:00,7.1634,7.1634,7.12,7.125,173.0
2025-12-18 10:04:00-06:00,7.12,7.15,7.115,7.15,136.0
2025-12-18 10:05:00-06:00,7.14,7.175,7.14,7.17,175.0
2025-12-18 10:06:00-06:00,7.16,7.198,7.1556,7.17,250.0
2025-12-18 10:07:00-06:00,7.1799,7.1799,7.145,7.145,223.0
2025-12-18 10:08:00-06:00,7.14,7.14,7.115,7.115,287.0
2025-12-18 10:09:00-06:00,7.11,7.135,7.1,7.13,393.0
2025-12-18 10:10:00-06:00,7.135,7.135,7.105,7.11,66.0
2025-12-18 10:11:00-06:00,7.11,7.11,7.06,7.08,232.0
2025-12-18 10:12:00-06:00,7.08,7.125,7.08,7.115,115.0
2025-12-18 10:13:00-06:00,7.11,7.1256,7.1,7.1199,213.0
2025-12-18 10:14:00-06:00,7.115,7.115,7.09,7.095,183.0
2025-12-18 10:15:00-06:00,7.095,7.095,7.065,7.065,270.0
2025-12-18 10:16:00-06:00,7.06,7.0965,7.06,7.085,72.0
2025-12-18 10:17:00-06:00,7.0899,7.0999,7.075,7.08,144.0
2025-12-18 10:18:00-06:00,7.075,7.08,7.05,7.055,164.0
2025-12-18 10:19:00-06:00,7.0577,7.06,7.04,7.045,115.0
2025-12-18 10:20:00-06:00,7.044,7.06,7.04,7.04,206.0
2025-12-18 10:21:00-06:00,7.035,7.045,7.02,7.04,184.0
2025-12-18 10:22:00-06:00,7.05,7.07,7.045,7.045,185.0
2025-12-18 10:23:00-06:00,7.045,7.085,7.0435,7.075,199.0
2025-12-18 10:24:00-06:00,7.08,7.09,7.05,7.05,116.0
2025-12-18 10:25:00-06:00,7.0439,7.0589,7.03,7.0529,163.0
2025-12-18 10:26:00-06:00,7.0556,7.08,7.04,7.0446,382.0
2025-12-18 10:27:00-06:00,7.04,7.045,7.03,7.03,284.0
2025-12-18 10:28:00-06:00,7.035,7.0499,7.025,7.04,162.0
2025-12-18 10:29:00-06:00,7.045,7.045,7.03,7.03,129.0
2025-12-18 10:30:00-06:00,7.04,7.07,7.035,7.065,165.0
2025-12-18 10:31:00-06:00,7.0668,7.08,7.065,7.065,294.0
2025-12-18 10:32:00-06:00,7.07,7.105,7.06,7.1,135.0
2025-12-18 10:33:00-06:00,7.1,7.12,7.085,7.115,335.0
2025-12-18 10:34:00-06:00,7.1179,7.1301,7.11,7.1158,176.0
2025-12-18 10:35:00-06:00,7.11,7.17,7.11,7.14,592.0
2025-12-18 10:36:00-06:00,7.149,7.155,7.14,7.155,156.0
2025-12-18 10:37:00-06:00,7.155,7.155,7.109,7.1168,432.0
2025-12-18 10:38:00-06:00,7.1141,7.125,7.11,7.11,183.0
2025-12-18 10:39:00-06:00,7.115,7.14,7.1145,7.14,118.0
2025-12-18 10:40:00-06:00,7.145,7.15,7.135,7.135,88.0
2025-12-18 10:41:00-06:00,7.13,7.16,7.13,7.14,402.0
2025-12-18 10:42:00-06:00,7.1431,7.15,7.13,7.14,70.0
2025-12-18 10:43:00-06:00,7.1499,7.1499,7.12,7.1255,47.0
2025-12-18 10:44:00-06:00,7.12,7.14,7.12,7.13,175.0
2025-12-18 10:45:00-06:00,7.1339,7.135,7.1,7.105,69.0
2025-12-18 10:46:00-06:00,7.105,7.135,7.105,7.13,77.0
2025-12-18 10:47:00-06:00,7.125,7.15,7.12,7.145,403.0
2025-12-18 10:48:00-06:00,7.14,7.16,7.13,7.135,225.0
2025-12-18 10:49:00-06:00,7.14,7.16,7.14,7.155,232.0
2025-12-18 10:50:00-06:00,7.1562,7.175,7.15,7.15,324.0
2025-12-18 10:51:00-06:00,7.15,7.16,7.1417,7.15,122.0
2025-12-18 10:52:00-06:00,7.15,7.15,7.13,7.15,126.0
2025-12-18 10:53:00-06:00,7.15,7.16,7.13,7.13,182.0
2025-12-18 10:54:00-06:00,7.14,7.1445,7.125,7.13,142.0
2025-12-18 10:55:00-06:00,7.1201,7.1201,7.09,7.09,215.0
2025-12-18 10:56:00-06:00,7.09,7.09,7.075,7.08,154.0
2025-12-18 10:57:00-06:00,7.08,7.0885,7.073,7.0825,60.0
2025-12-18 10:58:00-06:00,7.08,7.08,7.05,7.055,232.0
2025-12-18 10:59:00-06:00,7.06,7.085,7.05,7.08,125.0
2025-12-18 11:00:00-06:00,7.0707,7.085,7.045,7.085,265.0
2025-12-18 11:01:00-06:00,7.08,7.08,7.06,7.0699,43.0
2025-12-18 11:02:00-06:00,7.06,7.0694,7.05,7.06,155.0
2025-12-18 11:03:00-06:00,7.06,7.06,7.03,7.03,138.0
2025-12-18 11:04:00-06:00,7.03,7.03,7.01,7.02,180.0
2025-12-18 11:05:00-06:00,7.015,7.025,6.98,7.02,761.0
2025-12-18 11:06:00-06:00,7.0197,7.02,6.98,7.005,278.0
2025-12-18 11:07:00-06:00,7.005,7.04,6.99,7.025,636.0
2025-12-18 11:08:00-06:00,7.025,7.07,7.015,7.06,985.0
2025-12-18 11:09:00-06:00,7.05,7.09,7.045,7.08,69.0
2025-12-18 11:10:00-06:00,7.085,7.11,7.0747,7.085,200.0
2025-12-18 11:11:00-06:00,7.0899,7.115,7.075,7.105,247.0
2025-12-18 11:12:00-06:00,7.1001,7.11,7.085,7.11,117.0
2025-12-18 11:13:00-06:00,7.105,7.1099,7.0715,7.0729,64.0
2025-12-18 11:14:00-06:00,7.075,7.09,7.06,7.09,64.0
2025-12-18 11:15:00-06:00,7.09,7.09,7.05,7.06,72.0
2025-12-18 11:16:00-06:00,7.07,7.08,7.05,7.065,147.0
2025-12-18 11:17:00-06:00,7.06,7.06,7.04,7.045,155.0
2025-12-18 11:18:00-06:00,7.05,7.075,7.0335,7.0745,292.0
2025-12-18 11:19:00-06:00,7.075,7.1055,7.06,7.095,170.0
2025-12-18 11:20:00-06:00,7.095,7.1,7.0841,7.095,40.0
2025-12-18 11:21:00-06:00,7.1,7.1,7.064,7.0956,117.0
2025-12-18 11:22:00-06:00,7.095,7.11,7.09,7.09,114.0
2025-12-18 11:23:00-06:00,7.09,7.09,7.07,7.08,172.0
2025-12-18 11:24:00-06:00,7.07,7.07,7.04,7.06,106.0
2025-12-18 11:25:00-06:00,7.065,7.08,7.05,7.0587,42.0
2025-12-18 11:26:00-06:00,7.05,7.065,7.05,7.06,87.0
2025-12-18 11:27:00-06:00,7.06,7.0901,7.06,7.0797,70.0
2025-12-18 11:28:00-06:00,7.09,7.11,7.09,7.095,568.0
2025-12-18 11:29:00-06:00,7.095,7.1299,7.09,7.125,454.0
2025-12-18 11:30:00-06:00,7.12,7.14,7.11,7.135,91.0
2025-12-18 11:31:00-06:00,7.135,7.15,7.12,7.12,114.0
2025-12-18 11:32:00-06:00,7.115,7.12,7.11,7.11,80.0
2025-12-18 11:33:00-06:00,7.1099,7.14,7.1099,7.135,124.0
2025-12-18 11:34:00-06:00,7.1335,7.155,7.1335,7.155,114.0
2025-12-18 11:35:00-06:00,7.16,7.16,7.15,7.1515,105.0
2025-12-18 11:36:00-06:00,7.16,7.18,7.15,7.1675,90.0
2025-12-18 11:37:00-06:00,7.16,7.17,7.155,7.155,244.0
2025-12-18 11:38:00-06:00,7.155,7.165,7.13,7.1432,74.0
2025-12-18 11:39:00-06:00,7.14,7.1576,7.13,7.1561,127.0
2025-12-18 11:40:00-06:00,7.16,7.175,7.155,7.175,75.0
2025-12-18 11:41:00-06:00,7.18,7.19,7.1745,7.18,104.0
2025-12-18 11:42:00-06:00,7.18,7.21,7.18,7.1868,833.0
2025-12-18 11:43:00-06:00,7.19,7.21,7.185,7.185,92.0
2025-12-18 11:44:00-06:00,7.19,7.1975,7.185,7.19,78.0
