datetime,open,high,low,close,volume
2026-01-09 08:30:00-06:00,1.77,1.785,1.7,1.7093,1025.0
2026-01-09 08:31:00-06:00,1.7001,1.71,1.69,1.7093,587.0
2026-01-09 08:32:00-06:00,1.703,1.71,1.68,1.685,353.0
2026-01-09 08:33:00-06:00,1.685,1.7,1.68,1.7,207.0
2026-01-09 08:34:00-06:00,1.695,1.71,1.695,1.7,134.0
2026-01-09 08:35:00-06:00,1.71,1.73,1.7,1.705,985.0
2026-01-09 08:36:00-06:00,1.705,1.7186,1.705,1.715,232.0
2026-01-09 08:37:00-06:00,1.715,1.72,1.71,1.71,142.0
2026-01-09 08:38:00-06:00,1.72,1.73,1.71,1.725,268.0
2026-01-09 08:39:00-06:00,1.7293,1.73,1.715,1.715,386.0
2026-01-09 08:40:00-06:00,1.715,1.72,1.715,1.7193,61.0
2026-01-09 08:41:00-06:00,1.7199,1.72,1.695,1.695,463.0
2026-01-09 08:42:00-06:00,1.695,1.7,1.695,1.695,59.0
2026-01-09 08:43:00-06:00,1.69,1.695,1.69,1.6901,24.0
2026-01-09 08:44:00-06:00,1.695,1.7,1.68,1.68,283.0
2026-01-09 08:45:00-06:00,1.68,1.7,1.68,1.69,714.0
2026-01-09 08:46:00-06:00,1.69,1.69,1.68,1.685,127.0
2026-01-09 08:47:00-06:00,1.6888,1.6993,1.6807,1.6902,144.0
2026-01-09 08:48:00-06:00,1.695,1.6993,1.685,1.685,18.0
2026-01-09 08:49:00-06:00,1.6851,1.6851,1.685,1.685,97.0
2026-01-09 08:50:00-06:00,1.6859,1.69,1.685,1.685,103.0
2026-01-09 08:51:00-06:00,1.685,1.6859,1.675,1.675,143.0
2026-01-09 08:52:00-06:00,1.67,1.675,1.67,1.67,29.0
2026-01-09 08:53:00-06:00,1.6707,1.6788,1.67,1.675,160.0
2026-01-09 08:54:00-06:00,1.6784,1.6784,1.675,1.6779,8.0
2026-01-09 08:55:00-06:00,1.6793,1.68,1.6701,1.6701,21.0
2026-01-09 08:56:00-06:00,1.6776,1.68,1.6707,1.6707,72.0
2026-01-09 08:57:00-06:00,1.675,1.685,1.6703,1.685,108.0
2026-01-09 08:58:00-06:00,1.685,1.689,1.6843,1.685,60.0
2026-01-09 08:59:00-06:00,1.685,1.69,1.685,1.685,12.0
2026-01-09 09:00:00-06:00,1.69,1.7,1.69,1.695,80.0
2026-01-09 09:01:00-06:00,1.695,1.695,1.68,1.68,71.0
2026-01-09 09:02:00-06:00,1.68,1.685,1.67,1.6707,329.0
2026-01-09 09:03:00-06:00,1.6711,1.68,1.67,1.68,83.0
2026-01-09 09:04:00-06:00,1.6799,1.6799,1.6793,1.6793,2.0
2026-01-09 09:05:00-06:00,1.675,1.675,1.665,1.665,289.0
2026-01-09 09:06:00-06:00,1.665,1.67,1.6607,1.67,84.0
2026-01-09 09:07:00-06:00,1.665,1.67,1.66,1.6653,138.0
2026-01-09 09:08:00-06:00,1.665,1.67,1.6646,1.665,165.0
2026-01-09 09:09:00-06:00,1.665,1.675,1.66,1.675,71.0
2026-01-09 09:10:00-06:00,1.675,1.69,1.675,1.685,72.0
2026-01-09 09:11:00-06:00,1.69,1.69,1.685,1.685,48.0
2026-01-09 09:12:00-06:00,1.685,1.69,1.6801,1.685,87.0
2026-01-09 09:13:00-06:00,1.685,1.69,1.685,1.69,25.0
2026-01-09 09:14:00-06:00,1.685,1.69,1.685,1.685,35.0
2026-01-09 09:15:00-06:00,1.69,1.69,1.685,1.685,30.0
2026-01-09 09:16:00-06:00,1.69,1.695,1.69,1.695,119.0
2026-01-09 09:17:00-06:00,1.6928,1.6993,1.6928,1.695,10.0
2026-01-09 09:18:00-06:00,1.6907,1.705,1.69,1.705,431.0
2026-01-09 09:19:00-06:00,1.7098,1.71,1.705,1.705,53.0
2026-01-09 09:20:00-06:00,1.705,1.71,1.7007,1.71,17.0
2026-01-09 09:21:00-06:00,1.71,1.71,1.705,1.71,19.0
2026-01-09 09:22:00-06:00,1.71,1.7193,1.7093,1.715,58.0
