datetime,open,high,low,close,volume
2026-02-13 08:30:00-06:00,17.79,17.94,17.05,17.21,37471.0
2026-02-13 08:31:00-06:00,17.21,17.87,17.11,17.71,16606.0
2026-02-13 08:32:00-06:00,17.7,17.8,17.41,17.44,11374.0
2026-02-13 08:33:00-06:00,17.45,17.81,17.41,17.65,9177.0
2026-02-13 08:34:00-06:00,17.66,17.77,17.37,17.41,7133.0
2026-02-13 08:35:00-06:00,17.43,17.43,17.13,17.2,8582.0
2026-02-13 08:36:00-06:00,17.19,17.3,16.93,17.26,11936.0
2026-02-13 08:37:00-06:00,17.28,17.33,17.14,17.23,4338.0
2026-02-13 08:38:00-06:00,17.23,17.37,17.17,17.24,5671.0
2026-02-13 08:39:00-06:00,17.23,17.35,17.04,17.06,5673.0
2026-02-13 08:40:00-06:00,17.07,17.12,16.81,16.85,9383.0
2026-02-13 08:41:00-06:00,16.85,17.07,16.85,16.98,6053.0
2026-02-13 08:42:00-06:00,16.98,17.17,16.94,17.12,5808.0
2026-02-13 08:43:00-06:00,17.11,17.25,17.05,17.1,5556.0
2026-02-13 08:44:00-06:00,17.12,17.18,16.92,17.14,6253.0
2026-02-13 08:45:00-06:00,17.14,17.28,17.06,17.27,4806.0
2026-02-13 08:46:00-06:00,17.27,17.32,17.2,17.23,4687.0
2026-02-13 08:47:00-06:00,17.23,17.46,17.2,17.45,5499.0
2026-02-13 08:48:00-06:00,17.44,17.48,17.27,17.28,4636.0
2026-02-13 08:49:00-06:00,17.28,17.31,16.97,16.97,6107.0
2026-02-13 08:50:00-06:00,16.98,16.98,16.73,16.82,8859.0
2026-02-13 08:51:00-06:00,16.82,16.87,16.74,16.87,4283.0
2026-02-13 08:52:00-06:00,16.87,16.9,16.76,16.79,4128.0
2026-02-13 08:53:00-06:00,16.8,16.95,16.7,16.8,7517.0
2026-02-13 08:54:00-06:00,16.79,16.92,16.77,16.78,4220.0
2026-02-13 08:55:00-06:00,16.78,16.82,16.67,16.71,4959.0
2026-02-13 08:56:00-06:00,16.71,16.72,16.45,16.48,8211.0
2026-02-13 08:57:00-06:00,16.48,16.56,16.46,16.51,5976.0
2026-02-13 08:58:00-06:00,16.51,16.77,16.5,16.73,6674.0
2026-02-13 08:59:00-06:00,16.71,16.75,16.61,16.73,4192.0
