datetime,open,high,low,close,volume
2026-02-04 08:30:00-06:00,19.81,20.32,19.79,20.02,4915.0
2026-02-04 08:31:00-06:00,20.03,20.5,19.86,20.34,1872.0
2026-02-04 08:32:00-06:00,20.34,20.42,20.1,20.27,688.0
2026-02-04 08:33:00-06:00,20.28,20.39,20.13,20.18,657.0
2026-02-04 08:34:00-06:00,20.18,20.31,20.06,20.26,761.0
2026-02-04 08:35:00-06:00,20.26,20.66,20.24,20.64,3362.0
2026-02-04 08:36:00-06:00,20.64,20.75,20.44,20.51,1691.0
2026-02-04 08:37:00-06:00,20.49,20.57,20.07,20.21,1129.0
2026-02-04 08:38:00-06:00,20.21,20.29,20.19,20.25,774.0
2026-02-04 08:39:00-06:00,20.26,20.66,20.26,20.57,819.0
2026-02-04 08:40:00-06:00,20.57,20.66,20.52,20.54,468.0
2026-02-04 08:41:00-06:00,20.53,20.53,20.29,20.3,882.0
2026-02-04 08:42:00-06:00,20.31,20.5,20.3,20.41,447.0
2026-02-04 08:43:00-06:00,20.42,20.46,20.31,20.39,399.0
2026-02-04 08:44:00-06:00,20.39,20.47,20.37,20.41,243.0
2026-02-04 08:45:00-06:00,20.4,20.42,20.23,20.42,337.0
2026-02-04 08:46:00-06:00,20.39,20.52,20.35,20.49,373.0
2026-02-04 08:47:00-06:00,20.48,20.58,20.32,20.37,474.0
2026-02-04 08:48:00-06:00,20.38,20.48,20.35,20.38,179.0
2026-02-04 08:49:00-06:00,20.38,20.4,20.27,20.34,375.0
2026-02-04 08:50:00-06:00,20.34,20.34,20.12,20.19,833.0
2026-02-04 08:51:00-06:00,20.19,20.5,20.15,20.46,713.0
2026-02-04 08:52:00-06:00,20.4,20.45,20.3,20.4,925.0
2026-02-04 08:53:00-06:00,20.39,20.4,20.27,20.3,451.0
2026-02-04 08:54:00-06:00,20.29,20.4,20.27,20.39,283.0
2026-02-04 08:55:00-06:00,20.39,20.41,20.3,20.3,1413.0
2026-02-04 08:56:00-06:00,20.3,20.38,20.26,20.32,425.0
2026-02-04 08:57:00-06:00,20.3,20.38,20.28,20.34,208.0
2026-02-04 08:58:00-06:00,20.35,20.37,20.28,20.3,175.0
2026-02-04 08:59:00-06:00,20.3,20.31,20.24,20.26,732.0
2026-02-04 09:00:00-06:00,20.26,20.34,20.15,20.18,301.0
2026-02-04 09:01:00-06:00,20.13,20.21,20.13,20.19,284.0
2026-02-04 09:02:00-06:00,20.23,20.23,20.15,20.2,101.0
2026-02-04 09:03:00-06:00,20.2,20.22,20.03,20.05,242.0
2026-02-04 09:04:00-06:00,20.05,20.13,20.05,20.13,362.0
2026-02-04 09:05:00-06:00,20.12,20.35,20.11,20.19,408.0
2026-02-04 09:06:00-06:00,20.18,20.25,20.14,20.14,147.0
2026-02-04 09:07:00-06:00,20.14,20.27,20.13,20.27,184.0
2026-02-04 09:08:00-06:00,20.28,20.39,20.26,20.34,192.0
2026-02-04 09:09:00-06:00,20.33,20.38,20.29,20.36,177.0
2026-02-04 09:10:00-06:00,20.36,20.4,20.33,20.35,308.0
2026-02-04 09:11:00-06:00,20.34,20.38,20.31,20.34,108.0
2026-02-04 09:12:00-06:00,20.34,20.36,20.18,20.24,262.0
2026-02-04 09:13:00-06:00,20.2,20.38,20.19,20.33,118.0
2026-02-04 09:14:00-06:00,20.29,20.53,20.28,20.49,647.0
2026-02-04 09:15:00-06:00,20.48,20.52,20.32,20.4,359.0
2026-02-04 09:16:00-06:00,20.39,20.44,20.37,20.39,270.0
2026-02-04 09:17:00-06:00,20.39,20.39,20.3,20.32,278.0
2026-02-04 09:18:00-06:00,20.31,20.38,20.25,20.31,684.0
2026-02-04 09:19:00-06:00,20.32,20.34,20.25,20.26,79.0
2026-02-04 09:20:00-06:00,20.27,20.4,20.27,20.31,336.0
2026-02-04 09:21:00-06:00,20.3,20.35,20.21,20.34,347.0
2026-02-04 09:22:00-06:00,20.34,20.34,20.28,20.3,125.0
2026-02-04 09:23:00-06:00,20.28,20.46,20.28,20.37,696.0
2026-02-04 09:24:00-06:00,20.35,20.44,20.32,20.43,254.0
2026-02-04 09:25:00-06:00,20.41,20.48,20.39,20.46,789.0
2026-02-04 09:26:00-06:00,20.46,20.58,20.46,20.51,591.0
2026-02-04 09:27:00-06:00,20.51,20.62,20.4,20.45,1129.0
2026-02-04 09:28:00-06:00,20.46,20.52,20.36,20.41,207.0
2026-02-04 09:29:00-06:00,20.42,20.44,20.32,20.33,190.0
2026-02-04 09:30:00-06:00,20.31,20.36,20.24,20.32,251.0
2026-02-04 09:31:00-06:00,20.3,20.32,20.08,20.1,313.0
2026-02-04 09:32:00-06:00,20.09,20.25,20.08,20.13,239.0
2026-02-04 09:33:00-06:00,20.13,20.14,20.01,20.02,207.0
2026-02-04 09:34:00-06:00,20.01,20.05,19.94,20.04,336.0
2026-02-04 09:35:00-06:00,20.02,20.05,19.94,19.96,359.0
2026-02-04 09:36:00-06:00,19.96,19.98,19.93,19.93,112.0
2026-02-04 09:37:00-06:00,19.93,20.02,19.87,20.02,333.0
2026-02-04 09:38:00-06:00,20.02,20.24,20.01,20.24,234.0
2026-02-04 09:39:00-06:00,20.25,20.31,20.21,20.23,333.0
2026-02-04 09:40:00-06:00,20.23,20.5,20.22,20.48,232.0
2026-02-04 09:41:00-06:00,20.47,20.7,20.46,20.67,622.0
2026-02-04 09:42:00-06:00,20.67,20.76,20.55,20.56,1145.0
2026-02-04 09:43:00-06:00,20.56,20.66,20.52,20.66,345.0
2026-02-04 09:44:00-06:00,20.67,20.95,20.65,20.95,656.0
2026-02-04 09:45:00-06:00,20.97,21.04,20.9,20.95,2240.0
2026-02-04 09:46:00-06:00,20.93,20.94,20.74,20.75,424.0
2026-02-04 09:47:00-06:00,20.74,20.8,20.73,20.74,162.0
2026-02-04 09:48:00-06:00,20.74,20.79,20.68,20.77,311.0
2026-02-04 09:49:00-06:00,20.76,20.9,20.76,20.88,258.0
2026-02-04 09:50:00-06:00,20.88,20.9,20.85,20.88,139.0
2026-02-04 09:51:00-06:00,20.87,20.91,20.85,20.85,202.0
2026-02-04 09:52:00-06:00,20.84,20.94,20.83,20.84,400.0
2026-02-04 09:53:00-06:00,20.83,20.87,20.74,20.79,248.0
2026-02-04 09:54:00-06:00,20.78,20.83,20.74,20.75,129.0
2026-02-04 09:55:00-06:00,20.77,20.78,20.68,20.77,401.0
2026-02-04 09:56:00-06:00,20.77,20.84,20.66,20.67,292.0
2026-02-04 09:57:00-06:00,20.67,20.79,20.59,20.59,437.0
2026-02-04 09:58:00-06:00,20.58,20.74,20.53,20.72,363.0
2026-02-04 09:59:00-06:00,20.71,20.72,20.59,20.66,335.0
2026-02-04 10:00:00-06:00,20.66,20.67,20.51,20.52,179.0
2026-02-04 10:01:00-06:00,20.52,20.62,20.45,20.59,582.0
2026-02-04 10:02:00-06:00,20.6,20.63,20.52,20.52,98.0
2026-02-04 10:03:00-06:00,20.53,20.53,20.39,20.43,330.0
2026-02-04 10:04:00-06:00,20.43,20.45,20.37,20.41,222.0
2026-02-04 10:05:00-06:00,20.42,20.43,20.3,20.32,384.0
2026-02-04 10:06:00-06:00,20.32,20.43,20.27,20.43,566.0
2026-02-04 10:07:00-06:00,20.44,20.44,20.27,20.29,174.0
2026-02-04 10:08:00-06:00,20.28,20.35,20.27,20.27,244.0
2026-02-04 10:09:00-06:00,20.27,20.27,20.19,20.2,185.0
2026-02-04 10:10:00-06:00,20.18,20.28,20.12,20.2,185.0
2026-02-04 10:11:00-06:00,20.19,20.3,20.14,20.3,197.0
2026-02-04 10:12:00-06:00,20.3,20.5,20.28,20.47,398.0
2026-02-04 10:13:00-06:00,20.48,20.58,20.46,20.57,407.0
2026-02-04 10:14:00-06:00,20.58,20.64,20.5,20.51,343.0
2026-02-04 10:15:00-06:00,20.51,20.6,20.5,20.56,128.0
2026-02-04 10:16:00-06:00,20.57,20.65,20.56,20.59,91.0
2026-02-04 10:17:00-06:00,20.55,20.58,20.45,20.52,131.0
2026-02-04 10:18:00-06:00,20.53,20.54,20.43,20.44,138.0
2026-02-04 10:19:00-06:00,20.44,20.52,20.4,20.52,123.0
2026-02-04 10:20:00-06:00,20.52,20.57,20.37,20.4,214.0
2026-02-04 10:21:00-06:00,20.39,20.42,20.33,20.33,188.0
2026-02-04 10:22:00-06:00,20.35,20.35,20.25,20.25,100.0
2026-02-04 10:23:00-06:00,20.28,20.39,20.27,20.33,118.0
2026-02-04 10:24:00-06:00,20.35,20.5,20.35,20.44,139.0
2026-02-04 10:25:00-06:00,20.43,20.48,20.41,20.42,209.0
2026-02-04 10:26:00-06:00,20.42,20.46,20.4,20.4,346.0
2026-02-04 10:27:00-06:00,20.42,20.45,20.41,20.41,35.0
2026-02-04 10:28:00-06:00,20.42,20.45,20.35,20.43,210.0
2026-02-04 10:29:00-06:00,20.44,20.45,20.36,20.36,232.0
2026-02-04 10:30:00-06:00,20.37,20.42,20.32,20.32,137.0
2026-02-04 10:31:00-06:00,20.34,20.39,20.32,20.39,48.0
2026-02-04 10:32:00-06:00,20.4,20.41,20.32,20.33,96.0
2026-02-04 10:33:00-06:00,20.33,20.36,20.28,20.29,113.0
