datetime,open,high,low,close,volume
2026-02-24 08:30:00-06:00,11.25,11.25,11.1,11.17,85.0
2026-02-24 08:31:00-06:00,11.16,11.16,11.09,11.11,133.0
2026-02-24 08:32:00-06:00,11.06,11.1,10.9,10.98,1635.0
2026-02-24 08:33:00-06:00,11.0,11.08,10.8,10.91,992.0
2026-02-24 08:34:00-06:00,10.91,11.08,10.84,10.92,763.0
2026-02-24 08:35:00-06:00,10.91,10.95,10.75,10.89,527.0
2026-02-24 08:36:00-06:00,10.88,10.9,10.67,10.72,265.0
2026-02-24 08:37:00-06:00,10.68,10.92,10.66,10.92,715.0
2026-02-24 08:38:00-06:00,10.9,11.0,10.76,10.82,652.0
2026-02-24 08:39:00-06:00,10.82,10.85,10.53,10.65,606.0
2026-02-24 08:40:00-06:00,10.68,10.74,10.64,10.68,271.0
2026-02-24 08:41:00-06:00,10.69,10.7,10.33,10.51,335.0
2026-02-24 08:42:00-06:00,10.52,10.52,10.36,10.43,550.0
2026-02-24 08:43:00-06:00,10.44,10.61,10.41,10.53,428.0
2026-02-24 08:44:00-06:00,10.48,10.55,10.34,10.39,435.0
2026-02-24 08:45:00-06:00,10.36,10.37,10.25,10.37,336.0
2026-02-24 08:46:00-06:00,10.41,10.42,10.33,10.39,77.0
2026-02-24 08:47:00-06:00,10.39,10.39,10.3,10.35,172.0
2026-02-24 08:48:00-06:00,10.34,10.35,10.27,10.3,230.0
2026-02-24 08:49:00-06:00,10.3,10.35,10.27,10.34,361.0
2026-02-24 08:50:00-06:00,10.36,10.56,10.35,10.55,681.0
2026-02-24 08:51:00-06:00,10.55,10.6,10.44,10.46,405.0
2026-02-24 08:52:00-06:00,10.46,10.5,10.4,10.49,152.0
2026-02-24 08:53:00-06:00,10.47,10.52,10.42,10.43,110.0
2026-02-24 08:54:00-06:00,10.44,10.53,10.43,10.5,114.0
2026-02-24 08:55:00-06:00,10.5,10.54,10.49,10.53,173.0
2026-02-24 08:56:00-06:00,10.54,10.55,10.46,10.55,249.0
2026-02-24 08:57:00-06:00,10.56,10.61,10.48,10.48,193.0
2026-02-24 08:58:00-06:00,10.49,10.5,10.44,10.45,126.0
2026-02-24 08:59:00-06:00,10.44,10.44,10.35,10.37,274.0
2026-02-24 09:00:00-06:00,10.38,10.41,10.36,10.37,84.0
2026-02-24 09:01:00-06:00,10.37,10.38,10.31,10.36,150.0
2026-02-24 09:02:00-06:00,10.37,10.38,10.25,10.36,1322.0
2026-02-24 09:03:00-06:00,10.36,10.36,10.13,10.16,578.0
2026-02-24 09:04:00-06:00,10.15,10.17,10.09,10.12,275.0
2026-02-24 09:05:00-06:00,10.13,10.19,10.08,10.17,263.0
2026-02-24 09:06:00-06:00,10.19,10.21,10.18,10.19,16.0
