datetime,open,high,low,close,volume
2026-01-08 08:30:00-06:00,9.71,9.71,9.68,9.7,29.0
2026-01-08 08:31:00-06:00,9.72,9.73,9.72,9.72,5.0
2026-01-08 08:32:00-06:00,9.72,9.72,9.72,9.72,0.0
2026-01-08 08:33:00-06:00,9.7,9.75,9.7,9.75,6.0
2026-01-08 08:34:00-06:00,9.75,9.75,9.72,9.73,16.0
2026-01-08 08:35:00-06:00,9.72,9.76,9.72,9.76,6.0
2026-01-08 08:36:00-06:00,9.72,9.77,9.72,9.77,26.0
2026-01-08 08:37:00-06:00,9.69,9.69,9.69,9.69,2.0
2026-01-08 08:38:00-06:00,9.68,9.68,9.67,9.67,25.0
2026-01-08 08:39:00-06:00,9.7,9.7,9.7,9.7,6.0
2026-01-08 08:40:00-06:00,9.67,9.67,9.67,9.67,1.0
2026-01-08 08:41:00-06:00,9.66,9.7,9.66,9.69,5.0
2026-01-08 08:42:00-06:00,9.69,9.69,9.69,9.69,0.0
2026-01-08 08:43:00-06:00,9.69,9.69,9.69,9.69,0.0
2026-01-08 08:44:00-06:00,9.66,9.66,9.66,9.66,17.0
2026-01-08 08:45:00-06:00,9.66,9.66,9.66,9.66,0.0
2026-01-08 08:46:00-06:00,9.59,9.6,9.59,9.59,1.0
2026-01-08 08:47:00-06:00,9.59,9.59,9.59,9.59,0.0
2026-01-08 08:48:00-06:00,9.62,9.64,9.61,9.62,25.0
2026-01-08 08:49:00-06:00,9.62,9.62,9.62,9.62,0.0
2026-01-08 08:50:00-06:00,9.62,9.62,9.62,9.62,0.0
2026-01-08 08:51:00-06:00,9.61,9.63,9.6,9.63,10.0
2026-01-08 08:52:00-06:00,9.59,9.6,9.59,9.59,10.0
2026-01-08 08:53:00-06:00,9.59,9.59,9.59,9.59,1.0
2026-01-08 08:54:00-06:00,9.59,9.59,9.59,9.59,0.0
2026-01-08 08:55:00-06:00,9.59,9.59,9.59,9.59,0.0
2026-01-08 08:56:00-06:00,9.57,9.58,9.57,9.57,3.0
2026-01-08 08:57:00-06:00,9.53,9.53,9.52,9.53,6.0
2026-01-08 08:58:00-06:00,9.53,9.53,9.53,9.53,0.0
2026-01-08 08:59:00-06:00,9.53,9.53,9.53,9.53,0.0
2026-01-08 09:00:00-06:00,9.53,9.53,9.53,9.53,0.0
2026-01-08 09:01:00-06:00,9.55,9.56,9.55,9.55,10.0
2026-01-08 09:02:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:03:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:04:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:05:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:06:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:07:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:08:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:09:00-06:00,9.51,9.54,9.51,9.54,3.0
2026-01-08 09:10:00-06:00,9.54,9.54,9.54,9.54,0.0
2026-01-08 09:11:00-06:00,9.54,9.54,9.54,9.54,0.0
2026-01-08 09:12:00-06:00,9.52,9.52,9.52,9.52,2.0
2026-01-08 09:13:00-06:00,9.54,9.55,9.54,9.54,1.0
2026-01-08 09:14:00-06:00,9.54,9.54,9.54,9.54,0.0
2026-01-08 09:15:00-06:00,9.6,9.6,9.6,9.6,5.0
2026-01-08 09:16:00-06:00,9.59,9.59,9.56,9.57,3.0
2026-01-08 09:17:00-06:00,9.55,9.55,9.54,9.55,1.0
2026-01-08 09:18:00-06:00,9.57,9.57,9.56,9.57,1.0
2026-01-08 09:19:00-06:00,9.55,9.56,9.55,9.55,1.0
2026-01-08 09:20:00-06:00,9.61,9.61,9.56,9.58,31.0
2026-01-08 09:21:00-06:00,9.55,9.56,9.55,9.55,6.0
2026-01-08 09:22:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:23:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:24:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:25:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:26:00-06:00,9.55,9.55,9.55,9.55,0.0
2026-01-08 09:27:00-06:00,9.58,9.58,9.58,9.58,3.0
2026-01-08 09:28:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:29:00-06:00,9.56,9.56,9.56,9.56,20.0
2026-01-08 09:30:00-06:00,9.56,9.56,9.56,9.56,0.0
2026-01-08 09:31:00-06:00,9.6,9.6,9.58,9.58,3.0
2026-01-08 09:32:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:33:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:34:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:35:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:36:00-06:00,9.61,9.61,9.6,9.61,1.0
2026-01-08 09:37:00-06:00,9.61,9.61,9.61,9.61,0.0
2026-01-08 09:38:00-06:00,9.63,9.63,9.6,9.6,12.0
2026-01-08 09:39:00-06:00,9.58,9.58,9.58,9.58,1.0
2026-01-08 09:40:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:41:00-06:00,9.58,9.58,9.58,9.58,0.0
2026-01-08 09:42:00-06:00,9.6,9.6,9.6,9.6,1.0
2026-01-08 09:43:00-06:00,9.6,9.6,9.6,9.6,0.0
2026-01-08 09:44:00-06:00,9.6,9.6,9.6,9.6,2.0
2026-01-08 09:45:00-06:00,9.62,9.62,9.62,9.62,1.0
2026-01-08 09:46:00-06:00,9.62,9.62,9.62,9.62,0.0
2026-01-08 09:47:00-06:00,9.62,9.62,9.62,9.62,0.0
2026-01-08 09:48:00-06:00,9.63,9.63,9.62,9.62,38.0
2026-01-08 09:49:00-06:00,9.63,9.63,9.62,9.63,1.0
